step,time,perturbation,id,L_current,L_cortex,L_sf,k_active,alignment,init_alignment,tension_cortex,tension_sf,tension_total,DSP,TJP1,JCAD,P_RhoA,P_RhoC
499,49.9,WT,0,8.0632,4.6822,3.8627,2.261,0.998,0.981,7.6383,2.842,10.4803,0.669,0.667,0.67,0.644,0.637
499,49.9,WT,1,7.7711,4.6822,3.964,2.3116,0.987,0.831,7.1352,2.1837,9.3189,0.669,0.667,0.67,0.644,0.637
499,49.9,WT,2,7.4653,4.6822,4.18,2.402,0.972,0.556,6.6811,1.2592,7.9403,0.669,0.666,0.67,0.644,0.637
499,49.9,WT,3,7.1834,4.6822,4.5007,2.4549,0.952,0.195,6.1374,0.3611,6.4984,0.669,0.666,0.669,0.644,0.637
499,49.9,WT,4,7.1834,4.6822,4.5007,2.4549,0.952,0.195,6.1374,0.3611,6.4984,0.669,0.666,0.669,0.644,0.637
499,49.9,WT,5,7.4653,4.6822,4.18,2.402,0.972,0.556,6.6811,1.2592,7.9403,0.669,0.666,0.67,0.644,0.637
499,49.9,WT,6,7.7711,4.6822,3.964,2.3116,0.987,0.831,7.1352,2.1837,9.3189,0.669,0.667,0.67,0.644,0.637
499,49.9,WT,7,8.0632,4.6822,3.8627,2.261,0.998,0.981,7.6383,2.842,10.4803,0.669,0.667,0.67,0.644,0.637
499,49.9,WT,8,8.0632,4.6822,3.8627,2.261,0.998,0.981,7.6383,2.842,10.4803,0.669,0.667,0.67,0.644,0.637
499,49.9,WT,9,7.7711,4.6822,3.964,2.3116,0.987,0.831,7.1352,2.1837,9.3189,0.669,0.667,0.67,0.644,0.637
499,49.9,WT,10,7.4653,4.6822,4.18,2.402,0.972,0.556,6.6811,1.2592,7.9403,0.669,0.666,0.67,0.644,0.637
499,49.9,WT,11,7.1834,4.6822,4.5007,2.4549,0.952,0.195,6.1374,0.3611,6.4984,0.669,0.666,0.669,0.644,0.637
499,49.9,WT,12,7.1834,4.6822,4.5007,2.4549,0.952,0.195,6.1374,0.3611,6.4984,0.669,0.666,0.669,0.644,0.637
499,49.9,WT,13,7.4653,4.6822,4.18,2.402,0.972,0.556,6.6811,1.2592,7.9403,0.669,0.666,0.67,0.644,0.637
499,49.9,WT,14,7.7711,4.6822,3.964,2.3116,0.987,0.831,7.1352,2.1837,9.3189,0.669,0.667,0.67,0.644,0.637
499,49.9,WT,15,8.0632,4.6822,3.8627,2.261,0.998,0.981,7.6383,2.842,10.4803,0.669,0.667,0.67,0.644,0.637
499,49.9,DSP_KO,0,8.856,4.6822,3.2298,1.0,0.998,0.981,4.1739,3.8061,7.98,0.0,0.661,0.668,0.261,0.802
499,49.9,DSP_KO,1,8.8821,4.6822,3.3971,1.0,0.993,0.831,4.1999,3.1459,7.3458,0.0,0.661,0.668,0.261,0.802
499,49.9,DSP_KO,2,9.2828,4.6822,3.7688,1.0,0.987,0.556,4.6007,2.1134,6.7141,0.0,0.662,0.668,0.261,0.802
499,49.9,DSP_KO,3,10.0444,4.6822,4.3511,1.0,0.982,0.195,5.3622,0.7663,6.1285,0.0,0.664,0.669,0.261,0.802
499,49.9,DSP_KO,4,10.0444,4.6822,4.3511,1.0,0.982,0.195,5.3622,0.7663,6.1285,0.0,0.664,0.669,0.261,0.802
499,49.9,DSP_KO,5,9.2828,4.6822,3.7688,1.0,0.987,0.556,4.6007,2.1134,6.7141,0.0,0.662,0.668,0.261,0.802
499,49.9,DSP_KO,6,8.8821,4.6822,3.3971,1.0,0.993,0.831,4.1999,3.1459,7.3458,0.0,0.661,0.668,0.261,0.802
499,49.9,DSP_KO,7,8.856,4.6822,3.2298,1.0,0.998,0.981,4.1739,3.8061,7.98,0.0,0.661,0.668,0.261,0.802
499,49.9,DSP_KO,8,8.856,4.6822,3.2298,1.0,0.998,0.981,4.1739,3.8061,7.98,0.0,0.661,0.668,0.261,0.802
499,49.9,DSP_KO,9,8.8821,4.6822,3.3971,1.0,0.993,0.831,4.1999,3.1459,7.3458,0.0,0.661,0.668,0.261,0.802
499,49.9,DSP_KO,10,9.2828,4.6822,3.7688,1.0,0.987,0.556,4.6007,2.1134,6.7141,0.0,0.662,0.668,0.261,0.802
499,49.9,DSP_KO,11,10.0444,4.6822,4.3511,1.0,0.982,0.195,5.3622,0.7663,6.1285,0.0,0.664,0.669,0.261,0.802
499,49.9,DSP_KO,12,10.0444,4.6822,4.3511,1.0,0.982,0.195,5.3622,0.7663,6.1285,0.0,0.664,0.669,0.261,0.802
499,49.9,DSP_KO,13,9.2828,4.6822,3.7688,1.0,0.987,0.556,4.6007,2.1134,6.7141,0.0,0.662,0.668,0.261,0.802
499,49.9,DSP_KO,14,8.8821,4.6822,3.3971,1.0,0.993,0.831,4.1999,3.1459,7.3458,0.0,0.661,0.668,0.261,0.802
499,49.9,DSP_KO,15,8.856,4.6822,3.2298,1.0,0.998,0.981,4.1739,3.8061,7.98,0.0,0.661,0.668,0.261,0.802
499,49.9,TJP1_KO,0,7.8771,4.6822,4.6822,3.4182,0.997,0.981,10.9104,0.0,10.9104,0.67,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,1,7.4126,4.6822,4.6822,3.522,0.983,0.831,9.6086,0.0,9.6086,0.67,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,2,6.8834,4.6822,4.6822,3.6473,0.963,0.556,8.0232,0.0,8.0232,0.669,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,3,6.3926,4.6822,4.6822,3.7193,0.932,0.195,6.3577,0.0,6.3577,0.669,0.0,0.669,0.801,0.263
499,49.9,TJP1_KO,4,6.3926,4.6822,4.6822,3.7193,0.932,0.195,6.3577,0.0,6.3577,0.669,0.0,0.669,0.801,0.263
499,49.9,TJP1_KO,5,6.8834,4.6822,4.6822,3.6473,0.963,0.556,8.0232,0.0,8.0232,0.669,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,6,7.4126,4.6822,4.6822,3.522,0.983,0.831,9.6086,0.0,9.6086,0.67,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,7,7.8771,4.6822,4.6822,3.4182,0.997,0.981,10.9104,0.0,10.9104,0.67,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,8,7.8771,4.6822,4.6822,3.4182,0.997,0.981,10.9104,0.0,10.9104,0.67,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,9,7.4126,4.6822,4.6822,3.522,0.983,0.831,9.6086,0.0,9.6086,0.67,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,10,6.8834,4.6822,4.6822,3.6473,0.963,0.556,8.0232,0.0,8.0232,0.669,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,11,6.3926,4.6822,4.6822,3.7193,0.932,0.195,6.3577,0.0,6.3577,0.669,0.0,0.669,0.801,0.263
499,49.9,TJP1_KO,12,6.3926,4.6822,4.6822,3.7193,0.932,0.195,6.3577,0.0,6.3577,0.669,0.0,0.669,0.801,0.263
499,49.9,TJP1_KO,13,6.8834,4.6822,4.6822,3.6473,0.963,0.556,8.0232,0.0,8.0232,0.669,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,14,7.4126,4.6822,4.6822,3.522,0.983,0.831,9.6086,0.0,9.6086,0.67,0.0,0.67,0.801,0.263
499,49.9,TJP1_KO,15,7.8771,4.6822,4.6822,3.4182,0.997,0.981,10.9104,0.0,10.9104,0.67,0.0,0.67,0.801,0.263
499,49.9,JCAD_KO,0,8.0632,4.6822,3.8627,2.261,0.998,0.981,7.6383,2.842,10.4803,0.669,0.667,0.67,0.644,0.637
499,49.9,JCAD_KO,1,7.7711,4.6822,3.964,2.3116,0.987,0.831,7.1352,2.1837,9.3189,0.669,0.667,0.67,0.644,0.637
499,49.9,JCAD_KO,2,7.4653,4.6822,4.18,2.402,0.972,0.556,6.6811,1.2592,7.9403,0.669,0.666,0.67,0.644,0.637
499,49.9,JCAD_KO,3,7.1834,4.6822,4.5007,2.4549,0.952,0.195,6.1374,0.3611,6.4984,0.669,0.666,0.669,0.644,0.637
499,49.9,JCAD_KO,4,7.1834,4.6822,4.5007,2.4549,0.952,0.195,6.1374,0.3611,6.4984,0.669,0.666,0.669,0.644,0.637
499,49.9,JCAD_KO,5,7.4653,4.6822,4.18,2.402,0.972,0.556,6.6811,1.2592,7.9403,0.669,0.666,0.67,0.644,0.637
499,49.9,JCAD_KO,6,7.7711,4.6822,3.964,2.3116,0.987,0.831,7.1352,2.1837,9.3189,0.669,0.667,0.67,0.644,0.637
499,49.9,JCAD_KO,7,8.0632,4.6822,3.8627,2.261,0.998,0.981,7.6383,2.842,10.4803,0.669,0.667,0.67,0.644,0.637
499,49.9,JCAD_KO,8,8.0632,4.6822,3.8627,2.261,0.998,0.981,7.6383,2.842,10.4803,0.669,0.667,0.67,0.644,0.637
499,49.9,JCAD_KO,9,7.7711,4.6822,3.964,2.3116,0.987,0.831,7.1352,2.1837,9.3189,0.669,0.667,0.67,0.644,0.637
499,49.9,JCAD_KO,10,7.4653,4.6822,4.18,2.402,0.972,0.556,6.6811,1.2592,7.9403,0.669,0.666,0.67,0.644,0.637
