step,time,perturbation,id,extension,stiffness,tension,activation,classification
1499,149.9,WT,0,1.2645,1.55,2.916,0.868,lateral
1499,149.9,WT,1,1.1631,1.5541,2.7708,0.868,lateral
1499,149.9,WT,2,0.8421,1.5669,2.3045,0.866,polar
1499,149.9,WT,3,0.3447,1.5779,1.5481,0.864,polar
1499,149.9,WT,4,0.3447,1.5779,1.5481,0.864,polar
1499,149.9,WT,5,0.8421,1.5669,2.3045,0.866,polar
1499,149.9,WT,6,1.1631,1.5541,2.7708,0.868,lateral
1499,149.9,WT,7,1.2645,1.55,2.916,0.868,lateral
1499,149.9,WT,8,1.2645,1.55,2.916,0.868,lateral
1499,149.9,WT,9,1.1631,1.5541,2.7708,0.868,lateral
1499,149.9,WT,10,0.8421,1.5669,2.3045,0.866,polar
1499,149.9,WT,11,0.3447,1.5779,1.5481,0.864,polar
1499,149.9,WT,12,0.3447,1.5779,1.5481,0.864,polar
1499,149.9,WT,13,0.8421,1.5669,2.3045,0.866,polar
1499,149.9,WT,14,1.1631,1.5541,2.7708,0.868,lateral
1499,149.9,WT,15,1.2645,1.55,2.916,0.868,lateral
1499,149.9,DSP_KO,0,1.77,1.2656,2.7713,0.91,lateral
1499,149.9,DSP_KO,1,1.6859,1.2565,2.6381,0.912,lateral
1499,149.9,DSP_KO,2,1.3528,1.2423,2.182,0.914,polar
1499,149.9,DSP_KO,3,0.7078,1.2344,1.365,0.915,polar
1499,149.9,DSP_KO,4,0.7078,1.2344,1.365,0.915,polar
1499,149.9,DSP_KO,5,1.3528,1.2423,2.182,0.914,polar
1499,149.9,DSP_KO,6,1.6859,1.2565,2.6381,0.912,lateral
1499,149.9,DSP_KO,7,1.77,1.2656,2.7713,0.91,lateral
1499,149.9,DSP_KO,8,1.77,1.2656,2.7713,0.91,lateral
1499,149.9,DSP_KO,9,1.6859,1.2565,2.6381,0.912,lateral
1499,149.9,DSP_KO,10,1.3528,1.2423,2.182,0.914,polar
1499,149.9,DSP_KO,11,0.7078,1.2344,1.365,0.915,polar
1499,149.9,DSP_KO,12,0.7078,1.2344,1.365,0.915,polar
1499,149.9,DSP_KO,13,1.3528,1.2423,2.182,0.914,polar
1499,149.9,DSP_KO,14,1.6859,1.2565,2.6381,0.912,lateral
1499,149.9,DSP_KO,15,1.77,1.2656,2.7713,0.91,lateral
1499,149.9,TJP1_KO,0,1.0528,1.6836,2.9689,0.848,lateral
1499,149.9,TJP1_KO,1,0.9472,1.6937,2.8197,0.847,lateral
1499,149.9,TJP1_KO,2,0.6416,1.7099,2.3435,0.844,polar
1499,149.9,TJP1_KO,3,0.1891,1.7179,1.5872,0.843,polar
1499,149.9,TJP1_KO,4,0.1891,1.7179,1.5872,0.843,polar
1499,149.9,TJP1_KO,5,0.6416,1.7099,2.3435,0.844,polar
1499,149.9,TJP1_KO,6,0.9472,1.6937,2.8197,0.847,lateral
1499,149.9,TJP1_KO,7,1.0528,1.6836,2.9689,0.848,lateral
1499,149.9,TJP1_KO,8,1.0528,1.6836,2.9689,0.848,lateral
1499,149.9,TJP1_KO,9,0.9472,1.6937,2.8197,0.847,lateral
1499,149.9,TJP1_KO,10,0.6416,1.7099,2.3435,0.844,polar
1499,149.9,TJP1_KO,11,0.1891,1.7179,1.5872,0.843,polar
1499,149.9,TJP1_KO,12,0.1891,1.7179,1.5872,0.843,polar
1499,149.9,TJP1_KO,13,0.6416,1.7099,2.3435,0.844,polar
1499,149.9,TJP1_KO,14,0.9472,1.6937,2.8197,0.847,lateral
1499,149.9,TJP1_KO,15,1.0528,1.6836,2.9689,0.848,lateral
1499,149.9,JCAD_KO,0,1.3563,1.4829,2.8575,0.878,lateral
1499,149.9,JCAD_KO,1,1.2451,1.4887,2.7091,0.877,lateral
1499,149.9,JCAD_KO,2,0.9053,1.4977,2.2262,0.876,polar
1499,149.9,JCAD_KO,3,0.3561,1.5016,1.4115,0.875,polar
1499,149.9,JCAD_KO,4,0.3561,1.5016,1.4115,0.875,polar
1499,149.9,JCAD_KO,5,0.9053,1.4977,2.2262,0.876,polar
1499,149.9,JCAD_KO,6,1.2451,1.4887,2.7091,0.877,lateral
1499,149.9,JCAD_KO,7,1.3563,1.4829,2.8575,0.878,lateral
1499,149.9,JCAD_KO,8,1.3563,1.4829,2.8575,0.878,lateral
1499,149.9,JCAD_KO,9,1.2451,1.4887,2.7091,0.877,lateral
1499,149.9,JCAD_KO,10,0.9053,1.4977,2.2262,0.876,polar
1499,149.9,JCAD_KO,11,0.3561,1.5016,1.4115,0.875,polar
1499,149.9,JCAD_KO,12,0.3561,1.5016,1.4115,0.875,polar
1499,149.9,JCAD_KO,13,0.9053,1.4977,2.2262,0.876,polar
1499,149.9,JCAD_KO,14,1.2451,1.4887,2.7091,0.877,lateral
1499,149.9,JCAD_KO,15,1.3563,1.4829,2.8575,0.878,lateral
1499,149.9,DSP_JCAD_DKO,0,1.6396,1.3237,2.7793,0.902,lateral
1499,149.9,DSP_JCAD_DKO,1,1.5509,1.3162,2.6403,0.903,lateral
1499,149.9,DSP_JCAD_DKO,2,1.2148,1.3043,2.167,0.905,polar
1499,149.9,DSP_JCAD_DKO,3,0.5788,1.2973,1.3238,0.906,polar
1499,149.9,DSP_JCAD_DKO,4,0.5788,1.2973,1.3238,0.906,polar
1499,149.9,DSP_JCAD_DKO,5,1.2148,1.3043,2.167,0.905,polar
