step,time,perturbation,id,extension,stiffness,tension,activation,classification
0,0.0,WT,0,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,1,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,2,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,3,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,4,0.0,1.0,0.1877,0.949,polar
0,0.0,WT,5,0.0,1.0,0.1877,0.949,polar
0,0.0,WT,6,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,7,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,8,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,9,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,10,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,11,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,12,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,13,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,14,0.0,1.0,0.1877,0.949,polar
0,0.0,WT,15,0.0,1.0,0.1877,0.949,polar
0,0.0,WT,16,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,17,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,18,0.0,1.0,0.1877,0.95,lateral
0,0.0,WT,19,0.0,1.0,0.1877,0.95,lateral
100,10.0,WT,0,0.0262,1.0,0.3416,0.916,lateral
100,10.0,WT,1,0.0168,1.0,0.3322,0.916,lateral
100,10.0,WT,2,0.0094,1.0,0.3248,0.916,lateral
100,10.0,WT,3,-0.0125,1.0,0.3329,0.908,lateral
100,10.0,WT,4,-0.027,1.0,0.3491,0.899,polar
100,10.0,WT,5,-0.027,1.0,0.3491,0.899,polar
100,10.0,WT,6,-0.0125,1.0,0.3329,0.908,lateral
100,10.0,WT,7,0.0094,1.0,0.3248,0.916,lateral
100,10.0,WT,8,0.0168,1.0,0.3322,0.916,lateral
100,10.0,WT,9,0.0262,1.0,0.3416,0.916,lateral
100,10.0,WT,10,0.0262,1.0,0.3416,0.916,lateral
100,10.0,WT,11,0.0168,1.0,0.3322,0.916,lateral
100,10.0,WT,12,0.0094,1.0,0.3248,0.916,lateral
100,10.0,WT,13,-0.0125,1.0,0.3329,0.908,lateral
100,10.0,WT,14,-0.027,1.0,0.3491,0.899,polar
100,10.0,WT,15,-0.027,1.0,0.3491,0.899,polar
100,10.0,WT,16,-0.0125,1.0,0.3329,0.908,lateral
100,10.0,WT,17,0.0094,1.0,0.3248,0.916,lateral
100,10.0,WT,18,0.0168,1.0,0.3322,0.916,lateral
100,10.0,WT,19,0.0262,1.0,0.3416,0.916,lateral
200,20.0,WT,0,0.049,1.0,0.4559,0.891,lateral
200,20.0,WT,1,0.0348,1.0,0.4418,0.891,lateral
