step,time,perturbation,id,L_current,L_cortex,L_sf,k_active,alignment,init_alignment,tension_cortex,tension_sf,tension_total,DSP,TJP1,JCAD,P_RhoA,P_RhoC
0,0.0,WT,0,4.6822,4.6822,4.6822,1.0,0.981,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,1,4.6822,4.6822,4.6822,1.0,0.831,0.831,-0.0,0.0,-0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,2,4.6822,4.6822,4.6822,1.0,0.556,0.556,-0.0,0.0,-0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,3,4.6822,4.6822,4.6822,1.0,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,4,4.6822,4.6822,4.6822,1.0,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,5,4.6822,4.6822,4.6822,1.0,0.556,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,6,4.6822,4.6822,4.6822,1.0,0.831,0.831,-0.0,0.0,-0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,7,4.6822,4.6822,4.6822,1.0,0.981,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,8,4.6822,4.6822,4.6822,1.0,0.981,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,9,4.6822,4.6822,4.6822,1.0,0.831,0.831,-0.0,0.0,-0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,10,4.6822,4.6822,4.6822,1.0,0.556,0.556,-0.0,0.0,-0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,11,4.6822,4.6822,4.6822,1.0,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,12,4.6822,4.6822,4.6822,1.0,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,13,4.6822,4.6822,4.6822,1.0,0.556,0.556,-0.0,0.0,-0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,14,4.6822,4.6822,4.6822,1.0,0.831,0.831,-0.0,0.0,-0.0,0.0,0.0,0.0,0.463,0.437
0,0.0,WT,15,4.6822,4.6822,4.6822,1.0,0.981,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.437
50,5.0,WT,0,4.3687,4.6822,4.6822,1.0,0.977,0.981,-0.0313,0.0,-0.0313,0.0,0.0,0.0,0.463,0.437
50,5.0,WT,1,5.0715,4.6822,4.6707,1.0,0.8,0.831,0.3894,0.2293,0.6187,0.069,0.253,0.006,0.419,0.518
50,5.0,WT,2,6.0249,4.6822,4.6492,1.0388,0.775,0.556,1.3905,0.5267,1.9172,0.563,0.593,0.384,0.562,0.612
50,5.0,WT,3,7.8856,4.6822,4.6531,1.2201,0.929,0.195,3.8913,0.435,4.3263,0.664,0.659,0.666,0.644,0.637
50,5.0,WT,4,7.8856,4.6822,4.6531,1.2201,0.929,0.195,3.8913,0.435,4.3263,0.664,0.659,0.666,0.644,0.637
50,5.0,WT,5,6.0249,4.6822,4.6492,1.0388,0.775,0.556,1.3905,0.5267,1.9172,0.563,0.593,0.384,0.562,0.612
50,5.0,WT,6,5.0715,4.6822,4.6707,1.0,0.8,0.831,0.3894,0.2293,0.6187,0.069,0.253,0.006,0.419,0.518
50,5.0,WT,7,4.3687,4.6822,4.6822,1.0,0.977,0.981,-0.0313,0.0,-0.0313,0.0,0.0,0.0,0.463,0.437
50,5.0,WT,8,4.3687,4.6822,4.6822,1.0,0.977,0.981,-0.0313,0.0,-0.0313,0.0,0.0,0.0,0.463,0.437
50,5.0,WT,9,5.0715,4.6822,4.6707,1.0,0.8,0.831,0.3894,0.2293,0.6187,0.069,0.253,0.006,0.419,0.518
50,5.0,WT,10,6.0249,4.6822,4.6492,1.0388,0.775,0.556,1.3905,0.5267,1.9172,0.563,0.593,0.384,0.562,0.612
50,5.0,WT,11,7.8856,4.6822,4.6531,1.2201,0.929,0.195,3.8913,0.435,4.3263,0.664,0.659,0.666,0.644,0.637
50,5.0,WT,12,7.8856,4.6822,4.6531,1.2201,0.929,0.195,3.8913,0.435,4.3263,0.664,0.659,0.666,0.644,0.637
50,5.0,WT,13,6.0249,4.6822,4.6492,1.0388,0.775,0.556,1.3905,0.5267,1.9172,0.563,0.593,0.384,0.562,0.612
50,5.0,WT,14,5.0715,4.6822,4.6707,1.0,0.8,0.831,0.3894,0.2293,0.6187,0.069,0.253,0.006,0.419,0.518
50,5.0,WT,15,4.3687,4.6822,4.6822,1.0,0.977,0.981,-0.0313,0.0,-0.0313,0.0,0.0,0.0,0.463,0.437
100,10.0,WT,0,5.2595,4.6822,4.653,1.0019,0.958,0.981,0.5783,0.4095,0.9878,0.184,0.383,0.058,0.468,0.515
100,10.0,WT,1,5.7618,4.6822,4.603,1.0295,0.853,0.831,1.1098,0.6637,1.7735,0.487,0.557,0.298,0.514,0.575
100,10.0,WT,2,6.5828,4.6822,4.5679,1.2631,0.902,0.556,2.3902,0.7718,3.162,0.646,0.642,0.64,0.654,0.619
100,10.0,WT,3,7.6991,4.6822,4.623,1.4645,0.949,0.195,4.4048,0.414,4.8188,0.666,0.661,0.668,0.644,0.637
100,10.0,WT,4,7.6991,4.6822,4.623,1.4645,0.949,0.195,4.4048,0.414,4.8188,0.666,0.661,0.668,0.644,0.637
100,10.0,WT,5,6.5828,4.6822,4.5679,1.2631,0.902,0.556,2.3902,0.7718,3.162,0.646,0.642,0.64,0.654,0.619
100,10.0,WT,6,5.7618,4.6822,4.603,1.0295,0.853,0.831,1.1098,0.6637,1.7735,0.487,0.557,0.298,0.514,0.575
100,10.0,WT,7,5.2595,4.6822,4.653,1.0019,0.958,0.981,0.5783,0.4095,0.9878,0.184,0.383,0.058,0.468,0.515
100,10.0,WT,8,5.2595,4.6822,4.653,1.0019,0.958,0.981,0.5783,0.4095,0.9878,0.184,0.383,0.058,0.468,0.515
100,10.0,WT,9,5.7618,4.6822,4.603,1.0295,0.853,0.831,1.1098,0.6637,1.7735,0.487,0.557,0.298,0.514,0.575
100,10.0,WT,10,6.5828,4.6822,4.5679,1.2631,0.902,0.556,2.3902,0.7718,3.162,0.646,0.642,0.64,0.654,0.619
100,10.0,WT,11,7.6991,4.6822,4.623,1.4645,0.949,0.195,4.4048,0.414,4.8188,0.666,0.661,0.668,0.644,0.637
100,10.0,WT,12,7.6991,4.6822,4.623,1.4645,0.949,0.195,4.4048,0.414,4.8188,0.666,0.661,0.668,0.644,0.637
100,10.0,WT,13,6.5828,4.6822,4.5679,1.2631,0.902,0.556,2.3902,0.7718,3.162,0.646,0.642,0.64,0.654,0.619
100,10.0,WT,14,5.7618,4.6822,4.603,1.0295,0.853,0.831,1.1098,0.6637,1.7735,0.487,0.557,0.298,0.514,0.575
100,10.0,WT,15,5.2595,4.6822,4.653,1.0019,0.958,0.981,0.5783,0.4095,0.9878,0.184,0.383,0.058,0.468,0.515
150,15.0,WT,0,6.0372,4.6822,4.5394,1.0858,0.979,0.981,1.467,1.0116,2.4786,0.577,0.6,0.543,0.565,0.626
150,15.0,WT,1,6.367,4.6822,4.4932,1.2186,0.925,0.831,2.046,1.0738,3.1198,0.632,0.632,0.622,0.612,0.616
150,15.0,WT,2,6.8045,4.6822,4.4871,1.5015,0.934,0.556,3.1773,0.8878,4.0651,0.659,0.654,0.661,0.644,0.637
150,15.0,WT,3,7.5174,4.6822,4.5974,1.6714,0.955,0.195,4.728,0.393,5.121,0.667,0.663,0.668,0.644,0.637
150,15.0,WT,4,7.5174,4.6822,4.5974,1.6714,0.955,0.195,4.728,0.393,5.121,0.667,0.663,0.668,0.644,0.637
150,15.0,WT,5,6.8045,4.6822,4.4871,1.5015,0.934,0.556,3.1773,0.8878,4.0651,0.659,0.654,0.661,0.644,0.637
150,15.0,WT,6,6.367,4.6822,4.4932,1.2186,0.925,0.831,2.046,1.0738,3.1198,0.632,0.632,0.622,0.612,0.616
150,15.0,WT,7,6.0372,4.6822,4.5394,1.0858,0.979,0.981,1.467,1.0116,2.4786,0.577,0.6,0.543,0.565,0.626
150,15.0,WT,8,6.0372,4.6822,4.5394,1.0858,0.979,0.981,1.467,1.0116,2.4786,0.577,0.6,0.543,0.565,0.626
150,15.0,WT,9,6.367,4.6822,4.4932,1.2186,0.925,0.831,2.046,1.0738,3.1198,0.632,0.632,0.622,0.612,0.616
150,15.0,WT,10,6.8045,4.6822,4.4871,1.5015,0.934,0.556,3.1773,0.8878,4.0651,0.659,0.654,0.661,0.644,0.637
150,15.0,WT,11,7.5174,4.6822,4.5974,1.6714,0.955,0.195,4.728,0.393,5.121,0.667,0.663,0.668,0.644,0.637
150,15.0,WT,12,7.5174,4.6822,4.5974,1.6714,0.955,0.195,4.728,0.393,5.121,0.667,0.663,0.668,0.644,0.637
150,15.0,WT,13,6.8045,4.6822,4.4871,1.5015,0.934,0.556,3.1773,0.8878,4.0651,0.659,0.654,0.661,0.644,0.637
150,15.0,WT,14,6.367,4.6822,4.4932,1.2186,0.925,0.831,2.046,1.0738,3.1198,0.632,0.632,0.622,0.612,0.616
