step,time,perturbation,cell_id,ar,orientation,area_err,rho_balance,mean_t_cortex,mean_t_sf,mean_k_active,mean_lsf_ratio
0,0.0,WT,0,1.007,0.0,1.0069,-0.026,0.0,0.0,1.0,1.0
50,5.0,WT,0,1.506,0.0,1.0023,0.029,1.41,0.2977,1.0647,0.9968
100,10.0,WT,0,2.09,180.0,1.0009,0.016,2.1207,0.5648,1.1897,0.9841
150,15.0,WT,0,2.73,180.0,0.9994,0.013,2.8546,0.8415,1.3693,0.9625
200,20.0,WT,0,3.349,180.0,0.9977,-0.007,3.7333,1.1025,1.5817,0.9394
250,25.0,WT,0,3.847,180.0,0.9963,-0.007,4.6339,1.3197,1.7705,0.9188
300,30.0,WT,0,4.187,180.0,0.9952,-0.007,5.4105,1.4755,1.9303,0.9014
350,35.0,WT,0,4.382,180.0,0.9944,-0.007,6.0103,1.5745,2.0656,0.8866
400,40.0,WT,0,4.469,180.0,0.9939,-0.007,6.4373,1.6298,2.1801,0.8741
450,45.0,WT,0,4.482,180.0,0.9935,-0.007,6.722,1.655,2.2769,0.8636
499,49.9,WT,0,4.453,180.0,0.9933,-0.007,6.898,1.6615,2.3574,0.8548
0,0.0,DSP_KO,0,1.007,0.0,1.0069,-0.026,0.0,0.0,1.0,1.0
50,5.0,DSP_KO,0,1.536,0.0,1.0027,0.233,1.3724,0.3175,1.0,0.9954
100,10.0,DSP_KO,0,2.17,0.0,1.0014,0.367,1.9475,0.6044,1.0,0.9766
150,15.0,DSP_KO,0,2.878,180.0,1.0002,0.483,2.4574,0.9305,1.0,0.9423
200,20.0,DSP_KO,0,3.601,180.0,0.999,0.524,2.936,1.2631,1.0,0.9016
250,25.0,DSP_KO,0,4.262,0.0,0.9981,0.541,3.3746,1.5711,1.0,0.8636
300,30.0,DSP_KO,0,4.826,180.0,0.9974,0.541,3.7457,1.8349,1.0,0.83
350,35.0,DSP_KO,0,5.286,180.0,0.9969,0.541,4.0438,2.0496,1.0,0.8015
400,40.0,DSP_KO,0,5.651,180.0,0.9965,0.541,4.2759,2.2205,1.0,0.7774
450,45.0,DSP_KO,0,5.934,180.0,0.9963,0.541,4.4531,2.3549,1.0,0.757
499,49.9,DSP_KO,0,6.145,180.0,0.9961,0.541,4.5842,2.4579,1.0,0.7401
0,0.0,TJP1_KO,0,1.007,0.0,1.0069,-0.026,0.0,0.0,1.0,1.0
50,5.0,TJP1_KO,0,1.471,0.0,1.0022,-0.255,1.5118,0.0,1.1385,1.0
100,10.0,TJP1_KO,0,2.004,180.0,1.0011,-0.373,2.3527,0.0,1.4162,1.0
150,15.0,TJP1_KO,0,2.603,180.0,0.9995,-0.523,3.3111,0.0,1.8072,1.0
200,20.0,TJP1_KO,0,3.199,180.0,0.9977,-0.538,4.5268,0.0,2.2,1.0
250,25.0,TJP1_KO,0,3.673,180.0,0.996,-0.538,5.8063,0.0,2.5352,1.0
300,30.0,TJP1_KO,0,3.971,180.0,0.9946,-0.538,6.9117,0.0,2.8188,1.0
350,35.0,TJP1_KO,0,4.107,180.0,0.9937,-0.538,7.7292,0.0,3.0589,1.0
400,40.0,TJP1_KO,0,4.127,180.0,0.993,-0.538,8.2625,0.0,3.262,1.0
450,45.0,TJP1_KO,0,4.078,0.0,0.9926,-0.538,8.5717,0.0,3.4339,1.0
499,49.9,TJP1_KO,0,3.999,0.0,0.9924,-0.538,8.725,0.0,3.5767,1.0
0,0.0,JCAD_KO,0,1.007,0.0,1.0069,-0.026,0.0,0.0,1.0,1.0
50,5.0,JCAD_KO,0,1.506,0.0,1.0023,0.029,1.41,0.2977,1.0647,0.9968
100,10.0,JCAD_KO,0,2.09,180.0,1.0009,0.016,2.1207,0.5648,1.1897,0.9841
150,15.0,JCAD_KO,0,2.73,180.0,0.9994,0.013,2.8546,0.8415,1.3693,0.9625
200,20.0,JCAD_KO,0,3.349,180.0,0.9977,-0.007,3.7333,1.1025,1.5817,0.9394
250,25.0,JCAD_KO,0,3.847,180.0,0.9963,-0.007,4.6339,1.3197,1.7705,0.9188
300,30.0,JCAD_KO,0,4.187,180.0,0.9952,-0.007,5.4105,1.4755,1.9303,0.9014
350,35.0,JCAD_KO,0,4.382,180.0,0.9944,-0.007,6.0103,1.5745,2.0656,0.8866
400,40.0,JCAD_KO,0,4.469,180.0,0.9939,-0.007,6.4373,1.6298,2.1801,0.8741
450,45.0,JCAD_KO,0,4.482,180.0,0.9935,-0.007,6.722,1.655,2.2769,0.8636
499,49.9,JCAD_KO,0,4.453,180.0,0.9933,-0.007,6.898,1.6615,2.3574,0.8548
0,0.0,DSP_JCAD_DKO,0,1.007,0.0,1.0069,-0.026,0.0,0.0,1.0,1.0
50,5.0,DSP_JCAD_DKO,0,1.505,0.0,1.0025,0.13,1.2876,0.2974,1.0,0.9961
100,10.0,DSP_JCAD_DKO,0,2.087,0.0,1.0013,0.192,1.8212,0.5563,1.0,0.9836
150,15.0,DSP_JCAD_DKO,0,2.732,180.0,1.0002,0.222,2.294,0.8341,1.0,0.9647
