DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.501999,0.5014,0.7020150000000001,0.7130010000000001,0.5085999999999999,1.0,1.0,WT,Competition_Landscape,0.010986000000000051,Normal
0.5098010000000001,0.505599,0.7304869999999999,0.587396,0.49780100000000005,1.0,2.0,WT,Competition_Landscape,-0.14309099999999986,Normal
0.493001,0.5020020000000001,0.7429350000000001,0.514147,0.499,1.0,3.0,WT,Competition_Landscape,-0.2287880000000001,Normal
0.49860099999999996,0.49600099999999997,0.7624670000000001,0.47188399999999997,0.502801,1.0,4.0,WT,Competition_Landscape,-0.29058300000000015,Failed
0.499601,0.49720200000000003,0.7710670000000001,0.439433,0.505802,1.0,5.0,WT,Competition_Landscape,-0.33163400000000004,Failed
0.505201,0.49340000000000006,0.7871920000000001,0.39763999999999994,0.4954,1.0,6.0,WT,Competition_Landscape,-0.3895520000000002,Failed
0.497,0.512601,0.786912,0.377425,0.49119899999999994,1.0,7.0,WT,Competition_Landscape,-0.40948699999999993,Failed
0.506799,0.483399,0.800033,0.352998,0.4876,1.0,8.0,WT,Competition_Landscape,-0.447035,Failed
0.507201,0.49940100000000004,0.805992,0.33867400000000003,0.509001,1.0,9.0,WT,Competition_Landscape,-0.467318,Failed
0.501798,0.499399,0.8119179999999999,0.313163,0.500597,1.0,10.0,WT,Competition_Landscape,-0.4987549999999999,Failed
0.499801,0.499202,0.805787,0.310967,0.49179999999999996,1.0,11.0,WT,Competition_Landscape,-0.49482000000000004,Failed
0.504799,0.49579900000000005,0.818835,0.285494,0.49939999999999996,1.0,12.0,WT,Competition_Landscape,-0.533341,Failed
0.507601,0.492999,0.823112,0.279083,0.489,1.0,13.0,WT,Competition_Landscape,-0.5440289999999999,Failed
0.506001,0.5054,0.8285980000000002,0.273905,0.501,1.0,14.0,WT,Competition_Landscape,-0.5546930000000001,Failed
0.5,0.5013989999999999,0.5917640000000001,0.737739,0.4994,2.0,1.0,WT,Competition_Landscape,0.14597499999999997,Normal
0.505001,0.5122010000000001,0.639653,0.6230399999999999,0.501402,2.0,2.0,WT,Competition_Landscape,-0.0166130000000001,Normal
0.516401,0.49400000000000005,0.6811400000000001,0.557872,0.5098010000000001,2.0,3.0,WT,Competition_Landscape,-0.12326800000000004,Normal
0.494599,0.4958,0.676009,0.532306,0.501602,2.0,4.0,WT,Competition_Landscape,-0.14370300000000003,Normal
0.501801,0.4926,0.6960339999999999,0.476226,0.495601,2.0,5.0,WT,Competition_Landscape,-0.21980799999999995,Normal
0.502599,0.4988,0.70563,0.44927500000000004,0.496399,2.0,6.0,WT,Competition_Landscape,-0.25635499999999994,Failed
0.492601,0.4916000000000001,0.7180570000000002,0.41345,0.494201,2.0,7.0,WT,Competition_Landscape,-0.3046070000000002,Failed
0.499799,0.497199,0.7303580000000001,0.40146699999999996,0.4992,2.0,8.0,WT,Competition_Landscape,-0.3288910000000001,Failed
0.4934,0.507198,0.736316,0.38302600000000003,0.5001990000000001,2.0,9.0,WT,Competition_Landscape,-0.35328999999999994,Failed
0.48479999999999995,0.49500000000000005,0.741867,0.36445900000000003,0.49760000000000004,2.0,10.0,WT,Competition_Landscape,-0.377408,Failed
0.507803,0.493001,0.7559410000000001,0.3438629999999999,0.493001,2.0,11.0,WT,Competition_Landscape,-0.41207800000000017,Failed
0.497199,0.503598,0.7534179999999999,0.34896200000000005,0.5147990000000001,2.0,12.0,WT,Competition_Landscape,-0.40445599999999987,Failed
0.49600000000000005,0.4957990000000001,0.7619980000000001,0.324571,0.5056010000000001,2.0,13.0,WT,Competition_Landscape,-0.43742700000000007,Failed
0.511,0.4942,0.7695349999999999,0.31159099999999995,0.505798,2.0,14.0,WT,Competition_Landscape,-0.4579439999999999,Failed
0.5066019999999999,0.5054,0.52519,0.744787,0.495801,3.0,1.0,WT,Competition_Landscape,0.21959699999999993,Normal
0.5002,0.48760099999999995,0.556619,0.667869,0.514002,3.0,2.0,WT,Competition_Landscape,0.11125000000000007,Normal
0.508001,0.5068,0.603715,0.594085,0.496,3.0,3.0,WT,Competition_Landscape,-0.009630000000000027,Normal
0.5069990000000001,0.49519900000000006,0.6224239999999999,0.542911,0.4912,3.0,4.0,WT,Competition_Landscape,-0.07951299999999983,Normal
0.488001,0.496001,0.628572,0.525335,0.5110010000000001,3.0,5.0,WT,Competition_Landscape,-0.10323700000000002,Normal
0.5056,0.49620099999999995,0.654098,0.478954,0.49080100000000004,3.0,6.0,WT,Competition_Landscape,-0.17514399999999997,Normal
0.49759999999999993,0.5029999999999999,0.666602,0.4601679999999999,0.4982019999999999,3.0,7.0,WT,Competition_Landscape,-0.20643400000000012,Normal
0.48779999999999996,0.5002,0.68279,0.429132,0.4928,3.0,8.0,WT,Competition_Landscape,-0.253658,Failed
0.500599,0.504398,0.692062,0.408873,0.5075989999999999,3.0,9.0,WT,Competition_Landscape,-0.28318899999999997,Failed
0.4916,0.5046,0.702722,0.398469,0.5069999999999999,3.0,10.0,WT,Competition_Landscape,-0.30425299999999994,Failed
0.505001,0.502202,0.706092,0.38361700000000004,0.49840199999999996,3.0,11.0,WT,Competition_Landscape,-0.322475,Failed
0.5005999999999999,0.49799999999999994,0.718234,0.361323,0.49660099999999996,3.0,12.0,WT,Competition_Landscape,-0.35691100000000003,Failed
0.5006,0.4906000000000001,0.701415,0.37408800000000003,0.509,3.0,13.0,WT,Competition_Landscape,-0.327327,Failed
0.496999,0.5066,0.7309660000000001,0.34228899999999995,0.4916,3.0,14.0,WT,Competition_Landscape,-0.38867700000000016,Failed
0.49639799999999995,0.5062,0.47337599999999996,0.7654070000000001,0.48839899999999997,4.0,1.0,WT,Competition_Landscape,0.2920310000000001,Hyper
0.497799,0.4844,0.510934,0.678782,0.5019979999999999,4.0,2.0,WT,Competition_Landscape,0.167848,Normal
0.492,0.49440100000000003,0.5400520000000001,0.628186,0.5104,4.0,3.0,WT,Competition_Landscape,0.08813399999999993,Normal
0.5035990000000001,0.4904000000000001,0.578554,0.575681,0.5000000000000001,4.0,4.0,WT,Competition_Landscape,-0.0028730000000000144,Normal
0.507001,0.49799899999999997,0.598592,0.5326890000000001,0.4757990000000001,4.0,5.0,WT,Competition_Landscape,-0.06590299999999993,Normal
0.5128010000000001,0.504402,0.6212949999999999,0.49944200000000005,0.500401,4.0,6.0,WT,Competition_Landscape,-0.12185299999999988,Normal
0.4903989999999999,0.5012009999999999,0.614251,0.48888999999999994,0.501,4.0,7.0,WT,Competition_Landscape,-0.12536100000000006,Normal
0.504801,0.4952000000000001,0.6442030000000001,0.458121,0.500401,4.0,8.0,WT,Competition_Landscape,-0.18608200000000008,Normal
0.485601,0.506601,0.6457139999999999,0.437722,0.5018,4.0,9.0,WT,Competition_Landscape,-0.2079919999999999,Normal
0.4934,0.4944,0.658907,0.42236300000000004,0.502802,4.0,10.0,WT,Competition_Landscape,-0.23654399999999998,Normal
0.490999,0.5050009999999999,0.666371,0.411685,0.49380100000000005,4.0,11.0,WT,Competition_Landscape,-0.254686,Failed
0.49660000000000004,0.507801,0.682067,0.40026199999999995,0.506001,4.0,12.0,WT,Competition_Landscape,-0.281805,Failed
0.510599,0.5048,0.689098,0.381744,0.4940010000000001,4.0,13.0,WT,Competition_Landscape,-0.30735399999999996,Failed
0.511599,0.49559600000000004,0.708292,0.36046000000000006,0.497797,4.0,14.0,WT,Competition_Landscape,-0.347832,Failed
0.49159899999999995,0.5023989999999999,0.42378800000000005,0.779972,0.504599,5.0,1.0,WT,Competition_Landscape,0.35618399999999995,Hyper
0.4934,0.5008,0.467258,0.7077150000000001,0.502798,5.0,2.0,WT,Competition_Landscape,0.2404570000000001,Normal
0.496399,0.494601,0.512831,0.6399800000000001,0.5054000000000001,5.0,3.0,WT,Competition_Landscape,0.12714900000000007,Normal
0.5071990000000001,0.5085979999999999,0.5291309999999999,0.6054069999999999,0.49939800000000006,5.0,4.0,WT,Competition_Landscape,0.07627600000000001,Normal
0.5038,0.5018,0.55296,0.56634,0.511,5.0,5.0,WT,Competition_Landscape,0.013379999999999947,Normal
0.5038,0.500598,0.581644,0.514981,0.48619900000000005,5.0,6.0,WT,Competition_Landscape,-0.06666300000000003,Normal
0.509601,0.5018009999999999,0.597382,0.508412,0.4969989999999999,5.0,7.0,WT,Competition_Landscape,-0.08897,Normal
0.486602,0.5032,0.6108260000000001,0.47741100000000003,0.48959900000000006,5.0,8.0,WT,Competition_Landscape,-0.13341500000000006,Normal
0.5114,0.503401,0.6277109999999999,0.46183300000000005,0.5058010000000001,5.0,9.0,WT,Competition_Landscape,-0.16587799999999986,Normal
0.510799,0.5001990000000001,0.634339,0.440468,0.5045989999999999,5.0,10.0,WT,Competition_Landscape,-0.19387099999999996,Normal
0.49860099999999996,0.5019999999999999,0.6322689999999999,0.438642,0.512801,5.0,11.0,WT,Competition_Landscape,-0.19362699999999988,Normal
0.498998,0.494599,0.6618860000000001,0.399535,0.49419900000000005,5.0,12.0,WT,Competition_Landscape,-0.2623510000000001,Failed
0.5111979999999999,0.4836,0.672572,0.3849929999999999,0.497799,5.0,13.0,WT,Competition_Landscape,-0.28757900000000003,Failed
0.504403,0.5004000000000001,0.671381,0.394156,0.503201,5.0,14.0,WT,Competition_Landscape,-0.277225,Failed
0.5167999999999999,0.498398,0.40908599999999995,0.782851,0.493598,6.0,1.0,WT,Competition_Landscape,0.373765,Hyper
0.49420000000000003,0.500399,0.447734,0.7219120000000001,0.5005999999999999,6.0,2.0,WT,Competition_Landscape,0.2741780000000001,Hyper
0.511599,0.5026,0.487835,0.643001,0.4868,6.0,3.0,WT,Competition_Landscape,0.15516600000000003,Normal
