DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_antagonistic,perb,exp_name,delta,phenotype
0.501601,0.5088010000000001,0.736974,0.522645,0.5105999999999999,5.0,1.0,WT,Escape_Threshold_RhoA,-0.214329,Normal
0.504599,0.484399,0.6401269999999999,0.5694260000000001,0.5044,5.0,2.0,WT,Escape_Threshold_RhoA,-0.07070099999999979,Normal
0.5044000000000001,0.4998,0.578864,0.604595,0.5087999999999999,5.0,3.0,WT,Escape_Threshold_RhoA,0.02573099999999995,Normal
0.49879899999999994,0.509599,0.5213019999999999,0.637804,0.494602,5.0,4.0,WT,Escape_Threshold_RhoA,0.1165020000000001,Normal
0.5086010000000001,0.5014020000000001,0.49297400000000013,0.6312920000000001,0.498401,5.0,5.0,WT,Escape_Threshold_RhoA,0.13831799999999994,Normal
0.49859899999999996,0.5014,0.43855700000000003,0.6660039999999999,0.49099899999999996,5.0,6.0,WT,Escape_Threshold_RhoA,0.2274469999999999,Normal
0.501399,0.49339799999999995,0.423122,0.68442,0.49519899999999994,5.0,7.0,WT,Escape_Threshold_RhoA,0.26129800000000003,Hyper
0.511599,0.493199,0.407176,0.68643,0.5017999999999999,5.0,8.0,WT,Escape_Threshold_RhoA,0.279254,Hyper
0.507601,0.503601,0.375847,0.705908,0.499799,5.0,9.0,WT,Escape_Threshold_RhoA,0.330061,Hyper
0.49420100000000006,0.5074000000000001,0.354986,0.71865,0.5110009999999999,5.0,10.0,WT,Escape_Threshold_RhoA,0.363664,Hyper
0.500601,0.501402,0.34990799999999994,0.719738,0.49899899999999997,5.0,11.0,WT,Escape_Threshold_RhoA,0.36983000000000005,Hyper
0.503601,0.5126,0.33204799999999995,0.7323149999999999,0.5068,5.0,12.0,WT,Escape_Threshold_RhoA,0.400267,Hyper
0.506002,0.507002,0.31900300000000004,0.737149,0.505201,5.0,13.0,WT,Escape_Threshold_RhoA,0.418146,Hyper
0.49860200000000005,0.5058010000000001,0.303098,0.7515749999999999,0.501602,5.0,14.0,WT,Escape_Threshold_RhoA,0.4484769999999999,Hyper
0.502201,0.5132,0.7529409999999999,0.520566,0.49780099999999994,10.0,1.0,WT,Escape_Threshold_RhoA,-0.2323749999999999,Normal
0.5114000000000001,0.507999,0.664215,0.5713790000000001,0.5058,10.0,2.0,WT,Escape_Threshold_RhoA,-0.09283599999999992,Normal
0.503,0.49579899999999993,0.6003130000000001,0.59227,0.4991999999999999,10.0,3.0,WT,Escape_Threshold_RhoA,-0.008043000000000133,Normal
0.49999899999999997,0.49999899999999997,0.540026,0.631492,0.5089980000000001,10.0,4.0,WT,Escape_Threshold_RhoA,0.09146600000000005,Normal
0.49900100000000003,0.49960099999999996,0.5054379999999999,0.642153,0.4848009999999999,10.0,5.0,WT,Escape_Threshold_RhoA,0.13671500000000003,Normal
0.5052010000000001,0.49159899999999995,0.48625499999999994,0.6562500000000001,0.5085999999999999,10.0,6.0,WT,Escape_Threshold_RhoA,0.16999500000000017,Normal
0.48259799999999997,0.4972,0.445802,0.6705019999999999,0.494998,10.0,7.0,WT,Escape_Threshold_RhoA,0.22469999999999996,Normal
0.4946,0.49060099999999995,0.430417,0.6880919999999999,0.49480100000000005,10.0,8.0,WT,Escape_Threshold_RhoA,0.25767499999999993,Hyper
0.505198,0.492597,0.41768000000000005,0.6904460000000001,0.492796,10.0,9.0,WT,Escape_Threshold_RhoA,0.27276600000000006,Hyper
0.49879999999999997,0.5049999999999999,0.39584700000000006,0.7046119999999999,0.49880099999999994,10.0,10.0,WT,Escape_Threshold_RhoA,0.30876499999999985,Hyper
0.49500000000000005,0.513001,0.383995,0.706985,0.497601,10.0,11.0,WT,Escape_Threshold_RhoA,0.32299,Hyper
0.5055999999999999,0.5017999999999999,0.37461599999999995,0.708521,0.488398,10.0,12.0,WT,Escape_Threshold_RhoA,0.333905,Hyper
0.49500000000000005,0.5052,0.35459300000000005,0.721854,0.501,10.0,13.0,WT,Escape_Threshold_RhoA,0.36726099999999995,Hyper
0.49460000000000004,0.5018,0.33873500000000006,0.7327710000000001,0.5066,10.0,14.0,WT,Escape_Threshold_RhoA,0.394036,Hyper
0.5210009999999999,0.4966,0.765296,0.522716,0.4968,15.0,1.0,WT,Escape_Threshold_RhoA,-0.24258000000000002,Normal
0.5075999999999999,0.5064,0.671374,0.563574,0.484601,15.0,2.0,WT,Escape_Threshold_RhoA,-0.1078,Normal
0.5064,0.4855999999999999,0.607728,0.590526,0.4977999999999999,15.0,3.0,WT,Escape_Threshold_RhoA,-0.01720200000000005,Normal
0.49939999999999996,0.49279999999999996,0.562923,0.6109629999999999,0.49219999999999997,15.0,4.0,WT,Escape_Threshold_RhoA,0.04803999999999997,Normal
0.503801,0.4976020000000001,0.5229210000000001,0.637427,0.5026,15.0,5.0,WT,Escape_Threshold_RhoA,0.11450599999999989,Normal
0.5067999999999999,0.49519899999999994,0.5009990000000001,0.6462330000000001,0.503798,15.0,6.0,WT,Escape_Threshold_RhoA,0.14523399999999997,Normal
0.49600000000000005,0.506799,0.4655000000000001,0.6688099999999999,0.517798,15.0,7.0,WT,Escape_Threshold_RhoA,0.20330999999999982,Normal
0.512002,0.49140100000000003,0.452448,0.673876,0.512201,15.0,8.0,WT,Escape_Threshold_RhoA,0.221428,Normal
0.4988,0.503601,0.434651,0.6676639999999999,0.4998,15.0,9.0,WT,Escape_Threshold_RhoA,0.23301299999999991,Normal
0.49899800000000005,0.49959800000000004,0.411718,0.690263,0.49539800000000006,15.0,10.0,WT,Escape_Threshold_RhoA,0.278545,Hyper
0.507203,0.5078,0.411386,0.686487,0.4971999999999999,15.0,11.0,WT,Escape_Threshold_RhoA,0.275101,Hyper
0.503,0.496999,0.389617,0.7090440000000001,0.4987999999999999,15.0,12.0,WT,Escape_Threshold_RhoA,0.3194270000000001,Hyper
0.504802,0.5047999999999999,0.386231,0.705929,0.506801,15.0,13.0,WT,Escape_Threshold_RhoA,0.31969800000000004,Hyper
0.49320099999999995,0.49879999999999997,0.35038400000000003,0.7293060000000001,0.5078,15.0,14.0,WT,Escape_Threshold_RhoA,0.3789220000000001,Hyper
0.5007999999999999,0.501403,0.756429,0.523444,0.5052009999999999,20.0,1.0,WT,Escape_Threshold_RhoA,-0.232985,Normal
0.490199,0.5054000000000001,0.675079,0.5518569999999999,0.49660000000000004,20.0,2.0,WT,Escape_Threshold_RhoA,-0.12322200000000005,Normal
0.5039990000000001,0.498799,0.6079840000000001,0.6003860000000001,0.503399,20.0,3.0,WT,Escape_Threshold_RhoA,-0.007597999999999994,Normal
0.503399,0.512401,0.568177,0.6215930000000001,0.503002,20.0,4.0,WT,Escape_Threshold_RhoA,0.05341600000000002,Normal
0.497602,0.490001,0.5279929999999999,0.627221,0.485403,20.0,5.0,WT,Escape_Threshold_RhoA,0.0992280000000001,Normal
0.496401,0.5028,0.504956,0.645399,0.491201,20.0,6.0,WT,Escape_Threshold_RhoA,0.14044299999999998,Normal
0.504602,0.494402,0.487355,0.659242,0.5084029999999999,20.0,7.0,WT,Escape_Threshold_RhoA,0.171887,Normal
0.4972019999999999,0.49100199999999994,0.4655029999999999,0.6586339999999999,0.49419899999999994,20.0,8.0,WT,Escape_Threshold_RhoA,0.19313100000000005,Normal
0.519601,0.5065999999999999,0.458393,0.6713399999999999,0.506999,20.0,9.0,WT,Escape_Threshold_RhoA,0.21294699999999994,Normal
0.49579900000000005,0.49979900000000005,0.426398,0.6800170000000001,0.49259900000000006,20.0,10.0,WT,Escape_Threshold_RhoA,0.2536190000000001,Hyper
0.5025999999999999,0.507801,0.41908700000000004,0.6871480000000001,0.496201,20.0,11.0,WT,Escape_Threshold_RhoA,0.26806100000000005,Hyper
0.504399,0.49659899999999996,0.39923099999999995,0.7085049999999999,0.498399,20.0,12.0,WT,Escape_Threshold_RhoA,0.309274,Hyper
0.4953989999999999,0.5010000000000001,0.38283,0.7055380000000001,0.4992,20.0,13.0,WT,Escape_Threshold_RhoA,0.3227080000000001,Hyper
0.495399,0.5038,0.3737889999999999,0.712423,0.49540000000000006,20.0,14.0,WT,Escape_Threshold_RhoA,0.3386340000000001,Hyper
0.484999,0.5011980000000001,0.748681,0.528579,0.5111990000000001,25.0,1.0,WT,Escape_Threshold_RhoA,-0.22010200000000002,Normal
0.506601,0.511601,0.669419,0.5604790000000001,0.488801,25.0,2.0,WT,Escape_Threshold_RhoA,-0.10893999999999993,Normal
0.511801,0.5,0.625115,0.573752,0.48720099999999994,25.0,3.0,WT,Escape_Threshold_RhoA,-0.051362999999999936,Normal
0.503,0.5054,0.5721829999999999,0.6078169999999999,0.508,25.0,4.0,WT,Escape_Threshold_RhoA,0.035634000000000055,Normal
0.4926,0.496799,0.541896,0.626047,0.5012,25.0,5.0,WT,Escape_Threshold_RhoA,0.08415099999999998,Normal
0.49639799999999995,0.494399,0.501227,0.6513430000000001,0.49979899999999994,25.0,6.0,WT,Escape_Threshold_RhoA,0.15011600000000014,Normal
0.5031990000000001,0.5014000000000001,0.48513500000000004,0.6603,0.4926020000000001,25.0,7.0,WT,Escape_Threshold_RhoA,0.17516499999999996,Normal
0.49400099999999997,0.502401,0.470094,0.665051,0.49360099999999996,25.0,8.0,WT,Escape_Threshold_RhoA,0.19495699999999994,Normal
