JCAD,RhoA,RhoC,TJP1,param_value,param_name,delta,phenotype
0.5107989999999999,0.40285999999999994,0.6713979999999999,0.484,5.0,$RhoC_amp,0.268538,Hyper
0.499201,0.398628,0.6821889999999999,0.501802,9.0,$RhoC_amp,0.28356099999999995,Hyper
0.500202,0.4001,0.673699,0.500201,13.0,$RhoC_amp,0.27359900000000004,Hyper
0.5066,0.393494,0.686304,0.5144,17.0,$RhoC_amp,0.29281,Hyper
0.4932,0.394488,0.693576,0.5026,21.0,$RhoC_amp,0.29908799999999996,Hyper
0.504,0.395472,0.692533,0.5014000000000001,25.0,$RhoC_amp,0.29706099999999996,Hyper
0.505999,0.385934,0.695991,0.509599,29.0,$RhoC_amp,0.310057,Hyper
0.49259899999999995,0.389442,0.699954,0.500601,33.0,$RhoC_amp,0.31051199999999995,Hyper
0.501599,0.382998,0.6952730000000001,0.5104000000000001,37.0,$RhoC_amp,0.31227500000000014,Hyper
0.49720000000000003,0.406531,0.689941,0.486599,41.0,$RhoC_amp,0.28341000000000005,Hyper
0.49959999999999993,0.3841,0.7013330000000001,0.5032000000000001,45.0,$RhoC_amp,0.3172330000000001,Hyper
0.5056,0.377658,0.6973940000000001,0.49400099999999997,49.0,$RhoC_amp,0.3197360000000001,Hyper
0.495199,0.397527,0.697454,0.502,53.0,$RhoC_amp,0.299927,Hyper
0.5075989999999999,0.39705799999999997,0.689002,0.49540000000000006,57.0,$RhoC_amp,0.29194400000000004,Hyper
0.482799,0.432461,0.615469,0.5086,1.0,$RhoC_mod,0.18300800000000006,Normal
0.48919999999999997,0.401515,0.659824,0.5045999999999999,2.0,$RhoC_mod,0.25830899999999996,Hyper
0.489401,0.40653599999999995,0.671932,0.507801,3.0,$RhoC_mod,0.265396,Hyper
0.5024,0.396504,0.689157,0.5034,4.0,$RhoC_mod,0.292653,Hyper
0.492001,0.38427900000000004,0.692502,0.486201,5.0,$RhoC_mod,0.3082229999999999,Hyper
0.5108,0.38637900000000003,0.702698,0.48340099999999997,6.0,$RhoC_mod,0.316319,Hyper
0.5099980000000001,0.38038799999999995,0.7210690000000001,0.500399,7.0,$RhoC_mod,0.3406810000000001,Hyper
0.495601,0.315419,0.7985430000000001,0.5048009999999999,1.0,$RhoC_antagonistic,0.4831240000000001,Hyper
0.49160000000000004,0.337663,0.768522,0.496199,1.5,$RhoC_antagonistic,0.43085900000000005,Hyper
0.49819899999999995,0.36483699999999997,0.73439,0.500399,2.0,$RhoC_antagonistic,0.369553,Hyper
0.508,0.39345,0.69131,0.49539999999999995,2.5,$RhoC_antagonistic,0.29785999999999996,Hyper
0.497598,0.409547,0.677093,0.49679799999999996,3.0,$RhoC_antagonistic,0.26754599999999995,Hyper
0.5012,0.422557,0.659639,0.5078,3.5,$RhoC_antagonistic,0.23708199999999996,Normal
0.4979999999999999,0.42956300000000003,0.638504,0.49959999999999993,4.0,$RhoC_antagonistic,0.20894099999999993,Normal
0.49360099999999996,0.45056799999999997,0.6062590000000001,0.483601,4.5,$RhoC_antagonistic,0.15569100000000013,Normal
0.49680100000000005,0.452948,0.599291,0.492,5.0,$RhoC_antagonistic,0.146343,Normal
0.503599,0.467841,0.577681,0.502398,5.5,$RhoC_antagonistic,0.10984,Normal
0.498401,0.467491,0.584217,0.49860099999999996,6.0,$RhoC_antagonistic,0.116726,Normal
0.513201,0.484132,0.5641120000000001,0.4992,6.5,$RhoC_antagonistic,0.07998000000000005,Normal
0.5060009999999999,0.496217,0.551062,0.49639999999999995,7.0,$RhoC_antagonistic,0.05484500000000003,Normal
0.5035999999999999,0.49980199999999997,0.545114,0.49560000000000004,7.5,$RhoC_antagonistic,0.04531200000000002,Normal
0.498802,0.502867,0.528675,0.491601,8.0,$RhoC_antagonistic,0.025808000000000053,Normal
0.499399,0.49829100000000004,0.536904,0.506399,8.5,$RhoC_antagonistic,0.03861300000000001,Normal
0.5001979999999999,0.520231,0.51339,0.503199,9.0,$RhoC_antagonistic,-0.006840999999999986,Normal
0.497601,0.528012,0.5050809999999999,0.496001,9.5,$RhoC_antagonistic,-0.022931000000000146,Normal
0.502799,0.402142,0.711274,0.49039999999999995,0.05,$RhoC_decay,0.30913199999999996,Hyper
0.506599,0.39320999999999995,0.696006,0.5014,0.15000000000000002,$RhoC_decay,0.30279600000000007,Hyper
0.5009990000000001,0.40239900000000006,0.668166,0.498999,0.25000000000000006,$RhoC_decay,0.265767,Hyper
0.49379900000000004,0.40971,0.642235,0.493399,0.3500000000000001,$RhoC_decay,0.23252499999999998,Normal
0.49860099999999996,0.407639,0.636646,0.4962,0.45000000000000007,$RhoC_decay,0.22900700000000007,Normal
0.5084,0.411003,0.6268990000000001,0.4972,0.55,$RhoC_decay,0.2158960000000001,Normal
0.5030000000000001,0.42143800000000003,0.5973849999999999,0.5048,0.6500000000000001,$RhoC_decay,0.1759469999999999,Normal
0.49880099999999994,0.41383299999999995,0.5800719999999999,0.496801,0.7500000000000001,$RhoC_decay,0.16623899999999997,Normal
0.499601,0.4027610000000001,0.578614,0.500001,0.8500000000000002,$RhoC_decay,0.17585299999999987,Normal
0.501201,0.41925999999999997,0.563795,0.500001,0.9500000000000002,$RhoC_decay,0.14453500000000008,Normal
