DSP,JCAD,RhoA,RhoC,TJP1,param_value,param_name,perturbation,delta,phenotype
0.502999,0.4916,0.567108,0.6109439999999999,0.511,5.0,$RhoA_amp,WT,0.043835999999999986,Normal
0.49879999999999997,0.503799,0.598421,0.592196,0.4983989999999999,9.0,$RhoA_amp,WT,-0.006225000000000036,Normal
0.49419799999999997,0.5071980000000001,0.598594,0.6013260000000001,0.510399,13.0,$RhoA_amp,WT,0.0027320000000001787,Normal
0.502602,0.5036,0.605573,0.598428,0.500001,17.0,$RhoA_amp,WT,-0.007145000000000068,Normal
0.5042,0.49879899999999994,0.6206930000000002,0.5900019999999999,0.48419999999999996,21.0,$RhoA_amp,WT,-0.030691000000000246,Normal
0.509201,0.49959999999999993,0.615159,0.587304,0.48700099999999996,25.0,$RhoA_amp,WT,-0.027854999999999963,Normal
0.48839999999999995,0.4892,0.613907,0.589955,0.500198,29.0,$RhoA_amp,WT,-0.023951999999999973,Normal
0.4964,0.496999,0.6104979999999999,0.590243,0.498,33.0,$RhoA_amp,WT,-0.020254999999999912,Normal
0.501999,0.495599,0.615819,0.6014079999999999,0.49859800000000004,37.0,$RhoA_amp,WT,-0.014411000000000063,Normal
0.49959999999999993,0.514201,0.6283,0.594688,0.49380099999999993,41.0,$RhoA_amp,WT,-0.033611999999999975,Normal
0.4934000000000001,0.4954,0.623055,0.5828249999999999,0.4916000000000001,45.0,$RhoA_amp,WT,-0.0402300000000001,Normal
0.500401,0.49119900000000005,0.6348900000000001,0.5823429999999999,0.510799,49.0,$RhoA_amp,WT,-0.05254700000000012,Normal
0.5184019999999999,0.485998,0.63029,0.588393,0.5089989999999999,53.0,$RhoA_amp,WT,-0.04189699999999996,Normal
0.5136000000000001,0.5144,0.6395279999999999,0.5912649999999999,0.49659800000000004,57.0,$RhoA_amp,WT,-0.048262999999999945,Normal
0.49099899999999996,0.4934,0.528224,0.6271319999999999,0.497799,1.0,$RhoA_mod,WT,0.09890799999999988,Normal
0.49040000000000006,0.4934,0.570976,0.6154630000000001,0.5126000000000001,2.0,$RhoA_mod,WT,0.044487000000000054,Normal
0.49940000000000007,0.49759899999999996,0.5872400000000001,0.603088,0.506399,3.0,$RhoA_mod,WT,0.015847999999999862,Normal
0.4868,0.501199,0.5988580000000001,0.593905,0.5092,4.0,$RhoA_mod,WT,-0.004953000000000096,Normal
0.5032000000000001,0.49280000000000007,0.6291640000000001,0.582601,0.49479999999999996,5.0,$RhoA_mod,WT,-0.04656300000000002,Normal
0.49020100000000005,0.49880199999999997,0.6301000000000001,0.583712,0.505999,6.0,$RhoA_mod,WT,-0.046388000000000096,Normal
0.49819899999999995,0.492799,0.636996,0.572875,0.49679900000000005,7.0,$RhoA_mod,WT,-0.06412099999999998,Normal
0.494402,0.503601,0.444774,0.669181,0.48940100000000003,0.1,$RhoA_basal,WT,0.22440700000000002,Normal
0.492599,0.504799,0.49453699999999995,0.646094,0.482,0.30000000000000004,$RhoA_basal,WT,0.151557,Normal
0.5102,0.506997,0.552692,0.613069,0.496598,0.5000000000000001,$RhoA_basal,WT,0.060377000000000014,Normal
0.49980100000000005,0.4978010000000001,0.5806439999999999,0.600911,0.5008,0.7000000000000002,$RhoA_basal,WT,0.020267000000000035,Normal
0.49939999999999996,0.48999999999999994,0.609555,0.581095,0.49599899999999997,0.9000000000000001,$RhoA_basal,WT,-0.02845999999999993,Normal
0.499401,0.498799,0.6217000000000001,0.582991,0.4958,1.1,$RhoA_basal,WT,-0.038709000000000104,Normal
0.484401,0.503001,0.655654,0.564546,0.487402,1.3000000000000003,$RhoA_basal,WT,-0.09110799999999997,Normal
0.511202,0.49620200000000003,0.761747,0.5153260000000001,0.491001,1.0,$RhoA_antagonistic,WT,-0.2464209999999999,Normal
0.5018009999999999,0.505201,0.703143,0.535674,0.503,1.5,$RhoA_antagonistic,WT,-0.16746899999999998,Normal
0.4986,0.5006,0.6594559999999999,0.5571929999999999,0.48699899999999996,2.0,$RhoA_antagonistic,WT,-0.10226299999999999,Normal
0.507399,0.5079990000000001,0.632447,0.586175,0.49920000000000003,2.5,$RhoA_antagonistic,WT,-0.04627199999999998,Normal
0.500998,0.5030000000000001,0.5884960000000001,0.5873470000000001,0.500801,3.0,$RhoA_antagonistic,WT,-0.0011490000000000666,Normal
0.5102,0.49939900000000004,0.585742,0.5922040000000001,0.49360000000000004,3.5,$RhoA_antagonistic,WT,0.006462000000000079,Normal
0.5046,0.5000000000000001,0.5453279999999999,0.6265489999999999,0.5004,4.0,$RhoA_antagonistic,WT,0.08122099999999999,Normal
0.5047999999999999,0.4898,0.5364349999999999,0.6304109999999999,0.495,4.5,$RhoA_antagonistic,WT,0.09397600000000006,Normal
0.5,0.476,0.5069530000000001,0.6314580000000001,0.487,5.0,$RhoA_antagonistic,WT,0.12450499999999998,Normal
0.499201,0.49579999999999996,0.496305,0.646545,0.501601,5.5,$RhoA_antagonistic,WT,0.15024000000000004,Normal
0.502801,0.49979999999999997,0.484145,0.6537689999999999,0.49260000000000004,6.0,$RhoA_antagonistic,WT,0.16962399999999994,Normal
0.4898,0.501799,0.459531,0.6644009999999999,0.504401,6.5,$RhoA_antagonistic,WT,0.20486999999999989,Normal
0.5018,0.4978,0.45266499999999993,0.6769729999999999,0.49899999999999994,7.0,$RhoA_antagonistic,WT,0.224308,Normal
0.497598,0.492398,0.442002,0.6794119999999999,0.5178000000000001,7.5,$RhoA_antagonistic,WT,0.2374099999999999,Normal
0.49900200000000006,0.5010020000000001,0.435874,0.6778460000000001,0.48819999999999997,8.0,$RhoA_antagonistic,WT,0.24197200000000008,Normal
0.503802,0.499002,0.426929,0.6792040000000001,0.49920099999999995,8.5,$RhoA_antagonistic,WT,0.25227500000000014,Hyper
0.49460099999999996,0.4932,0.4093220000000001,0.6918309999999999,0.501001,9.0,$RhoA_antagonistic,WT,0.2825089999999998,Hyper
0.500999,0.496999,0.40050399999999997,0.699019,0.49820099999999995,9.5,$RhoA_antagonistic,WT,0.298515,Hyper
0.5031990000000001,0.4982,0.626692,0.582793,0.489599,0.05,$RhoA_decay,WT,-0.04389900000000002,Normal
0.48820100000000005,0.48479999999999995,0.6003879999999999,0.6008410000000001,0.4992010000000001,0.15000000000000002,$RhoA_decay,WT,0.00045300000000014773,Normal
0.5090020000000001,0.492201,0.5955130000000001,0.594584,0.49880100000000005,0.25000000000000006,$RhoA_decay,WT,-0.0009290000000000687,Normal
0.5054,0.5004000000000001,0.579934,0.5913720000000001,0.5087990000000001,0.3500000000000001,$RhoA_decay,WT,0.01143800000000017,Normal
0.5154,0.5018,0.5767800000000001,0.58978,0.496,0.45000000000000007,$RhoA_decay,WT,0.0129999999999999,Normal
0.495399,0.5041990000000001,0.547178,0.6121639999999999,0.5076,0.55,$RhoA_decay,WT,0.06498599999999988,Normal
0.49660000000000004,0.5052,0.548491,0.606988,0.499001,0.6500000000000001,$RhoA_decay,WT,0.05849700000000002,Normal
0.500201,0.493199,0.525116,0.6173759999999999,0.503799,0.7500000000000001,$RhoA_decay,WT,0.0922599999999999,Normal
0.5027999999999999,0.500602,0.527708,0.612786,0.5040009999999999,0.8500000000000002,$RhoA_decay,WT,0.0850780000000001,Normal
0.488799,0.4972,0.5149710000000001,0.60881,0.497999,0.9500000000000002,$RhoA_decay,WT,0.0938389999999999,Normal
0.5028,0.49620000000000003,0.602634,0.5731959999999999,0.490999,5.0,$RhoC_amp,WT,-0.029438000000000075,Normal
0.49059899999999995,0.4996,0.596438,0.588378,0.487999,9.0,$RhoC_amp,WT,-0.008060000000000067,Normal
0.496201,0.5106,0.599449,0.59035,0.48659900000000006,13.0,$RhoC_amp,WT,-0.009098999999999968,Normal
0.497001,0.508401,0.59226,0.6118439999999999,0.4966,17.0,$RhoC_amp,WT,0.019583999999999935,Normal
0.505,0.501199,0.594715,0.6192629999999999,0.49679999999999996,21.0,$RhoC_amp,WT,0.024547999999999903,Normal
0.504201,0.507201,0.591143,0.617634,0.496,25.0,$RhoC_amp,WT,0.026491000000000042,Normal
