t,DSP,TJP1,JCAD,RhoA,RhoC,perturbation,delta,phenotype
0.0,0.5096,0.49459899999999996,0.5146,0.5441109999999999,0.53462,WT,-0.009490999999999916,Normal
0.1,0.509602,0.49460099999999996,0.5146009999999999,0.5754889999999999,0.563836,WT,-0.011652999999999913,Normal
0.2,0.509599,0.49460099999999996,0.514601,0.5876699999999999,0.5798079999999999,WT,-0.007862000000000036,Normal
0.3,0.509599,0.494599,0.5145989999999999,0.59244,0.5929089999999999,WT,0.0004689999999999417,Normal
0.4,0.5096010000000001,0.49460000000000004,0.5146,0.595551,0.592974,WT,-0.0025770000000000515,Normal
0.5,0.5096,0.49460099999999996,0.5146010000000001,0.5956229999999999,0.596815,WT,0.0011920000000000819,Normal
0.6,0.5096,0.49460000000000004,0.5146,0.594999,0.594003,WT,-0.0009959999999999969,Normal
0.7,0.5096,0.49459900000000007,0.514599,0.589347,0.596301,WT,0.006954000000000016,Normal
0.8,0.5095999999999999,0.494601,0.514601,0.581128,0.601839,WT,0.020711000000000035,Normal
0.9,0.509599,0.49460300000000007,0.5146000000000001,0.5897420000000001,0.598509,WT,0.008766999999999858,Normal
1.0,0.509599,0.494599,0.5146000000000001,0.592747,0.6008510000000001,WT,0.008104000000000111,Normal
1.1,0.509599,0.49459899999999996,0.5145989999999999,0.5962839999999999,0.603453,WT,0.007169000000000092,Normal
1.2,0.509601,0.49459899999999996,0.5146,0.592515,0.60219,WT,0.00967499999999999,Normal
1.3,0.509599,0.49459899999999996,0.514598,0.591998,0.600971,WT,0.008973000000000009,Normal
1.4,0.5095999999999999,0.4946,0.514601,0.591795,0.593427,WT,0.0016320000000000778,Normal
1.5,0.5096,0.49460000000000004,0.514601,0.5981179999999999,0.595683,WT,-0.002434999999999965,Normal
1.6,0.5096,0.494601,0.514601,0.600902,0.5928990000000002,WT,-0.008002999999999871,Normal
1.7,0.5096,0.4946,0.5146,0.6026119999999999,0.5928640000000001,WT,-0.009747999999999868,Normal
1.8,0.5096010000000001,0.494601,0.514599,0.599546,0.5892649999999999,WT,-0.010281000000000096,Normal
1.9,0.509601,0.494601,0.514599,0.595252,0.594166,WT,-0.0010860000000000314,Normal
2.0,0.509601,0.49460200000000004,0.514602,0.594164,0.5918239999999999,WT,-0.0023400000000001198,Normal
2.1,0.5096,0.49460099999999996,0.514598,0.597262,0.595631,WT,-0.001630999999999938,Normal
2.2,0.509599,0.49459999999999993,0.5146000000000001,0.599162,0.5939909999999999,WT,-0.005171000000000037,Normal
2.3,0.5096,0.49459699999999995,0.514599,0.5969260000000001,0.596465,WT,-0.0004610000000000447,Normal
2.4,0.5095989999999999,0.49459899999999996,0.5145989999999999,0.5967429999999999,0.5963389999999998,WT,-0.00040400000000007097,Normal
2.5,0.509601,0.494601,0.5146019999999999,0.593794,0.6000249999999999,WT,0.0062309999999998755,Normal
