DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,delta,phenotype
0.5115999999999999,0.5044000000000001,0.572275,0.5976980000000001,0.4978,$RhoA_amp,5.0,N/A,,WT,WT,0.025423000000000084,Normal
0.494201,0.5188010000000001,0.58634,0.602983,0.5028,$RhoA_amp,7.5,N/A,,WT,WT,0.016643000000000074,Normal
0.493,0.48120000000000007,0.590113,0.5852229999999999,0.48840000000000006,$RhoA_amp,10.0,N/A,,WT,WT,-0.004890000000000061,Normal
0.5012,0.5034,0.598768,0.596991,0.5124,$RhoA_amp,12.5,N/A,,WT,WT,-0.0017769999999999175,Normal
0.509801,0.49840100000000004,0.6161620000000001,0.588738,0.495,$RhoA_amp,15.0,N/A,,WT,WT,-0.027424000000000115,Normal
0.4908,0.4946,0.608738,0.589089,0.501001,$RhoA_amp,17.5,N/A,,WT,WT,-0.019649000000000028,Normal
0.491798,0.502198,0.613758,0.597844,0.5102,$RhoA_amp,20.0,N/A,,WT,WT,-0.015913999999999984,Normal
0.4978,0.49260099999999996,0.6054409999999999,0.597789,0.5018,$RhoA_amp,22.5,N/A,,WT,WT,-0.007651999999999881,Normal
0.501999,0.4967999999999999,0.6162639999999999,0.586262,0.48619999999999997,$RhoA_amp,25.0,N/A,,WT,WT,-0.030001999999999973,Normal
0.501201,0.49699999999999994,0.6126459999999999,0.594543,0.502799,$RhoA_amp,27.5,N/A,,WT,WT,-0.01810299999999987,Normal
0.499399,0.501,0.532827,0.6382810000000001,0.5031990000000001,$RhoA_mod,1.0,N/A,,WT,WT,0.10545400000000005,Normal
0.49539900000000003,0.5042,0.579313,0.616009,0.5022,$RhoA_mod,2.0,N/A,,WT,WT,0.03669600000000006,Normal
0.4955989999999999,0.5014000000000001,0.5963140000000001,0.5986910000000001,0.49899799999999994,$RhoA_mod,3.0,N/A,,WT,WT,0.0023769999999999625,Normal
0.49500099999999997,0.509799,0.605746,0.587283,0.4946,$RhoA_mod,4.0,N/A,,WT,WT,-0.018463000000000007,Normal
0.4956,0.4926,0.614834,0.580017,0.5004,$RhoA_mod,5.0,N/A,,WT,WT,-0.03481699999999999,Normal
0.505198,0.49739900000000004,0.6327780000000001,0.583746,0.49779700000000005,$RhoA_mod,6.0,N/A,,WT,WT,-0.049032000000000076,Normal
0.4948,0.5116010000000001,0.6309390000000001,0.5855180000000001,0.5068020000000001,$RhoA_mod,7.0,N/A,,WT,WT,-0.045421000000000045,Normal
0.5018009999999999,0.5072009999999999,0.453405,0.669725,0.496398,$RhoA_basal,0.1,N/A,,WT,WT,0.21632,Normal
0.49720000000000003,0.498599,0.497201,0.6524040000000001,0.5061990000000001,$RhoA_basal,0.30000000000000004,N/A,,WT,WT,0.1552030000000001,Normal
0.48900099999999996,0.49460000000000004,0.54724,0.6250939999999999,0.502399,$RhoA_basal,0.5000000000000001,N/A,,WT,WT,0.07785399999999998,Normal
0.49560000000000004,0.4982,0.586799,0.593853,0.4966,$RhoA_basal,0.7000000000000002,N/A,,WT,WT,0.007054000000000005,Normal
0.4878,0.497,0.6010430000000001,0.593637,0.4977990000000001,$RhoA_basal,0.9000000000000001,N/A,,WT,WT,-0.007406000000000135,Normal
0.505401,0.5070009999999999,0.6371840000000001,0.579783,0.4898,$RhoA_basal,1.1,N/A,,WT,WT,-0.057401000000000035,Normal
0.4945989999999999,0.499799,0.662912,0.5756340000000001,0.497,$RhoA_basal,1.3000000000000003,N/A,,WT,WT,-0.08727799999999986,Normal
0.5025999999999999,0.48019999999999996,0.749255,0.519308,0.5065999999999999,$RhoA_antagonistic,1.0,N/A,,WT,WT,-0.229947,Normal
0.5069980000000001,0.508,0.666069,0.5626669999999999,0.5044,$RhoA_antagonistic,2.0,N/A,,WT,WT,-0.1034020000000001,Normal
0.4806,0.49520000000000003,0.590315,0.599533,0.5088,$RhoA_antagonistic,3.0,N/A,,WT,WT,0.009217999999999948,Normal
0.491201,0.487801,0.539334,0.633707,0.506801,$RhoA_antagonistic,4.0,N/A,,WT,WT,0.09437300000000004,Normal
0.498997,0.500397,0.510526,0.634379,0.49800000000000005,$RhoA_antagonistic,5.0,N/A,,WT,WT,0.12385299999999999,Normal
0.5068010000000001,0.505601,0.4788799999999999,0.661829,0.510999,$RhoA_antagonistic,6.0,N/A,,WT,WT,0.18294900000000008,Normal
0.49839999999999995,0.499401,0.458565,0.661686,0.5013989999999999,$RhoA_antagonistic,7.0,N/A,,WT,WT,0.203121,Normal
0.5164010000000001,0.49639999999999995,0.435909,0.6784360000000002,0.48980100000000004,$RhoA_antagonistic,8.0,N/A,,WT,WT,0.24252700000000016,Normal
0.5062,0.5,0.408927,0.7016009999999999,0.496399,$RhoA_antagonistic,9.0,N/A,,WT,WT,0.29267399999999993,Hyper
0.5086,0.49599999999999994,0.397484,0.694828,0.496599,$RhoA_antagonistic,10.0,N/A,,WT,WT,0.297344,Hyper
0.5057990000000001,0.5128010000000001,0.385679,0.7061360000000001,0.504201,$RhoA_antagonistic,11.0,N/A,,WT,WT,0.3204570000000001,Hyper
0.49860200000000005,0.498201,0.363597,0.7124229999999999,0.5038020000000001,$RhoA_antagonistic,12.0,N/A,,WT,WT,0.3488259999999999,Hyper
0.49279999999999996,0.5074,0.355734,0.724253,0.5104000000000001,$RhoA_antagonistic,13.0,N/A,,WT,WT,0.36851900000000004,Hyper
0.503799,0.51,0.340292,0.724801,0.502801,$RhoA_antagonistic,14.0,N/A,,WT,WT,0.38450900000000005,Hyper
0.49420000000000003,0.487399,0.33236600000000005,0.7289920000000001,0.5006010000000001,$RhoA_antagonistic,15.0,N/A,,WT,WT,0.39662600000000003,Hyper
0.49579999999999996,0.49699999999999994,0.6201709999999999,0.5910599999999999,0.5046,$RhoA_decay,0.05,N/A,,WT,WT,-0.029110999999999998,Normal
0.5072000000000001,0.506798,0.600842,0.5956830000000001,0.496399,$RhoA_decay,0.15000000000000002,N/A,,WT,WT,-0.005158999999999914,Normal
