DSP,JCAD,RhoA,RhoC,TJP1,p_name,p_value,perb,delta,phenotype
0.504799,0.49519899999999994,0.571084,0.60471,0.506798,$RhoA_amp,5.0,WT,0.033625999999999934,Normal
0.509601,0.49719899999999995,0.601961,0.590802,0.4948,$RhoA_amp,10.0,WT,-0.011158999999999919,Normal
0.492401,0.5030009999999999,0.606174,0.5898140000000001,0.49360199999999993,$RhoA_amp,15.0,WT,-0.01635999999999993,Normal
0.504599,0.517,0.622354,0.587001,0.49140000000000006,$RhoA_amp,20.0,WT,-0.03535299999999997,Normal
0.497602,0.489201,0.612811,0.5969329999999999,0.510002,$RhoA_amp,25.0,WT,-0.01587800000000006,Normal
0.499799,0.500201,0.6108309999999999,0.5934,0.5045999999999999,$RhoA_amp,30.0,WT,-0.017430999999999863,Normal
0.5076,0.510201,0.624768,0.591406,0.501,$RhoA_amp,35.0,WT,-0.033362,Normal
0.499202,0.500402,0.625751,0.5933620000000001,0.507401,$RhoA_amp,40.0,WT,-0.03238899999999989,Normal
0.5058,0.49959899999999996,0.625963,0.584662,0.5207999999999999,$RhoA_amp,45.0,WT,-0.04130100000000003,Normal
0.4954009999999999,0.5084,0.633301,0.5842330000000001,0.4996010000000001,$RhoA_amp,50.0,WT,-0.04906799999999989,Normal
0.5056,0.4948,0.627714,0.586108,0.48740000000000006,$RhoA_amp,55.0,WT,-0.04160600000000003,Normal
0.498799,0.496399,0.524327,0.644877,0.503999,$RhoA_mod,1.0,WT,0.12055000000000005,Normal
0.49300099999999997,0.48879999999999996,0.570521,0.6061469999999999,0.491401,$RhoA_mod,2.0,WT,0.035625999999999935,Normal
0.49140100000000003,0.515801,0.596233,0.602981,0.501201,$RhoA_mod,3.0,WT,0.006747999999999976,Normal
0.49119999999999997,0.486799,0.6069170000000002,0.5891820000000001,0.505599,$RhoA_mod,4.0,WT,-0.017735000000000056,Normal
0.4968010000000001,0.5041990000000001,0.6195820000000001,0.581533,0.49999899999999997,$RhoA_mod,5.0,WT,-0.03804900000000011,Normal
0.5041999999999999,0.505,0.6242069999999998,0.5938489999999998,0.501601,$RhoA_mod,6.0,WT,-0.030357999999999996,Normal
0.49439900000000003,0.4892,0.6291030000000001,0.582603,0.5007989999999999,$RhoA_mod,7.0,WT,-0.0465000000000001,Normal
0.502401,0.511599,0.4341340000000001,0.672529,0.49979900000000005,$RhoA_basal,0.1,WT,0.23839499999999997,Normal
0.492201,0.4972,0.562428,0.618047,0.5054000000000001,$RhoA_basal,0.6,WT,0.055618999999999974,Normal
0.5073989999999999,0.4912000000000001,0.6362920000000001,0.57387,0.48960000000000004,$RhoA_basal,1.1,WT,-0.06242200000000009,Normal
0.49119999999999997,0.4846,0.748089,0.5153669999999999,0.49139999999999995,$RhoA_antagonistic,1.0,WT,-0.2327220000000001,Normal
0.493203,0.502603,0.6609210000000001,0.567445,0.49960199999999994,$RhoA_antagonistic,2.0,WT,-0.09347600000000011,Normal
0.49860099999999996,0.490401,0.593024,0.595483,0.49879999999999997,$RhoA_antagonistic,3.0,WT,0.002458999999999989,Normal
0.5057999999999999,0.49300099999999997,0.545352,0.6193580000000001,0.49700200000000005,$RhoA_antagonistic,4.0,WT,0.07400600000000013,Normal
0.501999,0.494997,0.5166299999999999,0.6398089999999999,0.508399,$RhoA_antagonistic,5.0,WT,0.12317899999999993,Normal
0.500401,0.5034,0.47912,0.65223,0.500201,$RhoA_antagonistic,6.0,WT,0.17310999999999999,Normal
0.49239900000000003,0.49900000000000005,0.44886000000000004,0.66905,0.49939900000000004,$RhoA_antagonistic,7.0,WT,0.22019,Normal
0.5072000000000001,0.5014000000000001,0.4320320000000001,0.683397,0.49560000000000004,$RhoA_antagonistic,8.0,WT,0.25136499999999995,Hyper
0.5026,0.501799,0.41683600000000004,0.6925439999999999,0.494198,$RhoA_antagonistic,9.0,WT,0.2757079999999999,Hyper
0.502,0.5008,0.39328399999999997,0.7107559999999999,0.506,$RhoA_antagonistic,10.0,WT,0.317472,Hyper
0.492,0.4934009999999999,0.37438899999999997,0.711649,0.49780100000000005,$RhoA_antagonistic,11.0,WT,0.33726,Hyper
0.498198,0.49339800000000006,0.36825,0.718077,0.500398,$RhoA_antagonistic,12.0,WT,0.34982699999999994,Hyper
0.500602,0.494201,0.369002,0.700938,0.480603,$RhoA_antagonistic,13.0,WT,0.33193599999999995,Hyper
0.5078,0.49799900000000014,0.34571000000000013,0.7304740000000001,0.5026,$RhoA_antagonistic,14.0,WT,0.38476399999999994,Hyper
0.4928,0.502399,0.60958,0.5981060000000001,0.4986,$RhoA_decay,0.05,WT,-0.011473999999999873,Normal
0.48900000000000005,0.49879799999999996,0.597454,0.5967589999999999,0.5,$RhoA_decay,0.15000000000000002,WT,-0.0006950000000001122,Normal
0.5034,0.49379899999999993,0.5833119999999999,0.598526,0.498201,$RhoA_decay,0.25000000000000006,WT,0.01521400000000006,Normal
0.5054,0.5121990000000001,0.572233,0.614256,0.49339900000000003,$RhoA_decay,0.3500000000000001,WT,0.04202300000000003,Normal
0.4892,0.5015989999999999,0.552065,0.6210319999999999,0.5116,$RhoA_decay,0.45000000000000007,WT,0.06896699999999989,Normal
0.49339999999999995,0.491401,0.548109,0.602617,0.4956,$RhoA_decay,0.55,WT,0.054508,Normal
0.506599,0.506798,0.554152,0.5958500000000001,0.5031999999999999,$RhoA_decay,0.6500000000000001,WT,0.041698000000000124,Normal
0.5103989999999999,0.49579900000000005,0.544296,0.613448,0.509799,$RhoA_decay,0.7500000000000001,WT,0.06915199999999999,Normal
0.49360000000000004,0.503401,0.521927,0.6118220000000001,0.506201,$RhoA_decay,0.8500000000000002,WT,0.08989500000000006,Normal
0.499801,0.497801,0.515224,0.611921,0.5032009999999999,$RhoA_decay,0.9500000000000002,WT,0.09669700000000003,Normal
0.49840000000000007,0.4902020000000001,0.6081250000000001,0.574646,0.5061990000000001,$RhoC_amp,5.0,WT,-0.03347900000000015,Normal
0.496799,0.502799,0.5902060000000001,0.5931160000000001,0.49500000000000005,$RhoC_amp,10.0,WT,0.002909999999999968,Normal
