DSP,JCAD,RhoA,RhoC,TJP1,p_name,p_value,perb,delta,phenotype
0.498199,0.492401,0.5688530000000002,0.6092380000000001,0.5036,$RhoA_amp,5.0,WT,0.04038499999999989,Normal
0.5014010000000001,0.501999,0.597249,0.589937,0.5049990000000001,$RhoA_amp,10.0,WT,-0.007311999999999985,Normal
0.49900100000000003,0.5087999999999999,0.6011899999999999,0.601844,0.5075999999999999,$RhoA_amp,15.0,WT,0.0006540000000001545,Normal
0.49640100000000004,0.5162,0.610281,0.590788,0.507401,$RhoA_amp,20.0,WT,-0.019492999999999983,Normal
0.483001,0.495001,0.6111139999999999,0.589557,0.496202,$RhoA_amp,25.0,WT,-0.021556999999999937,Normal
0.4988,0.49699899999999997,0.614788,0.5905529999999999,0.4988,$RhoA_amp,30.0,WT,-0.024235000000000118,Normal
0.49039999999999995,0.4964,0.61377,0.6012160000000001,0.501201,$RhoA_amp,35.0,WT,-0.012553999999999954,Normal
0.4993989999999999,0.5043979999999999,0.6134390000000001,0.5956390000000001,0.5033989999999999,$RhoA_amp,40.0,WT,-0.017799999999999927,Normal
0.48600099999999996,0.49700099999999997,0.6311190000000001,0.588188,0.5011990000000001,$RhoA_amp,45.0,WT,-0.04293100000000005,Normal
0.5118,0.49439799999999995,0.6201760000000001,0.5904020000000001,0.5041990000000001,$RhoA_amp,50.0,WT,-0.029773999999999967,Normal
0.485,0.5042019999999999,0.6222090000000001,0.5805790000000001,0.494201,$RhoA_amp,55.0,WT,-0.041630000000000056,Normal
0.5065989999999999,0.49520000000000003,0.5466409999999999,0.615152,0.4962,$RhoA_mod,1.0,WT,0.0685110000000001,Normal
0.49879900000000005,0.48619899999999994,0.578041,0.6056800000000001,0.5081979999999999,$RhoA_mod,2.0,WT,0.02763900000000008,Normal
0.509801,0.4864030000000001,0.5985300000000001,0.595092,0.5004,$RhoA_mod,3.0,WT,-0.003438000000000163,Normal
0.491802,0.5075999999999999,0.604944,0.584074,0.49199899999999996,$RhoA_mod,4.0,WT,-0.020870000000000055,Normal
0.4928,0.49459900000000007,0.6082879999999999,0.5935600000000001,0.500599,$RhoA_mod,5.0,WT,-0.014727999999999852,Normal
0.500802,0.49060000000000004,0.628408,0.582563,0.508001,$RhoA_mod,6.0,WT,-0.045844999999999914,Normal
0.493399,0.500399,0.6347119999999999,0.587639,0.5149990000000001,$RhoA_mod,7.0,WT,-0.04707299999999992,Normal
0.4954009999999999,0.49980099999999994,0.435755,0.6711100000000001,0.5166,$RhoA_basal,0.1,WT,0.2353550000000001,Normal
0.5138,0.5027999999999999,0.571824,0.6171599999999999,0.5035989999999999,$RhoA_basal,0.6,WT,0.04533599999999993,Normal
0.509401,0.5035999999999999,0.629441,0.5743130000000001,0.503802,$RhoA_basal,1.1,WT,-0.055127999999999955,Normal
0.5044,0.499201,0.7579650000000001,0.5169699999999999,0.4996,$RhoA_antagonistic,1.0,WT,-0.24099500000000018,Normal
0.512001,0.48839999999999995,0.6679509999999999,0.560452,0.5006010000000001,$RhoA_antagonistic,2.0,WT,-0.1074989999999999,Normal
0.5082000000000001,0.5014010000000001,0.603217,0.5899719999999999,0.5024000000000001,$RhoA_antagonistic,3.0,WT,-0.013245000000000062,Normal
0.49899899999999997,0.5026010000000001,0.540182,0.623732,0.49580100000000005,$RhoA_antagonistic,4.0,WT,0.0835499999999999,Normal
0.49319900000000005,0.49559800000000004,0.510075,0.645784,0.4969990000000001,$RhoA_antagonistic,5.0,WT,0.13570900000000008,Normal
0.5030020000000001,0.504803,0.480278,0.6598419999999999,0.49760299999999996,$RhoA_antagonistic,6.0,WT,0.17956399999999995,Normal
0.493401,0.495002,0.451224,0.6622089999999999,0.5056010000000001,$RhoA_antagonistic,7.0,WT,0.21098499999999992,Normal
0.512199,0.490599,0.44339,0.675651,0.497799,$RhoA_antagonistic,8.0,WT,0.232261,Normal
0.5038,0.504802,0.42158799999999996,0.6811019999999999,0.49840100000000004,$RhoA_antagonistic,9.0,WT,0.2595139999999999,Hyper
0.49300000000000005,0.5081990000000001,0.39110300000000003,0.696699,0.502199,$RhoA_antagonistic,10.0,WT,0.3055959999999999,Hyper
0.504399,0.512401,0.38330900000000007,0.7070230000000001,0.498799,$RhoA_antagonistic,11.0,WT,0.323714,Hyper
0.49220100000000006,0.494401,0.358302,0.7239000000000001,0.501601,$RhoA_antagonistic,12.0,WT,0.3655980000000001,Hyper
0.5036010000000001,0.5088,0.357752,0.7179089999999999,0.505399,$RhoA_antagonistic,13.0,WT,0.3601569999999999,Hyper
0.5076,0.5018,0.343854,0.7220679999999998,0.5062000000000001,$RhoA_antagonistic,14.0,WT,0.37821399999999983,Hyper
0.499201,0.5104,0.616885,0.598541,0.5054019999999999,$RhoA_decay,0.05,WT,-0.018344000000000027,Normal
0.48840100000000003,0.5069999999999999,0.598096,0.601749,0.5026010000000001,$RhoA_decay,0.15000000000000002,WT,0.0036530000000000173,Normal
0.505399,0.49639900000000003,0.588548,0.593168,0.4846,$RhoA_decay,0.25000000000000006,WT,0.0046200000000000685,Normal
0.5013970000000001,0.4997990000000001,0.5797590000000001,0.601062,0.49639900000000003,$RhoA_decay,0.3500000000000001,WT,0.02130299999999985,Normal
0.5039990000000001,0.5043980000000001,0.581959,0.5908760000000001,0.49859800000000004,$RhoA_decay,0.45000000000000007,WT,0.008917000000000064,Normal
0.492,0.4976,0.540397,0.6077980000000001,0.504603,$RhoA_decay,0.55,WT,0.06740100000000004,Normal
0.4964,0.5045999999999999,0.54624,0.607768,0.507799,$RhoA_decay,0.6500000000000001,WT,0.06152800000000003,Normal
0.495,0.4996000000000001,0.528501,0.615927,0.49779999999999996,$RhoA_decay,0.7500000000000001,WT,0.087426,Normal
0.511201,0.49879999999999997,0.5429120000000001,0.6049800000000001,0.502001,$RhoA_decay,0.8500000000000002,WT,0.06206800000000001,Normal
0.502402,0.506001,0.518881,0.614656,0.499203,$RhoA_decay,0.9500000000000002,WT,0.09577499999999994,Normal
0.505398,0.49900000000000005,0.604204,0.566716,0.5004000000000001,$RhoC_amp,5.0,WT,-0.037487999999999966,Normal
0.494,0.494199,0.604788,0.5812329999999999,0.49660099999999996,$RhoC_amp,10.0,WT,-0.023555000000000104,Normal
0.500798,0.49859999999999993,0.5928809999999999,0.5886340000000001,0.4964009999999999,$RhoC_amp,15.0,WT,-0.004246999999999779,Normal
0.49060000000000004,0.5052,0.5947929999999999,0.6148469999999999,0.508199,$RhoC_amp,20.0,WT,0.020054000000000016,Normal
