DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_amp,$RhoA_mod,perb,exp_name,delta,phenotype
0.4964,0.4943989999999999,0.508783,0.632002,0.4924,5.0,1.0,WT,Amplification_Gain_RhoA,0.12321899999999997,Normal
0.49300099999999997,0.49560000000000004,0.547363,0.612406,0.49840000000000007,5.0,2.0,WT,Amplification_Gain_RhoA,0.06504299999999996,Normal
0.48979900000000004,0.49619800000000003,0.567869,0.6032360000000001,0.49639900000000003,5.0,3.0,WT,Amplification_Gain_RhoA,0.03536700000000015,Normal
0.502,0.5124000000000001,0.5857709999999999,0.61104,0.5066020000000001,5.0,4.0,WT,Amplification_Gain_RhoA,0.025269000000000097,Normal
0.502,0.49560000000000004,0.6023470000000001,0.590013,0.500199,5.0,5.0,WT,Amplification_Gain_RhoA,-0.012334000000000067,Normal
0.49519899999999994,0.493399,0.6011639999999999,0.594061,0.5024,5.0,6.0,WT,Amplification_Gain_RhoA,-0.0071029999999999704,Normal
0.5041990000000001,0.5026,0.6052850000000001,0.589851,0.49819900000000006,5.0,7.0,WT,Amplification_Gain_RhoA,-0.015434000000000059,Normal
0.49539999999999995,0.5008009999999999,0.5227689999999999,0.628651,0.502799,10.0,1.0,WT,Amplification_Gain_RhoA,0.10588200000000003,Normal
0.495399,0.49699899999999997,0.574952,0.611201,0.4989989999999999,10.0,2.0,WT,Amplification_Gain_RhoA,0.036248999999999976,Normal
0.5025999999999999,0.502999,0.60912,0.592549,0.49720000000000003,10.0,3.0,WT,Amplification_Gain_RhoA,-0.016571000000000002,Normal
0.5062,0.5054,0.614308,0.581436,0.5152,10.0,4.0,WT,Amplification_Gain_RhoA,-0.03287200000000001,Normal
0.5074000000000001,0.4943979999999999,0.6112780000000001,0.590393,0.5057989999999999,10.0,5.0,WT,Amplification_Gain_RhoA,-0.020885000000000153,Normal
0.506399,0.5025999999999999,0.629252,0.5805359999999999,0.500198,10.0,6.0,WT,Amplification_Gain_RhoA,-0.04871600000000009,Normal
0.498201,0.5053989999999999,0.6201760000000001,0.5904020000000001,0.5104,10.0,7.0,WT,Amplification_Gain_RhoA,-0.029773999999999967,Normal
0.5004,0.49839999999999995,0.549128,0.619283,0.5024,15.0,1.0,WT,Amplification_Gain_RhoA,0.07015500000000008,Normal
0.497801,0.5068,0.576574,0.6113350000000001,0.511201,15.0,2.0,WT,Amplification_Gain_RhoA,0.03476100000000004,Normal
0.494801,0.511,0.6124470000000001,0.598495,0.502001,15.0,3.0,WT,Amplification_Gain_RhoA,-0.013952000000000075,Normal
0.503599,0.512398,0.621383,0.5891719999999999,0.503198,15.0,4.0,WT,Amplification_Gain_RhoA,-0.0322110000000001,Normal
0.501799,0.501598,0.635989,0.5775500000000001,0.49859900000000007,15.0,5.0,WT,Amplification_Gain_RhoA,-0.05843899999999991,Normal
0.492603,0.492002,0.6240549999999999,0.583509,0.5090020000000001,15.0,6.0,WT,Amplification_Gain_RhoA,-0.04054599999999986,Normal
0.4914,0.5058010000000001,0.638156,0.57274,0.49420100000000006,15.0,7.0,WT,Amplification_Gain_RhoA,-0.06541599999999992,Normal
0.4996010000000001,0.4916,0.546274,0.621293,0.5000009999999999,20.0,1.0,WT,Amplification_Gain_RhoA,0.07501899999999995,Normal
0.504002,0.5024,0.5722929999999999,0.6196629999999999,0.502,20.0,2.0,WT,Amplification_Gain_RhoA,0.04736999999999991,Normal
0.4882,0.508199,0.60619,0.584017,0.496601,20.0,3.0,WT,Amplification_Gain_RhoA,-0.022173,Normal
0.49679799999999996,0.4972,0.6218899999999999,0.574721,0.486798,20.0,4.0,WT,Amplification_Gain_RhoA,-0.047168999999999905,Normal
0.499399,0.489001,0.6264170000000001,0.592951,0.5184,20.0,5.0,WT,Amplification_Gain_RhoA,-0.03346600000000011,Normal
0.4891990000000001,0.5142,0.638598,0.5744900000000001,0.49700000000000005,20.0,6.0,WT,Amplification_Gain_RhoA,-0.06410799999999994,Normal
0.49560099999999996,0.496,0.63767,0.572741,0.5028,20.0,7.0,WT,Amplification_Gain_RhoA,-0.06492900000000001,Normal
0.509,0.5085999999999999,0.563918,0.610364,0.4826,25.0,1.0,WT,Amplification_Gain_RhoA,0.04644599999999999,Normal
0.49839900000000004,0.5033989999999999,0.591777,0.600686,0.499199,25.0,2.0,WT,Amplification_Gain_RhoA,0.008909000000000056,Normal
0.5002,0.508,0.626321,0.595303,0.500801,25.0,3.0,WT,Amplification_Gain_RhoA,-0.03101799999999999,Normal
0.504,0.49979999999999997,0.631464,0.579913,0.503999,25.0,4.0,WT,Amplification_Gain_RhoA,-0.051551000000000013,Normal
0.4905979999999999,0.490798,0.628924,0.5829819999999999,0.496599,25.0,5.0,WT,Amplification_Gain_RhoA,-0.04594200000000015,Normal
0.493999,0.48639899999999997,0.6427090000000001,0.571136,0.5014,25.0,6.0,WT,Amplification_Gain_RhoA,-0.07157300000000011,Normal
0.501799,0.49160000000000004,0.648561,0.579384,0.48519900000000005,25.0,7.0,WT,Amplification_Gain_RhoA,-0.06917700000000004,Normal
0.5022019999999999,0.5106,0.564496,0.627667,0.5086029999999999,30.0,1.0,WT,Amplification_Gain_RhoA,0.06317099999999998,Normal
0.49679999999999996,0.504202,0.593305,0.6014250000000001,0.498602,30.0,2.0,WT,Amplification_Gain_RhoA,0.008120000000000127,Normal
0.49999899999999997,0.4962000000000001,0.619456,0.587072,0.497598,30.0,3.0,WT,Amplification_Gain_RhoA,-0.03238399999999997,Normal
0.5003989999999999,0.498798,0.6295470000000001,0.577009,0.5068,30.0,4.0,WT,Amplification_Gain_RhoA,-0.052538000000000085,Normal
0.517002,0.494801,0.658446,0.565492,0.495401,30.0,5.0,WT,Amplification_Gain_RhoA,-0.09295399999999998,Normal
0.500999,0.489399,0.6459199999999999,0.582896,0.49760099999999996,30.0,6.0,WT,Amplification_Gain_RhoA,-0.06302399999999997,Normal
0.5000020000000001,0.4978,0.6452790000000002,0.566852,0.49500000000000005,30.0,7.0,WT,Amplification_Gain_RhoA,-0.07842700000000014,Normal
0.48139800000000005,0.5006,0.5446030000000001,0.625309,0.49340100000000003,35.0,1.0,WT,Amplification_Gain_RhoA,0.08070599999999994,Normal
0.508799,0.496203,0.603756,0.58541,0.505001,35.0,2.0,WT,Amplification_Gain_RhoA,-0.018345999999999973,Normal
0.4905989999999999,0.508199,0.6112799999999999,0.594676,0.502001,35.0,3.0,WT,Amplification_Gain_RhoA,-0.016603999999999952,Normal
0.4980030000000001,0.505402,0.6226579999999999,0.5862029999999999,0.5002000000000001,35.0,4.0,WT,Amplification_Gain_RhoA,-0.036455000000000015,Normal
0.5038,0.49859999999999993,0.6518050000000001,0.559853,0.49899999999999994,35.0,5.0,WT,Amplification_Gain_RhoA,-0.09195200000000003,Normal
0.5049999999999999,0.501601,0.647499,0.575194,0.4976,35.0,6.0,WT,Amplification_Gain_RhoA,-0.07230500000000006,Normal
0.49400099999999997,0.4948,0.6391950000000001,0.587307,0.507199,35.0,7.0,WT,Amplification_Gain_RhoA,-0.051888000000000045,Normal
0.49420000000000003,0.500401,0.558663,0.622741,0.5018,40.0,1.0,WT,Amplification_Gain_RhoA,0.06407799999999997,Normal
0.515401,0.505199,0.6133799999999999,0.585258,0.4946,40.0,2.0,WT,Amplification_Gain_RhoA,-0.02812199999999998,Normal
0.5118,0.502201,0.6234079999999999,0.584907,0.5,40.0,3.0,WT,Amplification_Gain_RhoA,-0.038500999999999896,Normal
0.4942,0.5002,0.6277780000000001,0.5939860000000001,0.49760200000000004,40.0,4.0,WT,Amplification_Gain_RhoA,-0.03379199999999993,Normal
0.499998,0.49720000000000003,0.638667,0.5863780000000001,0.5114,40.0,5.0,WT,Amplification_Gain_RhoA,-0.05228899999999992,Normal
0.5056,0.5003989999999999,0.65201,0.571136,0.4954,40.0,6.0,WT,Amplification_Gain_RhoA,-0.080874,Normal
0.505801,0.500601,0.661816,0.570374,0.49979999999999997,40.0,7.0,WT,Amplification_Gain_RhoA,-0.09144199999999991,Normal
0.49300000000000005,0.510199,0.553722,0.608996,0.49579900000000005,45.0,1.0,WT,Amplification_Gain_RhoA,0.055273999999999934,Normal
0.506602,0.49099899999999996,0.622959,0.581034,0.49200099999999997,45.0,2.0,WT,Amplification_Gain_RhoA,-0.04192499999999999,Normal
0.49500000000000005,0.499,0.6185219999999999,0.598351,0.4922,45.0,3.0,WT,Amplification_Gain_RhoA,-0.02017099999999994,Normal
0.4974,0.5024,0.6236750000000001,0.5929300000000002,0.508999,45.0,4.0,WT,Amplification_Gain_RhoA,-0.03074499999999991,Normal
0.502999,0.503798,0.6511720000000001,0.569528,0.487599,45.0,5.0,WT,Amplification_Gain_RhoA,-0.08164400000000005,Normal
0.488598,0.505999,0.6523649999999999,0.576041,0.510601,45.0,6.0,WT,Amplification_Gain_RhoA,-0.07632399999999984,Normal
0.5018,0.498998,0.649295,0.564666,0.4960009999999999,45.0,7.0,WT,Amplification_Gain_RhoA,-0.08462899999999995,Normal
0.49459900000000007,0.5022,0.564575,0.6195189999999999,0.5019979999999999,50.0,1.0,WT,Amplification_Gain_RhoA,0.05494399999999988,Normal
0.499,0.49439900000000003,0.604249,0.6007359999999999,0.495801,50.0,2.0,WT,Amplification_Gain_RhoA,-0.0035130000000000994,Normal
0.4984,0.5082,0.6182369999999999,0.591306,0.4978,50.0,3.0,WT,Amplification_Gain_RhoA,-0.026930999999999927,Normal
0.495401,0.504201,0.637567,0.588921,0.5038020000000001,50.0,4.0,WT,Amplification_Gain_RhoA,-0.04864599999999997,Normal
0.502001,0.505799,0.65112,0.573458,0.49800000000000005,50.0,5.0,WT,Amplification_Gain_RhoA,-0.07766200000000001,Normal
0.49900100000000003,0.49940100000000004,0.6584999999999999,0.570007,0.493802,50.0,6.0,WT,Amplification_Gain_RhoA,-0.08849299999999982,Normal
0.49979799999999996,0.4996010000000001,0.657649,0.573226,0.5014000000000001,50.0,7.0,WT,Amplification_Gain_RhoA,-0.08442300000000003,Normal
0.49999999999999994,0.491399,0.558515,0.617761,0.506999,55.0,1.0,WT,Amplification_Gain_RhoA,0.05924600000000002,Normal
0.49680100000000005,0.5108,0.610791,0.593584,0.5006,55.0,2.0,WT,Amplification_Gain_RhoA,-0.017206999999999972,Normal
0.482798,0.49139800000000006,0.609562,0.59528,0.499798,55.0,3.0,WT,Amplification_Gain_RhoA,-0.014282000000000017,Normal
0.504401,0.503402,0.6362690000000001,0.591443,0.505399,55.0,4.0,WT,Amplification_Gain_RhoA,-0.04482600000000003,Normal
0.489001,0.500201,0.6351939999999999,0.584523,0.504401,55.0,5.0,WT,Amplification_Gain_RhoA,-0.05067099999999991,Normal
0.5008,0.49179900000000004,0.6490180000000001,0.57345,0.486999,55.0,6.0,WT,Amplification_Gain_RhoA,-0.07556800000000008,Normal
0.514,0.5046010000000001,0.6582919999999999,0.579595,0.49979899999999994,55.0,7.0,WT,Amplification_Gain_RhoA,-0.0786969999999999,Normal
0.5002010000000001,,0.441204,0.641036,0.500999,5.0,1.0,JCAD,Amplification_Gain_RhoA,0.19983200000000007,Normal
0.498999,,0.5260670000000001,0.5877049999999999,0.494599,5.0,2.0,JCAD,Amplification_Gain_RhoA,0.06163799999999986,Normal
0.49339900000000003,,0.568415,0.5609320000000001,0.489001,5.0,3.0,JCAD,Amplification_Gain_RhoA,-0.007482999999999906,Normal
0.5002,,0.587491,0.561463,0.5067999999999999,5.0,4.0,JCAD,Amplification_Gain_RhoA,-0.02602799999999994,Normal
0.491,,0.6201099999999999,0.547521,0.5017999999999999,5.0,5.0,JCAD,Amplification_Gain_RhoA,-0.0725889999999999,Normal
0.497001,,0.6280540000000001,0.544672,0.4939990000000001,5.0,6.0,JCAD,Amplification_Gain_RhoA,-0.08338200000000007,Normal
0.501799,,0.635282,0.536666,0.502999,5.0,7.0,JCAD,Amplification_Gain_RhoA,-0.09861600000000004,Normal
0.492599,,0.446989,0.6334630000000001,0.502401,10.0,1.0,JCAD,Amplification_Gain_RhoA,0.18647400000000008,Normal
0.498,,0.521605,0.6029230000000001,0.5018009999999999,10.0,2.0,JCAD,Amplification_Gain_RhoA,0.08131800000000011,Normal
0.5018,,0.569867,0.583407,0.5016,10.0,3.0,JCAD,Amplification_Gain_RhoA,0.013539999999999996,Normal
0.49139999999999995,,0.596858,0.558652,0.4798,10.0,4.0,JCAD,Amplification_Gain_RhoA,-0.03820599999999996,Normal
0.49979999999999997,,0.6071759999999999,0.5553809999999999,0.499801,10.0,5.0,JCAD,Amplification_Gain_RhoA,-0.051795000000000035,Normal
0.5142,,0.642772,0.536117,0.49619899999999995,10.0,6.0,JCAD,Amplification_Gain_RhoA,-0.10665500000000006,Normal
0.501999,,0.6414429999999999,0.541246,0.48320100000000005,10.0,7.0,JCAD,Amplification_Gain_RhoA,-0.10019699999999987,Normal
0.492199,,0.449304,0.628825,0.5,15.0,1.0,JCAD,Amplification_Gain_RhoA,0.179521,Normal
0.5016010000000001,,0.533644,0.583345,0.491599,15.0,2.0,JCAD,Amplification_Gain_RhoA,0.049700999999999995,Normal
0.508401,,0.5703199999999999,0.5642609999999999,0.49100000000000005,15.0,3.0,JCAD,Amplification_Gain_RhoA,-0.006059000000000037,Normal
0.506999,,0.604405,0.549204,0.5016,15.0,4.0,JCAD,Amplification_Gain_RhoA,-0.055200999999999945,Normal
0.491401,,0.6148389999999999,0.5551280000000001,0.5064000000000001,15.0,5.0,JCAD,Amplification_Gain_RhoA,-0.05971099999999985,Normal
0.49080100000000004,,0.618582,0.5474709999999999,0.5054,15.0,6.0,JCAD,Amplification_Gain_RhoA,-0.07111100000000004,Normal
0.49919800000000003,,0.636008,0.5369349999999999,0.493799,15.0,7.0,JCAD,Amplification_Gain_RhoA,-0.09907300000000008,Normal
0.501601,,0.44126599999999994,0.6361060000000001,0.497001,20.0,1.0,JCAD,Amplification_Gain_RhoA,0.19484000000000012,Normal
0.504799,,0.531932,0.584731,0.4898,20.0,2.0,JCAD,Amplification_Gain_RhoA,0.05279900000000004,Normal
0.494598,,0.56011,0.572644,0.507199,20.0,3.0,JCAD,Amplification_Gain_RhoA,0.012534000000000045,Normal
0.4962,,0.60818,0.545648,0.49620000000000003,20.0,4.0,JCAD,Amplification_Gain_RhoA,-0.06253200000000003,Normal
0.51,,0.624417,0.546454,0.500599,20.0,5.0,JCAD,Amplification_Gain_RhoA,-0.077963,Normal
0.4898,,0.619751,0.542028,0.5042000000000001,20.0,6.0,JCAD,Amplification_Gain_RhoA,-0.0777230000000001,Normal
0.5006010000000001,,0.634849,0.530734,0.4854,20.0,7.0,JCAD,Amplification_Gain_RhoA,-0.10411499999999996,Normal
0.5008,,0.43351,0.642677,0.4882,25.0,1.0,JCAD,Amplification_Gain_RhoA,0.20916700000000005,Normal
0.48559900000000006,,0.5251709999999999,0.5954659999999999,0.503999,25.0,2.0,JCAD,Amplification_Gain_RhoA,0.070295,Normal
0.49839999999999995,,0.567601,0.562534,0.497401,25.0,3.0,JCAD,Amplification_Gain_RhoA,-0.005067000000000044,Normal
0.488,,0.59215,0.56171,0.498999,25.0,4.0,JCAD,Amplification_Gain_RhoA,-0.03043999999999991,Normal
0.493001,,0.6141220000000001,0.5568139999999999,0.4974,25.0,5.0,JCAD,Amplification_Gain_RhoA,-0.05730800000000014,Normal
0.5022,,0.6328830000000001,0.541491,0.5018,25.0,6.0,JCAD,Amplification_Gain_RhoA,-0.09139200000000014,Normal
0.5012019999999999,,0.6460870000000001,0.534159,0.489601,25.0,7.0,JCAD,Amplification_Gain_RhoA,-0.11192800000000003,Normal
0.480001,,0.439562,0.63842,0.49580099999999994,30.0,1.0,JCAD,Amplification_Gain_RhoA,0.19885799999999998,Normal
0.49600000000000005,,0.52515,0.591113,0.4948,30.0,2.0,JCAD,Amplification_Gain_RhoA,0.065963,Normal
0.4895989999999999,,0.580854,0.5626749999999999,0.504799,30.0,3.0,JCAD,Amplification_Gain_RhoA,-0.018179000000000056,Normal
0.505,,0.598264,0.550126,0.4908,30.0,4.0,JCAD,Amplification_Gain_RhoA,-0.048138000000000014,Normal
0.506,,0.604978,0.543107,0.5005999999999999,30.0,5.0,JCAD,Amplification_Gain_RhoA,-0.06187100000000001,Normal
0.502199,,0.6326859999999999,0.541255,0.503999,30.0,6.0,JCAD,Amplification_Gain_RhoA,-0.09143099999999982,Normal
0.504,,0.635498,0.526299,0.4926,30.0,7.0,JCAD,Amplification_Gain_RhoA,-0.10919900000000005,Normal
0.49739900000000004,,0.447059,0.6390520000000001,0.501,35.0,1.0,JCAD,Amplification_Gain_RhoA,0.19199300000000008,Normal
0.509001,,0.529579,0.593974,0.506601,35.0,2.0,JCAD,Amplification_Gain_RhoA,0.06439499999999998,Normal
0.490801,,0.565554,0.564561,0.5064,35.0,3.0,JCAD,Amplification_Gain_RhoA,-0.0009930000000000216,Normal
0.496402,,0.5989019999999999,0.56189,0.4976,35.0,4.0,JCAD,Amplification_Gain_RhoA,-0.037011999999999934,Normal
0.4968,,0.611649,0.542567,0.499799,35.0,5.0,JCAD,Amplification_Gain_RhoA,-0.06908199999999998,Normal
0.4958,,0.622463,0.543887,0.5098,35.0,6.0,JCAD,Amplification_Gain_RhoA,-0.07857599999999998,Normal
0.5024000000000001,,0.646622,0.522825,0.505401,35.0,7.0,JCAD,Amplification_Gain_RhoA,-0.12379700000000005,Normal
0.486399,,0.44472100000000003,0.6242000000000001,0.502601,40.0,1.0,JCAD,Amplification_Gain_RhoA,0.17947900000000006,Normal
0.5114,,0.5384420000000001,0.5907,0.5042,40.0,2.0,JCAD,Amplification_Gain_RhoA,0.052257999999999916,Normal
0.49499800000000005,,0.566682,0.564032,0.501799,40.0,3.0,JCAD,Amplification_Gain_RhoA,-0.002650000000000041,Normal
0.49119999999999997,,0.581315,0.56486,0.4972,40.0,4.0,JCAD,Amplification_Gain_RhoA,-0.016454999999999997,Normal
0.49720000000000003,,0.618285,0.548969,0.504399,40.0,5.0,JCAD,Amplification_Gain_RhoA,-0.06931599999999993,Normal
0.49699899999999997,,0.6218210000000001,0.5494640000000001,0.5016,40.0,6.0,JCAD,Amplification_Gain_RhoA,-0.072357,Normal
0.508001,,0.6491600000000001,0.5356,0.493001,40.0,7.0,JCAD,Amplification_Gain_RhoA,-0.1135600000000001,Normal
0.5032,,0.44513199999999997,0.632191,0.5058,45.0,1.0,JCAD,Amplification_Gain_RhoA,0.18705899999999998,Normal
0.508601,,0.517655,0.5899449999999999,0.5012,45.0,2.0,JCAD,Amplification_Gain_RhoA,0.07228999999999997,Normal
0.485999,,0.5626,0.578813,0.509799,45.0,3.0,JCAD,Amplification_Gain_RhoA,0.016213000000000033,Normal
0.4899990000000001,,0.590842,0.562618,0.509599,45.0,4.0,JCAD,Amplification_Gain_RhoA,-0.028224000000000027,Normal
0.5064000000000001,,0.61008,0.5614089999999999,0.5008,45.0,5.0,JCAD,Amplification_Gain_RhoA,-0.04867100000000002,Normal
0.5074000000000001,,0.631291,0.535039,0.498,45.0,6.0,JCAD,Amplification_Gain_RhoA,-0.096252,Normal
0.502599,,0.645715,0.5313859999999999,0.49799899999999997,45.0,7.0,JCAD,Amplification_Gain_RhoA,-0.11432900000000012,Normal
0.49879900000000005,,0.43906300000000004,0.6379920000000001,0.5072009999999999,50.0,1.0,JCAD,Amplification_Gain_RhoA,0.19892900000000008,Normal
0.4908,,0.514006,0.604976,0.511199,50.0,2.0,JCAD,Amplification_Gain_RhoA,0.09097,Normal
0.5064,,0.5677709999999999,0.560728,0.4878,50.0,3.0,JCAD,Amplification_Gain_RhoA,-0.0070429999999999104,Normal
0.497,,0.5921270000000001,0.558879,0.4968,50.0,4.0,JCAD,Amplification_Gain_RhoA,-0.033248000000000055,Normal
0.49460099999999996,,0.617407,0.546864,0.495,50.0,5.0,JCAD,Amplification_Gain_RhoA,-0.07054300000000002,Normal
0.5012,,0.639276,0.5397519999999999,0.5064,50.0,6.0,JCAD,Amplification_Gain_RhoA,-0.09952400000000006,Normal
0.5042,,0.642806,0.540878,0.492801,50.0,7.0,JCAD,Amplification_Gain_RhoA,-0.10192800000000002,Normal
