DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.508802,0.510001,0.704321,0.700655,0.498001,1.0,1.0,WT,Competition_Landscape,-0.003665999999999947,Normal
0.505199,0.48119899999999993,0.7318679999999999,0.5852139999999999,0.5017980000000001,1.0,2.0,WT,Competition_Landscape,-0.14665399999999995,Normal
0.501001,0.513201,0.7644210000000001,0.524598,0.501401,1.0,3.0,WT,Competition_Landscape,-0.23982300000000012,Normal
0.503998,0.5022,0.7698809999999999,0.46427300000000005,0.5067999999999999,1.0,4.0,WT,Competition_Landscape,-0.3056079999999999,Failed
0.48960000000000004,0.504199,0.775222,0.444399,0.49979899999999994,1.0,5.0,WT,Competition_Landscape,-0.330823,Failed
0.504401,0.503001,0.7837800000000001,0.404928,0.5024,1.0,6.0,WT,Competition_Landscape,-0.37885200000000013,Failed
0.49880099999999994,0.505,0.780956,0.376163,0.4871999999999999,1.0,7.0,WT,Competition_Landscape,-0.40479299999999996,Failed
0.497599,0.5022,0.7961990000000001,0.36226200000000003,0.5037999999999999,1.0,8.0,WT,Competition_Landscape,-0.4339370000000001,Failed
0.49759899999999996,0.5075989999999999,0.8114560000000001,0.33109799999999995,0.502,1.0,9.0,WT,Competition_Landscape,-0.4803580000000001,Failed
0.5095999999999999,0.49780199999999997,0.8016269999999999,0.31827000000000005,0.49160000000000004,1.0,10.0,WT,Competition_Landscape,-0.4833569999999998,Failed
0.500401,0.49500099999999997,0.805432,0.30907,0.5018,1.0,11.0,WT,Competition_Landscape,-0.496362,Failed
0.49419899999999994,0.502199,0.8235149999999999,0.29402300000000003,0.4998,1.0,12.0,WT,Competition_Landscape,-0.5294919999999999,Failed
0.502199,0.5122010000000001,0.8210529999999999,0.28933,0.5074,1.0,13.0,WT,Competition_Landscape,-0.531723,Failed
0.492398,0.503,0.8232280000000001,0.263501,0.484399,1.0,14.0,WT,Competition_Landscape,-0.5597270000000001,Failed
0.492799,0.5064,0.591939,0.73619,0.479398,2.0,1.0,WT,Competition_Landscape,0.14425100000000002,Normal
0.5119999999999999,0.5112,0.634913,0.6298920000000001,0.491599,2.0,2.0,WT,Competition_Landscape,-0.005020999999999831,Normal
0.49340100000000003,0.5170019999999999,0.661268,0.558704,0.4992019999999999,2.0,3.0,WT,Competition_Landscape,-0.10256399999999999,Normal
0.5032,0.5056,0.682787,0.51981,0.5032,2.0,4.0,WT,Competition_Landscape,-0.16297700000000004,Normal
0.496201,0.5075989999999999,0.7081710000000001,0.470402,0.5008,2.0,5.0,WT,Competition_Landscape,-0.23776900000000012,Normal
0.5043989999999999,0.49779900000000005,0.7145299999999999,0.448915,0.5008,2.0,6.0,WT,Competition_Landscape,-0.2656149999999999,Failed
0.4996,0.5007999999999999,0.71742,0.42687899999999995,0.49219999999999997,2.0,7.0,WT,Competition_Landscape,-0.290541,Failed
0.501601,0.5012030000000001,0.726566,0.389627,0.4916,2.0,8.0,WT,Competition_Landscape,-0.33693900000000004,Failed
0.505201,0.5006010000000001,0.7377190000000001,0.388319,0.501801,2.0,9.0,WT,Competition_Landscape,-0.3494000000000001,Failed
0.493201,0.503199,0.749729,0.3608100000000001,0.4948000000000001,2.0,10.0,WT,Competition_Landscape,-0.3889189999999999,Failed
0.4978,0.48960100000000006,0.760132,0.34259900000000004,0.506601,2.0,11.0,WT,Competition_Landscape,-0.417533,Failed
0.5128,0.49320099999999995,0.759232,0.32801299999999994,0.49499999999999994,2.0,12.0,WT,Competition_Landscape,-0.4312190000000001,Failed
0.501999,0.504601,0.765423,0.322592,0.49559899999999996,2.0,13.0,WT,Competition_Landscape,-0.442831,Failed
0.4928,0.5084000000000001,0.7631050000000001,0.320653,0.49520000000000003,2.0,14.0,WT,Competition_Landscape,-0.4424520000000001,Failed
0.4964,0.493201,0.510105,0.7600760000000001,0.501001,3.0,1.0,WT,Competition_Landscape,0.24997100000000005,Normal
0.4948,0.508599,0.560059,0.6668719999999999,0.5003979999999999,3.0,2.0,WT,Competition_Landscape,0.10681299999999994,Normal
0.488801,0.512801,0.603013,0.6034449999999999,0.4934,3.0,3.0,WT,Competition_Landscape,0.0004319999999998769,Normal
0.495199,0.49759999999999993,0.624688,0.5542889999999999,0.500199,3.0,4.0,WT,Competition_Landscape,-0.0703990000000001,Normal
0.494402,0.493001,0.644131,0.505818,0.5072,3.0,5.0,WT,Competition_Landscape,-0.13831300000000002,Normal
0.505201,0.5147999999999999,0.6589109999999999,0.480551,0.49599899999999997,3.0,6.0,WT,Competition_Landscape,-0.1783599999999999,Normal
0.502601,0.48860000000000003,0.6692990000000001,0.453768,0.5,3.0,7.0,WT,Competition_Landscape,-0.21553100000000008,Normal
0.507399,0.505,0.674081,0.43124700000000005,0.495999,3.0,8.0,WT,Competition_Landscape,-0.242834,Normal
0.49779999999999996,0.503401,0.6800450000000002,0.430679,0.516402,3.0,9.0,WT,Competition_Landscape,-0.24936600000000025,Normal
0.48919999999999997,0.491001,0.7001010000000001,0.388084,0.49500099999999997,3.0,10.0,WT,Competition_Landscape,-0.3120170000000001,Failed
0.5051990000000001,0.500998,0.7214989999999999,0.37388200000000005,0.502,3.0,11.0,WT,Competition_Landscape,-0.34761699999999984,Failed
0.5044000000000001,0.494201,0.7194599999999999,0.36825699999999995,0.499999,3.0,12.0,WT,Competition_Landscape,-0.35120299999999993,Failed
0.492198,0.49339900000000003,0.7160690000000001,0.361474,0.5041990000000001,3.0,13.0,WT,Competition_Landscape,-0.35459500000000005,Failed
0.49080199999999996,0.502402,0.7231229999999998,0.34425599999999995,0.488203,3.0,14.0,WT,Competition_Landscape,-0.3788669999999999,Failed
