DSP,JCAD,RhoA,RhoC,TJP1,$RhoA_antagonistic,$RhoC_antagonistic,perb,exp_name,delta,phenotype
0.49179999999999996,0.5006010000000001,0.702877,0.7052639999999999,0.5116,1.0,1.0,WT,Competition_Landscape,0.002386999999999917,Normal
0.5068,0.5008020000000001,0.740528,0.5992330000000001,0.5120010000000002,1.0,2.0,WT,Competition_Landscape,-0.14129499999999984,Normal
0.5089999999999999,0.502199,0.7519200000000001,0.517981,0.49719900000000006,1.0,3.0,WT,Competition_Landscape,-0.23393900000000012,Normal
0.506799,0.504201,0.7689310000000001,0.472271,0.5044,1.0,4.0,WT,Competition_Landscape,-0.29666000000000015,Failed
0.49040000000000006,0.5124,0.77079,0.438405,0.500999,1.0,5.0,WT,Competition_Landscape,-0.332385,Failed
0.5065999999999999,0.4948,0.7924850000000001,0.39411700000000005,0.49960000000000004,1.0,6.0,WT,Competition_Landscape,-0.39836800000000006,Failed
0.49979999999999997,0.485601,0.791324,0.37908,0.5083989999999999,1.0,7.0,WT,Competition_Landscape,-0.41224400000000005,Failed
0.49800099999999997,0.49900000000000005,0.800178,0.351401,0.49660100000000007,1.0,8.0,WT,Competition_Landscape,-0.4487769999999999,Failed
0.510599,0.5023989999999999,0.8058069999999999,0.33057699999999995,0.49939999999999996,1.0,9.0,WT,Competition_Landscape,-0.47523,Failed
0.496799,0.509,0.810263,0.32208000000000003,0.49739900000000004,1.0,10.0,WT,Competition_Landscape,-0.4881829999999999,Failed
0.4951979999999999,0.5115979999999999,0.8183349999999998,0.307914,0.5002,1.0,11.0,WT,Competition_Landscape,-0.5104209999999998,Failed
0.501,0.4978,0.8167900000000001,0.293925,0.5078,1.0,12.0,WT,Competition_Landscape,-0.5228650000000001,Failed
0.498801,0.4996,0.8112560000000001,0.286723,0.4936020000000001,1.0,13.0,WT,Competition_Landscape,-0.5245330000000001,Failed
0.49679999999999996,0.5018009999999999,0.8181919999999999,0.27820700000000004,0.494799,1.0,14.0,WT,Competition_Landscape,-0.5399849999999999,Failed
0.49759999999999993,0.5,0.5857359999999999,0.7309699999999999,0.507,2.0,1.0,WT,Competition_Landscape,0.14523399999999997,Normal
0.490801,0.49980199999999997,0.618969,0.6247710000000002,0.49120300000000006,2.0,2.0,WT,Competition_Landscape,0.005802000000000196,Normal
0.49559999999999993,0.49679899999999994,0.6612549999999999,0.5693239999999999,0.5123989999999999,2.0,3.0,WT,Competition_Landscape,-0.09193099999999998,Normal
0.5063989999999999,0.501999,0.683098,0.516783,0.5138,2.0,4.0,WT,Competition_Landscape,-0.166315,Normal
0.5076,0.5,0.7007059999999999,0.48446100000000003,0.5049999999999999,2.0,5.0,WT,Competition_Landscape,-0.2162449999999999,Normal
0.502799,0.505799,0.7140740000000001,0.439234,0.4963989999999999,2.0,6.0,WT,Competition_Landscape,-0.2748400000000001,Failed
0.500401,0.49360099999999996,0.724803,0.420165,0.4938,2.0,7.0,WT,Competition_Landscape,-0.30463799999999996,Failed
0.504401,0.494201,0.736052,0.39110900000000004,0.49699899999999997,2.0,8.0,WT,Competition_Landscape,-0.344943,Failed
