DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,delta,phenotype
0.503201,0.4980009999999999,0.573825,0.6050510000000001,0.507201,$RhoA_amp,5.0,N/A,,WT,WT_Sweep,0.031226000000000087,Normal
0.509999,0.49699799999999994,0.5960479999999999,0.593127,0.49799800000000005,$RhoA_amp,7.5,N/A,,WT,WT_Sweep,-0.0029209999999999514,Normal
0.49760000000000004,0.5028009999999999,0.60252,0.588144,0.5096,$RhoA_amp,10.0,N/A,,WT,WT_Sweep,-0.014375999999999944,Normal
0.4972,0.492801,0.610079,0.5881660000000001,0.5048009999999999,$RhoA_amp,12.5,N/A,,WT,WT_Sweep,-0.02191299999999996,Normal
0.496199,0.4982,0.589126,0.598501,0.5019990000000001,$RhoA_amp,15.0,N/A,,WT,WT_Sweep,0.009374999999999911,Normal
0.493601,0.5105999999999999,0.606714,0.601642,0.5036,$RhoA_amp,17.5,N/A,,WT,WT_Sweep,-0.005071999999999965,Normal
0.5024,0.503399,0.6186360000000001,0.590898,0.487199,$RhoA_amp,20.0,N/A,,WT,WT_Sweep,-0.02773800000000004,Normal
0.501601,0.500602,0.614176,0.588087,0.489801,$RhoA_amp,22.5,N/A,,WT,WT_Sweep,-0.02608900000000003,Normal
0.494,0.501,0.6123750000000001,0.599642,0.500999,$RhoA_amp,25.0,N/A,,WT,WT_Sweep,-0.012733000000000105,Normal
0.49040200000000006,0.5065999999999999,0.6067389999999999,0.6021399999999999,0.4989990000000001,$RhoA_amp,27.5,N/A,,WT,WT_Sweep,-0.00459900000000002,Normal
0.493201,0.4962000000000001,0.529858,0.6251730000000001,0.494201,$RhoA_mod,1.0,N/A,,WT,WT_Sweep,0.09531500000000004,Normal
0.495401,0.513401,0.578669,0.6145160000000001,0.49860099999999996,$RhoA_mod,2.0,N/A,,WT,WT_Sweep,0.03584700000000007,Normal
0.508201,0.495799,0.601456,0.596522,0.5064,$RhoA_mod,3.0,N/A,,WT,WT_Sweep,-0.004933999999999994,Normal
0.494,0.500201,0.5990099999999999,0.592224,0.501401,$RhoA_mod,4.0,N/A,,WT,WT_Sweep,-0.006785999999999959,Normal
0.498799,0.49260199999999993,0.606066,0.589766,0.497601,$RhoA_mod,5.0,N/A,,WT,WT_Sweep,-0.01629999999999998,Normal
0.5024,0.504001,0.6267119999999999,0.572744,0.489,$RhoA_mod,6.0,N/A,,WT,WT_Sweep,-0.053967999999999905,Normal
0.489,0.49920000000000003,0.6189259999999999,0.584789,0.5034,$RhoA_mod,7.0,N/A,,WT,WT_Sweep,-0.03413699999999986,Normal
0.488201,0.503,0.42927,0.6759189999999999,0.49760100000000007,$RhoA_basal,0.1,N/A,,WT,WT_Sweep,0.24664899999999995,Normal
0.501599,0.4894,0.5023299999999999,0.635288,0.504201,$RhoA_basal,0.30000000000000004,N/A,,WT,WT_Sweep,0.13295800000000002,Normal
0.49040000000000006,0.5054,0.5315420000000001,0.6284980000000001,0.500999,$RhoA_basal,0.5000000000000001,N/A,,WT,WT_Sweep,0.09695600000000004,Normal
0.5112,0.496,0.588916,0.60123,0.5034000000000001,$RhoA_basal,0.7000000000000002,N/A,,WT,WT_Sweep,0.012314000000000047,Normal
0.4872000000000001,0.48379900000000003,0.6050469999999999,0.594109,0.5089999999999999,$RhoA_basal,0.9000000000000001,N/A,,WT,WT_Sweep,-0.010937999999999892,Normal
0.5030009999999999,0.5025999999999999,0.6215229999999999,0.5855429999999999,0.49800199999999994,$RhoA_basal,1.1,N/A,,WT,WT_Sweep,-0.03598000000000001,Normal
0.5022,0.49159899999999995,0.6488929999999999,0.5756819999999999,0.5024,$RhoA_basal,1.3000000000000003,N/A,,WT,WT_Sweep,-0.07321100000000003,Normal
0.497801,0.5034000000000001,0.7626380000000001,0.515829,0.506,$RhoA_antagonistic,1.0,N/A,,WT,WT_Sweep,-0.24680900000000017,Normal
0.49319999999999997,0.502998,0.6590770000000001,0.5736020000000001,0.502799,$RhoA_antagonistic,2.0,N/A,,WT,WT_Sweep,-0.08547500000000008,Normal
0.497799,0.49619800000000003,0.5992900000000001,0.600537,0.4997979999999999,$RhoA_antagonistic,3.0,N/A,,WT,WT_Sweep,0.001246999999999887,Normal
0.49939999999999996,0.48700200000000005,0.5530100000000001,0.620762,0.498202,$RhoA_antagonistic,4.0,N/A,,WT,WT_Sweep,0.06775199999999992,Normal
0.504201,0.499801,0.5139800000000001,0.6336139999999999,0.5058,$RhoA_antagonistic,5.0,N/A,,WT,WT_Sweep,0.1196339999999998,Normal
0.5182,0.49999800000000005,0.48994899999999997,0.644064,0.48799999999999993,$RhoA_antagonistic,6.0,N/A,,WT,WT_Sweep,0.154115,Normal
0.502001,0.5122,0.45809300000000003,0.6707879999999999,0.504799,$RhoA_antagonistic,7.0,N/A,,WT,WT_Sweep,0.2126949999999999,Normal
0.505401,0.503201,0.44099,0.677949,0.5058010000000001,$RhoA_antagonistic,8.0,N/A,,WT,WT_Sweep,0.23695900000000003,Normal
0.4912,0.5024010000000001,0.41641500000000004,0.692556,0.5024,$RhoA_antagonistic,9.0,N/A,,WT,WT_Sweep,0.2761409999999999,Hyper
0.49500000000000005,0.48319900000000005,0.400227,0.696291,0.483199,$RhoA_antagonistic,10.0,N/A,,WT,WT_Sweep,0.296064,Hyper
0.5041979999999999,0.514797,0.384756,0.703636,0.49499800000000005,$RhoA_antagonistic,11.0,N/A,,WT,WT_Sweep,0.31888000000000005,Hyper
0.49259899999999995,0.5022000000000001,0.3619740000000001,0.7187800000000002,0.504401,$RhoA_antagonistic,12.0,N/A,,WT,WT_Sweep,0.3568060000000001,Hyper
0.498801,0.497801,0.35348999999999997,0.7241559999999999,0.498,$RhoA_antagonistic,13.0,N/A,,WT,WT_Sweep,0.37066599999999994,Hyper
0.494799,0.49400000000000005,0.33592099999999997,0.7292069999999999,0.499399,$RhoA_antagonistic,14.0,N/A,,WT,WT_Sweep,0.39328599999999997,Hyper
0.5132,0.49960099999999996,0.342365,0.731952,0.5008,$RhoA_antagonistic,15.0,N/A,,WT,WT_Sweep,0.38958700000000007,Hyper
0.49859999999999993,0.5012,0.620747,0.595591,0.506201,$RhoA_decay,0.05,N/A,,WT,WT_Sweep,-0.025156000000000067,Normal
0.5042,0.5024010000000001,0.604422,0.594413,0.49460000000000004,$RhoA_decay,0.15000000000000002,N/A,,WT,WT_Sweep,-0.010009000000000046,Normal
0.49799999999999994,0.5024000000000001,0.582824,0.602746,0.5068,$RhoA_decay,0.25000000000000006,N/A,,WT,WT_Sweep,0.019921999999999995,Normal
0.493599,0.49939900000000004,0.5780170000000001,0.595899,0.49279800000000007,$RhoA_decay,0.3500000000000001,N/A,,WT,WT_Sweep,0.017881999999999842,Normal
0.5102000000000001,0.507201,0.5785330000000001,0.597713,0.5076010000000001,$RhoA_decay,0.45000000000000007,N/A,,WT,WT_Sweep,0.019179999999999975,Normal
0.5075999999999999,0.496,0.555401,0.6036600000000001,0.49599999999999994,$RhoA_decay,0.55,N/A,,WT,WT_Sweep,0.04825900000000005,Normal
0.49060000000000004,0.508799,0.546794,0.614751,0.49279799999999996,$RhoA_decay,0.6500000000000001,N/A,,WT,WT_Sweep,0.06795700000000005,Normal
0.4898,0.493799,0.537129,0.603734,0.5044,$RhoA_decay,0.7500000000000001,N/A,,WT,WT_Sweep,0.06660500000000003,Normal
0.5078,0.5004,0.535613,0.6084700000000001,0.5019990000000001,$RhoA_decay,0.8500000000000002,N/A,,WT,WT_Sweep,0.07285700000000006,Normal
0.501001,0.500599,0.5305620000000001,0.604109,0.5022,$RhoA_decay,0.9500000000000002,N/A,,WT,WT_Sweep,0.07354699999999992,Normal
0.503999,0.502399,0.611557,0.559156,0.48960000000000004,$RhoC_amp,5.0,N/A,,WT,WT_Sweep,-0.05240100000000003,Normal
0.495599,0.506,0.603829,0.593174,0.510599,$RhoC_amp,7.5,N/A,,WT,WT_Sweep,-0.01065499999999997,Normal
0.495602,0.500801,0.581132,0.6046770000000001,0.505803,$RhoC_amp,10.0,N/A,,WT,WT_Sweep,0.02354500000000015,Normal
0.482599,0.499398,0.5883959999999999,0.6075810000000001,0.497798,$RhoC_amp,12.5,N/A,,WT,WT_Sweep,0.01918500000000023,Normal
0.49759999999999993,0.5092,0.6019329999999999,0.597644,0.49779900000000005,$RhoC_amp,15.0,N/A,,WT,WT_Sweep,-0.004288999999999987,Normal
0.508601,0.49940100000000004,0.6003560000000001,0.6049089999999999,0.5070020000000001,$RhoC_amp,17.5,N/A,,WT,WT_Sweep,0.004552999999999807,Normal
0.5022,0.48919999999999997,0.5934480000000001,0.602079,0.5026,$RhoC_amp,20.0,N/A,,WT,WT_Sweep,0.008630999999999944,Normal
