t,DSP,TJP1,JCAD,RhoA,RhoC,perturbation,delta,phenotype
0.0,0.4931999999999999,0.49459899999999984,0.4986,0.529999,0.5434019999999999,WT,0.013402999999999943,Normal
0.1,0.49320100000000006,0.494599,0.498599,0.5630679999999999,0.5824919999999999,WT,0.019423999999999997,Normal
0.2,0.49320200000000003,0.4946009999999999,0.49860099999999996,0.5798129999999999,0.594017,WT,0.014204000000000105,Normal
0.3,0.49319799999999997,0.4946,0.4986,0.589246,0.599875,WT,0.010629,Normal
0.4,0.4932,0.494601,0.49860099999999996,0.5832579999999999,0.601375,WT,0.01811700000000005,Normal
0.5,0.49319900000000005,0.4946,0.49859900000000007,0.588166,0.59789,WT,0.009724000000000066,Normal
0.6,0.49319999999999997,0.4945979999999999,0.4985989999999999,0.586531,0.5988370000000001,WT,0.012306000000000039,Normal
0.7,0.49319999999999997,0.49460099999999996,0.4985989999999999,0.59204,0.597516,WT,0.005476000000000036,Normal
0.8,0.4931979999999999,0.494598,0.498598,0.600109,0.5937429999999999,WT,-0.006366000000000094,Normal
0.9,0.4931980000000001,0.49459899999999996,0.4985980000000001,0.60219,0.590981,WT,-0.011209000000000024,Normal
1.0,0.4931999999999999,0.494601,0.498601,0.6023450000000001,0.5953400000000001,WT,-0.007005000000000039,Normal
1.1,0.493199,0.494599,0.49859800000000004,0.595274,0.59855,WT,0.0032760000000000566,Normal
1.2,0.49319999999999997,0.4946,0.498599,0.592497,0.5990460000000001,WT,0.006549000000000027,Normal
1.3,0.49319999999999997,0.49459900000000007,0.498602,0.5945860000000001,0.596149,WT,0.001562999999999981,Normal
1.4,0.49319999999999997,0.494599,0.4986,0.602168,0.5971460000000001,WT,-0.005021999999999971,Normal
1.5,0.49319999999999997,0.49460000000000004,0.4986,0.6048049999999999,0.594163,WT,-0.01064199999999993,Normal
1.6,0.493201,0.49460000000000004,0.4986,0.601588,0.592648,WT,-0.008940000000000059,Normal
1.7,0.49320099999999995,0.49460000000000004,0.49860099999999996,0.6046159999999999,0.593272,WT,-0.01134399999999991,Normal
1.8,0.49319999999999997,0.4946,0.498599,0.6016610000000001,0.5900550000000001,WT,-0.011606000000000005,Normal
1.9,0.4931999999999999,0.49460000000000004,0.4986,0.6001519999999999,0.590519,WT,-0.009632999999999892,Normal
2.0,0.49320099999999995,0.494602,0.49860099999999996,0.6013270000000001,0.588656,WT,-0.012671000000000099,Normal
2.1,0.49319999999999997,0.49459900000000007,0.498598,0.6008800000000001,0.589358,WT,-0.011522000000000032,Normal
2.2,0.49320200000000003,0.4946,0.498601,0.6003889999999998,0.594501,WT,-0.005887999999999893,Normal
2.3,0.49319999999999997,0.49460099999999996,0.4986,0.597037,0.597313,WT,0.00027599999999994296,Normal
2.4,0.49319999999999997,0.4946029999999999,0.49860199999999993,0.598168,0.595435,WT,-0.0027329999999999854,Normal
2.5,0.4932,0.4946,0.498599,0.603093,0.600896,WT,-0.0021970000000000045,Normal
2.6,0.4932,0.4945999999999999,0.49859999999999993,0.603843,0.596158,WT,-0.007685000000000053,Normal
2.7,0.49319899999999994,0.4945989999999999,0.49859799999999993,0.6007819999999999,0.591279,WT,-0.009502999999999928,Normal
2.8,0.49320100000000006,0.49460099999999996,0.498603,0.598714,0.5889479999999999,WT,-0.009766000000000052,Normal
2.9,0.49319999999999997,0.4946,0.4986,0.6020080000000001,0.5909629999999999,WT,-0.011045000000000194,Normal
3.0,0.49319899999999994,0.494599,0.49859800000000004,0.599966,0.587369,WT,-0.01259699999999997,Normal
3.1,0.49320099999999995,0.49459899999999996,0.49860100000000007,0.602407,0.590026,WT,-0.012380999999999975,Normal
3.2,0.49319999999999997,0.49460000000000004,0.49859800000000004,0.606403,0.5892669999999999,WT,-0.01713600000000015,Normal
3.3,0.493201,0.4946,0.49860099999999996,0.607061,0.5903800000000001,WT,-0.016680999999999835,Normal
3.4,0.49319999999999997,0.494598,0.498599,0.606812,0.5925209999999999,WT,-0.014291000000000165,Normal
3.5,0.493199,0.4946020000000001,0.4986,0.6087449999999999,0.592604,WT,-0.01614099999999985,Normal
3.6,0.49319999999999997,0.4946,0.49860099999999996,0.603981,0.592468,WT,-0.011512999999999995,Normal
3.7,0.4932,0.49460000000000004,0.498599,0.6032909999999999,0.5903630000000001,WT,-0.012927999999999829,Normal
