t,DSP,TJP1,JCAD,RhoA,RhoC,perturbation,delta,phenotype
0.0,0.500801,0.5064000000000001,0.500201,0.534142,0.530011,WT,-0.004130999999999996,Normal
0.1,0.500802,0.5064000000000001,0.500199,0.5746519999999999,0.5708939999999999,WT,-0.003758000000000039,Normal
0.2,0.500799,0.506399,0.500201,0.587269,0.5886560000000001,WT,0.001387000000000027,Normal
0.3,0.500799,0.506399,0.5002,0.592514,0.601468,WT,0.008954000000000018,Normal
0.4,0.5008009999999999,0.506402,0.5002,0.5936210000000001,0.597929,WT,0.0043079999999999785,Normal
0.5,0.5007999999999999,0.5063989999999999,0.5002,0.592089,0.5944649999999999,WT,0.0023759999999999337,Normal
0.6,0.5008,0.506401,0.5002019999999999,0.592487,0.603678,WT,0.011191000000000062,Normal
0.7,0.5008,0.506402,0.5002000000000001,0.59111,0.6042669999999999,WT,0.013156999999999863,Normal
0.8,0.5008000000000001,0.506403,0.500202,0.590333,0.602766,WT,0.012433000000000027,Normal
0.9,0.500801,0.5064,0.5002019999999999,0.595865,0.612182,WT,0.016317000000000026,Normal
1.0,0.500803,0.506402,0.500202,0.59962,0.606522,WT,0.006901999999999964,Normal
1.1,0.5008,0.5064,0.5002,0.594341,0.6044560000000001,WT,0.010115000000000096,Normal
1.2,0.500801,0.5064,0.5002,0.5888120000000001,0.610917,WT,0.02210499999999993,Normal
1.3,0.5007980000000001,0.5064,0.500198,0.591545,0.608387,WT,0.016842000000000024,Normal
1.4,0.5008,0.506399,0.500201,0.590832,0.604081,WT,0.013248999999999955,Normal
1.5,0.5007999999999999,0.506398,0.5002,0.583629,0.6036809999999999,WT,0.02005199999999996,Normal
1.6,0.5007999999999999,0.506402,0.500201,0.5910030000000001,0.605416,WT,0.014412999999999898,Normal
1.7,0.5008,0.5064000000000001,0.5002,0.5965750000000001,0.6061969999999999,WT,0.009621999999999797,Normal
1.8,0.500801,0.5064040000000001,0.5002010000000001,0.6008580000000001,0.601361,WT,0.0005029999999999202,Normal
1.9,0.500801,0.5064010000000001,0.500201,0.5965070000000001,0.59785,WT,0.001342999999999872,Normal
2.0,0.500799,0.5063989999999999,0.5002000000000001,0.5930650000000001,0.5975229999999999,WT,0.004457999999999851,Normal
2.1,0.500799,0.506398,0.500199,0.595815,0.595864,WT,4.899999999996574e-05,Normal
2.2,0.5007999999999999,0.506401,0.5002,0.5957979999999999,0.5977989999999999,WT,0.0020009999999999195,Normal
2.3,0.5008,0.5063989999999999,0.5001990000000001,0.5916750000000001,0.6006109999999999,WT,0.008935999999999833,Normal
2.4,0.500802,0.506401,0.500201,0.590037,0.604763,WT,0.014726000000000017,Normal
2.5,0.500803,0.506401,0.500203,0.593945,0.606571,WT,0.012626000000000026,Normal
2.6,0.500798,0.5063989999999999,0.500199,0.593863,0.5997389999999999,WT,0.005875999999999881,Normal
2.7,0.5007999999999999,0.506401,0.5002,0.5963040000000001,0.597503,WT,0.00119899999999995,Normal
2.8,0.5008009999999999,0.5064,0.5002,0.599564,0.6015619999999999,WT,0.0019979999999999443,Normal
2.9,0.5008,0.506398,0.500198,0.589188,0.6008950000000001,WT,0.011707000000000023,Normal
3.0,0.5008,0.5064000000000001,0.500201,0.588635,0.6006350000000001,WT,0.012000000000000122,Normal
3.1,0.500801,0.5064,0.500202,0.587675,0.601805,WT,0.014130000000000087,Normal
3.2,0.5007999999999999,0.506398,0.500199,0.594317,0.602826,WT,0.008508999999999989,Normal
3.3,0.500799,0.506397,0.500199,0.596954,0.604317,WT,0.007363000000000008,Normal
3.4,0.5008,0.506398,0.500199,0.5925549999999999,0.60285,WT,0.010295000000000054,Normal
3.5,0.5008,0.506402,0.5001990000000001,0.5946940000000001,0.604511,WT,0.009816999999999965,Normal
3.6,0.500802,0.5064010000000001,0.5002019999999999,0.591915,0.6045889999999999,WT,0.012673999999999963,Normal
3.7,0.5008,0.506399,0.500198,0.590723,0.6040209999999999,WT,0.013297999999999921,Normal
3.8,0.5008,0.5064,0.500201,0.592005,0.6036739999999999,WT,0.01166899999999993,Normal
3.9,0.5008,0.5064,0.5001990000000001,0.590534,0.6028300000000001,WT,0.012296000000000085,Normal
4.0,0.5008,0.506401,0.5002000000000001,0.588207,0.6042609999999999,WT,0.0160539999999999,Normal
