RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,delta,phenotype
0.478725,0.525675,0.5002,$RhoC_mod,1.0,N/A,,DSP_JCAD,DSP_JCAD,0.04694999999999999,Normal
0.441544,0.605294,0.4928,$RhoC_mod,2.0,N/A,,DSP_JCAD,DSP_JCAD,0.16375,Normal
0.428801,0.641319,0.5014000000000001,$RhoC_mod,3.0,N/A,,DSP_JCAD,DSP_JCAD,0.21251799999999998,Normal
0.39341,0.67277,0.4932,$RhoC_mod,4.0,N/A,,DSP_JCAD,DSP_JCAD,0.27936,Hyper
0.390421,0.6832959999999999,0.492,$RhoC_mod,5.0,N/A,,DSP_JCAD,DSP_JCAD,0.2928749999999999,Hyper
0.388224,0.693806,0.498,$RhoC_mod,6.0,N/A,,DSP_JCAD,DSP_JCAD,0.305582,Hyper
0.395495,0.6941419999999999,0.5084,$RhoC_mod,7.0,N/A,,DSP_JCAD,DSP_JCAD,0.29864699999999994,Hyper
0.5290790000000001,0.45396200000000003,0.5012000000000001,$RhoC_basal,0.1,N/A,,DSP_JCAD,DSP_JCAD,-0.07511700000000004,Normal
0.48940599999999995,0.5358609999999999,0.5008,$RhoC_basal,0.30000000000000004,N/A,,DSP_JCAD,DSP_JCAD,0.04645499999999997,Normal
0.446067,0.591729,0.5048,$RhoC_basal,0.5000000000000001,N/A,,DSP_JCAD,DSP_JCAD,0.14566199999999996,Normal
0.434967,0.627565,0.500799,$RhoC_basal,0.7000000000000002,N/A,,DSP_JCAD,DSP_JCAD,0.19259800000000005,Normal
0.40681400000000006,0.673568,0.4926,$RhoC_basal,0.9000000000000001,N/A,,DSP_JCAD,DSP_JCAD,0.2667539999999999,Hyper
0.396167,0.691765,0.4984,$RhoC_basal,1.1,N/A,,DSP_JCAD,DSP_JCAD,0.29559799999999997,Hyper
0.377451,0.70657,0.49319999999999997,$RhoC_basal,1.3000000000000003,N/A,,DSP_JCAD,DSP_JCAD,0.32911900000000005,Hyper
0.085307,0.817435,0.5115999999999999,$RhoA_basal,0.1,N/A,,DSP_JCAD,DSP_JCAD,0.732128,Hyper
0.22088999999999998,0.7505420000000002,0.49600099999999997,$RhoA_basal,0.30000000000000004,N/A,,DSP_JCAD,DSP_JCAD,0.5296520000000002,Hyper
0.313153,0.703286,0.5064,$RhoA_basal,0.5000000000000001,N/A,,DSP_JCAD,DSP_JCAD,0.39013299999999995,Hyper
0.37426000000000004,0.68145,0.503,$RhoA_basal,0.7000000000000002,N/A,,DSP_JCAD,DSP_JCAD,0.30718999999999996,Hyper
0.445827,0.6292179999999999,0.4936,$RhoA_basal,0.9000000000000001,N/A,,DSP_JCAD,DSP_JCAD,0.18339099999999997,Normal
0.48852799999999996,0.618106,0.4982,$RhoA_basal,1.1,N/A,,DSP_JCAD,DSP_JCAD,0.12957800000000008,Normal
0.541944,0.571503,0.490799,$RhoA_basal,1.3000000000000003,N/A,,DSP_JCAD,DSP_JCAD,0.029559000000000002,Normal
