DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.4966,0.5065989999999999,0.5629069999999999,0.603101,0.4986,$RhoA_amp,5.0,N/A,,WT,WT_Sweep,1D,0.04019400000000006,Normal
0.493999,0.5002000000000001,0.5933120000000001,0.5924480000000001,0.502399,$RhoA_amp,7.5,N/A,,WT,WT_Sweep,1D,-0.0008639999999999759,Normal
0.507002,0.506601,0.611753,0.5858500000000001,0.49199899999999996,$RhoA_amp,10.0,N/A,,WT,WT_Sweep,1D,-0.0259029999999999,Normal
0.500802,0.507201,0.5994000000000002,0.597632,0.5018020000000001,$RhoA_amp,12.5,N/A,,WT,WT_Sweep,1D,-0.0017680000000001028,Normal
0.5054,0.486201,0.6050230000000001,0.5907140000000002,0.499401,$RhoA_amp,15.0,N/A,,WT,WT_Sweep,1D,-0.014308999999999905,Normal
0.5057999999999999,0.5143979999999999,0.6098600000000001,0.593357,0.506401,$RhoA_amp,17.5,N/A,,WT,WT_Sweep,1D,-0.016503000000000045,Normal
0.508,0.49620000000000003,0.6217700000000002,0.5809040000000001,0.4990010000000001,$RhoA_amp,20.0,N/A,,WT,WT_Sweep,1D,-0.04086600000000007,Normal
0.49359899999999995,0.5126000000000001,0.6175390000000001,0.587929,0.505601,$RhoA_amp,22.5,N/A,,WT,WT_Sweep,1D,-0.029610000000000025,Normal
0.4917999999999999,0.493001,0.61807,0.59067,0.491799,$RhoA_amp,25.0,N/A,,WT,WT_Sweep,1D,-0.02739999999999998,Normal
0.49200099999999997,0.495601,0.6178440000000001,0.597945,0.509801,$RhoA_amp,27.5,N/A,,WT,WT_Sweep,1D,-0.01989900000000011,Normal
0.498,0.5102009999999999,0.620128,0.586025,0.493002,$RhoA_amp,30.0,N/A,,WT,WT_Sweep,1D,-0.034102999999999994,Normal
0.484,0.49219999999999997,0.606669,0.591921,0.5025999999999999,$RhoA_amp,32.5,N/A,,WT,WT_Sweep,1D,-0.014747999999999983,Normal
0.4988000000000001,0.49179899999999993,0.615031,0.592646,0.5056,$RhoA_amp,35.0,N/A,,WT,WT_Sweep,1D,-0.022384999999999988,Normal
0.506,0.5024,0.622077,0.589271,0.504001,$RhoA_amp,37.5,N/A,,WT,WT_Sweep,1D,-0.032806,Normal
0.493998,0.5032,0.532107,0.629004,0.49259899999999995,$RhoA_mod,1.0,N/A,,WT,WT_Sweep,1D,0.09689700000000001,Normal
