DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.49600199999999994,0.4930009999999999,0.7359259999999999,0.5294579999999999,0.49560099999999996,$RhoA_amp,5.0,$RhoA_antagonistic,1.0,WT,Escape_Threshold_RhoA,2D,-0.20646799999999998,Normal
0.499202,0.502001,0.562342,0.608084,0.488401,$RhoA_amp,5.0,$RhoA_antagonistic,3.0,WT,Escape_Threshold_RhoA,2D,0.04574199999999995,Normal
0.495999,0.500198,0.488732,0.643681,0.49560000000000004,$RhoA_amp,5.0,$RhoA_antagonistic,5.0,WT,Escape_Threshold_RhoA,2D,0.15494899999999995,Normal
0.49779900000000005,0.49440000000000006,0.41918500000000003,0.685292,0.4978,$RhoA_amp,5.0,$RhoA_antagonistic,7.0,WT,Escape_Threshold_RhoA,2D,0.266107,Hyper
0.4908,0.5058010000000001,0.3705070000000001,0.7000709999999999,0.5084010000000001,$RhoA_amp,5.0,$RhoA_antagonistic,9.0,WT,Escape_Threshold_RhoA,2D,0.3295639999999998,Hyper
0.48620099999999994,0.500801,0.33400599999999997,0.7372299999999999,0.5026010000000001,$RhoA_amp,5.0,$RhoA_antagonistic,11.0,WT,Escape_Threshold_RhoA,2D,0.40322399999999997,Hyper
0.4885989999999999,0.48479900000000004,0.312397,0.7350910000000002,0.501599,$RhoA_amp,5.0,$RhoA_antagonistic,13.0,WT,Escape_Threshold_RhoA,2D,0.4226940000000002,Hyper
0.499202,0.506402,0.294495,0.7504080000000001,0.502402,$RhoA_amp,5.0,$RhoA_antagonistic,15.0,WT,Escape_Threshold_RhoA,2D,0.45591300000000007,Hyper
0.49400000000000005,0.5035989999999999,0.760556,0.514004,0.492199,$RhoA_amp,10.0,$RhoA_antagonistic,1.0,WT,Escape_Threshold_RhoA,2D,-0.246552,Normal
0.5054010000000001,0.499401,0.591596,0.606443,0.5086,$RhoA_amp,10.0,$RhoA_antagonistic,3.0,WT,Escape_Threshold_RhoA,2D,0.014846999999999944,Normal
0.49679799999999985,0.500799,0.513922,0.6372109999999999,0.489598,$RhoA_amp,10.0,$RhoA_antagonistic,5.0,WT,Escape_Threshold_RhoA,2D,0.12328899999999987,Normal
0.49520099999999995,0.5021990000000001,0.458217,0.67201,0.510802,$RhoA_amp,10.0,$RhoA_antagonistic,7.0,WT,Escape_Threshold_RhoA,2D,0.213793,Normal
0.49520000000000003,0.488798,0.41570100000000004,0.6885640000000001,0.49439900000000003,$RhoA_amp,10.0,$RhoA_antagonistic,9.0,WT,Escape_Threshold_RhoA,2D,0.272863,Hyper
0.48960000000000004,0.492599,0.37637999999999994,0.7127110000000001,0.510999,$RhoA_amp,10.0,$RhoA_antagonistic,11.0,WT,Escape_Threshold_RhoA,2D,0.33633100000000016,Hyper
