RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.457126,0.443466,0.5008,$RhoC_mod,0.5,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,-0.01365999999999995,Normal
0.416597,0.5367219999999999,0.492,$RhoC_mod,1.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.12012499999999993,Normal
0.38773899999999994,0.573212,0.507,$RhoC_mod,1.5,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.1854730000000001,Normal
0.364164,0.609551,0.4994,$RhoC_mod,2.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.24538699999999997,Normal
0.358164,0.622745,0.49160000000000004,$RhoC_mod,2.5,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.264581,Hyper
0.33879099999999995,0.654539,0.504,$RhoC_mod,3.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.31574800000000003,Hyper
0.346881,0.658971,0.504,$RhoC_mod,3.5,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.31209,Hyper
0.340968,0.657674,0.5,$RhoC_mod,4.0,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.316706,Hyper
0.461826,0.42878299999999997,0.503,$RhoC_basal,0.1,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,-0.033043000000000045,Normal
0.417708,0.52547,0.497799,$RhoC_basal,0.30000000000000004,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.10776199999999997,Normal
0.372756,0.5868169999999999,0.508799,$RhoC_basal,0.5000000000000001,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.21406099999999995,Normal
0.346511,0.6358649999999999,0.507199,$RhoC_basal,0.7000000000000002,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.2893539999999999,Hyper
0.330461,0.662926,0.49640100000000004,$RhoC_basal,0.9000000000000001,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.332465,Hyper
0.331541,0.687949,0.5036,$RhoC_basal,1.1,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.35640800000000006,Hyper
0.321302,0.703365,0.49999899999999997,$RhoC_basal,1.3000000000000003,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.38206300000000004,Hyper
0.11663100000000001,0.736273,0.493199,$RhoA_basal,0.1,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.6196419999999999,Hyper
0.276767,0.642416,0.5024,$RhoA_basal,0.30000000000000004,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.365649,Hyper
0.383101,0.584124,0.5052,$RhoA_basal,0.5000000000000001,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.20102299999999995,Normal
0.45187,0.5406249999999999,0.508,$RhoA_basal,0.7000000000000002,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,0.08875499999999992,Normal
0.5270739999999999,0.497791,0.507,$RhoA_basal,0.9000000000000001,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,-0.029282999999999948,Normal
0.568336,0.4846079999999999,0.48920099999999994,$RhoA_basal,1.1,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,-0.08372800000000002,Normal
0.5985769999999999,0.46445499999999995,0.4988,$RhoA_basal,1.3000000000000003,N/A,,DSP_JCAD,DSP_JCAD_Sweep,1D,-0.13412199999999996,Normal
