DSP,JCAD,RhoA,RhoC,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.4918,0.506,0.767025,0.259858,$RhoA_antagonistic,1.0,N/A,,TJP1,TJP1_Sweep,1D,-0.5071669999999999,Failed
0.492,0.5101990000000001,0.695188,0.298265,$RhoA_antagonistic,2.0,N/A,,TJP1,TJP1_Sweep,1D,-0.396923,Failed
0.48280100000000004,0.4908,0.62992,0.349391,$RhoA_antagonistic,3.0,N/A,,TJP1,TJP1_Sweep,1D,-0.28052900000000003,Failed
0.513399,0.493599,0.61176,0.37775299999999995,$RhoA_antagonistic,4.0,N/A,,TJP1,TJP1_Sweep,1D,-0.23400700000000002,Normal
0.49839999999999995,0.5072,0.580604,0.392342,$RhoA_antagonistic,5.0,N/A,,TJP1,TJP1_Sweep,1D,-0.18826199999999998,Normal
0.5056,0.5000009999999999,0.555925,0.41263999999999995,$RhoA_antagonistic,6.0,N/A,,TJP1,TJP1_Sweep,1D,-0.14328500000000005,Normal
0.5004000000000001,0.49699999999999994,0.53305,0.419987,$RhoA_antagonistic,7.0,N/A,,TJP1,TJP1_Sweep,1D,-0.11306300000000002,Normal
0.5046,0.506401,0.514901,0.440707,$RhoA_antagonistic,8.0,N/A,,TJP1,TJP1_Sweep,1D,-0.07419400000000004,Normal
0.48300099999999996,0.507401,0.48588099999999995,0.47719300000000003,$RhoA_antagonistic,9.0,N/A,,TJP1,TJP1_Sweep,1D,-0.008687999999999918,Normal
0.509599,0.501799,0.492054,0.470085,$RhoA_antagonistic,10.0,N/A,,TJP1,TJP1_Sweep,1D,-0.021969000000000016,Normal
0.49279999999999996,0.49839999999999995,0.476022,0.47977100000000006,$RhoA_antagonistic,11.0,N/A,,TJP1,TJP1_Sweep,1D,0.003749000000000058,Normal
0.486199,0.4972,0.45151500000000006,0.490143,$RhoA_antagonistic,12.0,N/A,,TJP1,TJP1_Sweep,1D,0.03862799999999994,Normal
0.49699999999999994,0.49740100000000004,0.45228100000000004,0.49841700000000005,$RhoA_antagonistic,13.0,N/A,,TJP1,TJP1_Sweep,1D,0.04613600000000001,Normal
0.498199,0.49799899999999997,0.44621700000000003,0.5007100000000001,$RhoA_antagonistic,14.0,N/A,,TJP1,TJP1_Sweep,1D,0.05449300000000007,Normal
0.5102009999999999,0.499,0.445783,0.502415,$RhoA_antagonistic,15.0,N/A,,TJP1,TJP1_Sweep,1D,0.05663199999999996,Normal
0.495401,0.502201,0.584832,0.3756209999999999,$RhoA_mod,0.5,N/A,,TJP1,TJP1_Sweep,1D,-0.2092110000000001,Normal
0.5082,0.5098,0.5992709999999999,0.372506,$RhoA_mod,0.75,N/A,,TJP1,TJP1_Sweep,1D,-0.22676499999999988,Normal
0.4914,0.499,0.610843,0.3773659999999999,$RhoA_mod,1.0,N/A,,TJP1,TJP1_Sweep,1D,-0.2334770000000001,Normal
0.5058,0.5028,0.629522,0.35471400000000003,$RhoA_mod,1.25,N/A,,TJP1,TJP1_Sweep,1D,-0.274808,Failed
0.5046,0.5062000000000001,0.6493539999999999,0.345839,$RhoA_mod,1.5,N/A,,TJP1,TJP1_Sweep,1D,-0.30351499999999987,Failed
0.4894,0.512402,0.647727,0.34513800000000006,$RhoA_mod,1.75,N/A,,TJP1,TJP1_Sweep,1D,-0.302589,Failed
0.5112019999999999,0.488601,0.652745,0.338285,$RhoA_mod,2.0,N/A,,TJP1,TJP1_Sweep,1D,-0.31446,Failed
0.49740000000000006,0.49579999999999996,0.6557620000000001,0.348222,$RhoA_mod,2.25,N/A,,TJP1,TJP1_Sweep,1D,-0.3075400000000001,Failed
0.5038,0.494399,0.669627,0.332802,$RhoA_mod,2.5,N/A,,TJP1,TJP1_Sweep,1D,-0.336825,Failed
0.5005999999999999,0.4946,0.661461,0.332745,$RhoA_mod,2.75,N/A,,TJP1,TJP1_Sweep,1D,-0.32871599999999995,Failed
0.506201,0.4958,0.664782,0.34107200000000004,$RhoA_mod,3.0,N/A,,TJP1,TJP1_Sweep,1D,-0.32370999999999994,Failed
0.48799899999999996,0.497198,0.677211,0.33757,$RhoA_mod,3.25,N/A,,TJP1,TJP1_Sweep,1D,-0.339641,Failed
0.4972,0.503999,0.678237,0.332263,$RhoA_mod,3.5,N/A,,TJP1,TJP1_Sweep,1D,-0.345974,Failed
0.500801,0.4976,0.67586,0.32636699999999996,$RhoA_mod,3.75,N/A,,TJP1,TJP1_Sweep,1D,-0.34949300000000005,Failed
0.48499899999999996,0.5226000000000001,0.670868,0.327965,$RhoA_mod,4.0,N/A,,TJP1,TJP1_Sweep,1D,-0.342903,Failed
0.492,0.487,0.678435,0.32705399999999996,$RhoA_mod,4.25,N/A,,TJP1,TJP1_Sweep,1D,-0.35138100000000005,Failed
0.495,0.49560099999999996,0.625021,0.352754,$RhoA_amp,5.0,N/A,,TJP1,TJP1_Sweep,1D,-0.27226700000000004,Failed
0.502602,0.513402,0.634147,0.353111,$RhoA_amp,7.5,N/A,,TJP1,TJP1_Sweep,1D,-0.281036,Failed
0.5035990000000001,0.510399,0.646335,0.33746299999999996,$RhoA_amp,10.0,N/A,,TJP1,TJP1_Sweep,1D,-0.30887200000000004,Failed
0.5044,0.493401,0.65256,0.341783,$RhoA_amp,12.5,N/A,,TJP1,TJP1_Sweep,1D,-0.310777,Failed
0.5006,0.49160000000000004,0.6412599999999999,0.34138,$RhoA_amp,15.0,N/A,,TJP1,TJP1_Sweep,1D,-0.2998799999999999,Failed
0.487,0.5055999999999999,0.642658,0.343706,$RhoA_amp,17.5,N/A,,TJP1,TJP1_Sweep,1D,-0.29895199999999994,Failed
0.489202,0.49260100000000007,0.643831,0.34456400000000004,$RhoA_amp,20.0,N/A,,TJP1,TJP1_Sweep,1D,-0.299267,Failed
0.4972,0.495,0.645069,0.349178,$RhoA_amp,22.5,N/A,,TJP1,TJP1_Sweep,1D,-0.295891,Failed
0.48940000000000006,0.5014000000000001,0.64278,0.3483,$RhoA_amp,25.0,N/A,,TJP1,TJP1_Sweep,1D,-0.29448,Failed
0.49099899999999996,0.49139999999999995,0.645695,0.348557,$RhoA_amp,27.5,N/A,,TJP1,TJP1_Sweep,1D,-0.297138,Failed
0.501198,0.507199,0.6544479999999999,0.335476,$RhoA_amp,30.0,N/A,,TJP1,TJP1_Sweep,1D,-0.3189719999999999,Failed
0.511,0.502,0.659516,0.333854,$RhoA_amp,32.5,N/A,,TJP1,TJP1_Sweep,1D,-0.325662,Failed
0.500399,0.49739900000000004,0.64991,0.34261199999999997,$RhoA_amp,35.0,N/A,,TJP1,TJP1_Sweep,1D,-0.307298,Failed
0.5048,0.502,0.651576,0.33486699999999997,$RhoA_amp,37.5,N/A,,TJP1,TJP1_Sweep,1D,-0.3167090000000001,Failed
0.509201,0.4842000000000001,0.699985,0.33887599999999996,$RhoA_decay,0.05,N/A,,TJP1,TJP1_Sweep,1D,-0.361109,Failed
