DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.5004000000000001,0.4982,0.591156,0.469116,0.49940000000000007,$RhoC_amp,5.0,$RhoC_mod,0.5,WT,Amplification_Gain_RhoC,2D,-0.12204000000000004,Normal
0.506601,0.4918,0.5644899999999999,0.535509,0.503002,$RhoC_amp,5.0,$RhoC_mod,1.5,WT,Amplification_Gain_RhoC,2D,-0.028980999999999923,Normal
0.49659999999999993,0.499199,0.5371619999999999,0.564341,0.5024,$RhoC_amp,5.0,$RhoC_mod,2.5,WT,Amplification_Gain_RhoC,2D,0.027179000000000064,Normal
0.4972009999999999,0.501601,0.531157,0.562221,0.496401,$RhoC_amp,5.0,$RhoC_mod,3.5,WT,Amplification_Gain_RhoC,2D,0.03106399999999998,Normal
0.49380100000000005,0.502601,0.585947,0.50368,0.504801,$RhoC_amp,10.0,$RhoC_mod,0.5,WT,Amplification_Gain_RhoC,2D,-0.08226699999999998,Normal
0.486801,0.49920000000000003,0.549213,0.5528829999999999,0.4980009999999999,$RhoC_amp,10.0,$RhoC_mod,1.5,WT,Amplification_Gain_RhoC,2D,0.003669999999999951,Normal
0.5032009999999999,0.497402,0.5338609999999999,0.578915,0.504601,$RhoC_amp,10.0,$RhoC_mod,2.5,WT,Amplification_Gain_RhoC,2D,0.04505400000000004,Normal
0.5058,0.500001,0.530506,0.591669,0.502799,$RhoC_amp,10.0,$RhoC_mod,3.5,WT,Amplification_Gain_RhoC,2D,0.06116299999999997,Normal
0.4982,0.510002,0.5865220000000001,0.496872,0.4966009999999999,$RhoC_amp,15.0,$RhoC_mod,0.5,WT,Amplification_Gain_RhoC,2D,-0.08965000000000012,Normal
0.5035999999999999,0.508401,0.549721,0.556951,0.48580100000000004,$RhoC_amp,15.0,$RhoC_mod,1.5,WT,Amplification_Gain_RhoC,2D,0.007229999999999959,Normal
0.499799,0.5116,0.5420159999999999,0.5867699999999999,0.498401,$RhoC_amp,15.0,$RhoC_mod,2.5,WT,Amplification_Gain_RhoC,2D,0.04475399999999996,Normal
0.499402,0.49460000000000004,0.526363,0.601461,0.49860099999999996,$RhoC_amp,15.0,$RhoC_mod,3.5,WT,Amplification_Gain_RhoC,2D,0.075098,Normal
0.5112,0.508801,0.5966579999999999,0.5048039999999999,0.49940100000000004,$RhoC_amp,20.0,$RhoC_mod,0.5,WT,Amplification_Gain_RhoC,2D,-0.09185399999999999,Normal
0.5040020000000001,0.49740100000000004,0.553941,0.559066,0.49080000000000007,$RhoC_amp,20.0,$RhoC_mod,1.5,WT,Amplification_Gain_RhoC,2D,0.005124999999999935,Normal
0.4931990000000001,0.4852000000000001,0.533437,0.586925,0.500198,$RhoC_amp,20.0,$RhoC_mod,2.5,WT,Amplification_Gain_RhoC,2D,0.05348799999999998,Normal
0.4958,0.503198,0.5257480000000001,0.608554,0.5015990000000001,$RhoC_amp,20.0,$RhoC_mod,3.5,WT,Amplification_Gain_RhoC,2D,0.08280599999999994,Normal
0.500602,0.5075999999999999,0.578396,0.516649,0.5026010000000001,$RhoC_amp,25.0,$RhoC_mod,0.5,WT,Amplification_Gain_RhoC,2D,-0.061746999999999996,Normal
0.49360000000000004,0.5018,0.5375340000000001,0.576862,0.5097999999999999,$RhoC_amp,25.0,$RhoC_mod,1.5,WT,Amplification_Gain_RhoC,2D,0.03932799999999992,Normal
0.507,0.497801,0.537057,0.596456,0.488399,$RhoC_amp,25.0,$RhoC_mod,2.5,WT,Amplification_Gain_RhoC,2D,0.05939899999999998,Normal
0.49219999999999997,0.494,0.525119,0.606103,0.491199,$RhoC_amp,25.0,$RhoC_mod,3.5,WT,Amplification_Gain_RhoC,2D,0.08098399999999994,Normal
0.49840000000000007,0.49160100000000007,0.5831919999999999,0.5036930000000001,0.499801,$RhoC_amp,30.0,$RhoC_mod,0.5,WT,Amplification_Gain_RhoC,2D,-0.07949899999999988,Normal
0.5060000000000001,0.496601,0.5592280000000001,0.556919,0.493201,$RhoC_amp,30.0,$RhoC_mod,1.5,WT,Amplification_Gain_RhoC,2D,-0.0023090000000000055,Normal
0.502201,0.49600099999999997,0.541146,0.588106,0.5,$RhoC_amp,30.0,$RhoC_mod,2.5,WT,Amplification_Gain_RhoC,2D,0.04696,Normal
0.49079899999999993,0.486598,0.52182,0.624022,0.5104,$RhoC_amp,30.0,$RhoC_mod,3.5,WT,Amplification_Gain_RhoC,2D,0.10220200000000002,Normal
0.488401,0.501001,0.57986,0.507475,0.4960009999999999,$RhoC_amp,35.0,$RhoC_mod,0.5,WT,Amplification_Gain_RhoC,2D,-0.07238500000000003,Normal
0.498001,0.501402,0.555945,0.5715629999999999,0.500801,$RhoC_amp,35.0,$RhoC_mod,1.5,WT,Amplification_Gain_RhoC,2D,0.01561799999999991,Normal
0.4990009999999999,0.487201,0.531083,0.6010639999999999,0.4962,$RhoC_amp,35.0,$RhoC_mod,2.5,WT,Amplification_Gain_RhoC,2D,0.06998099999999996,Normal
0.507799,0.509801,0.526067,0.6125019999999999,0.4952,$RhoC_amp,35.0,$RhoC_mod,3.5,WT,Amplification_Gain_RhoC,2D,0.08643499999999993,Normal
0.506799,,0.582499,0.37629499999999994,0.49239900000000003,$RhoC_amp,5.0,$RhoC_mod,0.5,JCAD,Amplification_Gain_RhoC,2D,-0.20620400000000005,Normal
0.492399,,0.5180469999999999,0.49849799999999994,0.5018,$RhoC_amp,5.0,$RhoC_mod,1.5,JCAD,Amplification_Gain_RhoC,2D,-0.019548999999999983,Normal
0.493801,,0.474256,0.572837,0.4982000000000001,$RhoC_amp,5.0,$RhoC_mod,2.5,JCAD,Amplification_Gain_RhoC,2D,0.09858100000000003,Normal
0.5032,,0.4707589999999999,0.588789,0.4942,$RhoC_amp,5.0,$RhoC_mod,3.5,JCAD,Amplification_Gain_RhoC,2D,0.11803000000000008,Normal
0.498799,,0.5789219999999999,0.38705500000000004,0.5160009999999999,$RhoC_amp,10.0,$RhoC_mod,0.5,JCAD,Amplification_Gain_RhoC,2D,-0.1918669999999999,Normal
0.49760100000000007,,0.514124,0.5067920000000001,0.49720000000000003,$RhoC_amp,10.0,$RhoC_mod,1.5,JCAD,Amplification_Gain_RhoC,2D,-0.007331999999999894,Normal
0.49619800000000003,,0.47593599999999997,0.5682879999999999,0.497799,$RhoC_amp,10.0,$RhoC_mod,2.5,JCAD,Amplification_Gain_RhoC,2D,0.09235199999999993,Normal
0.49600000000000005,,0.463123,0.588415,0.49599899999999997,$RhoC_amp,10.0,$RhoC_mod,3.5,JCAD,Amplification_Gain_RhoC,2D,0.12529200000000001,Normal
0.5094,,0.585456,0.382997,0.497,$RhoC_amp,15.0,$RhoC_mod,0.5,JCAD,Amplification_Gain_RhoC,2D,-0.202459,Normal
0.49600099999999997,,0.49948899999999996,0.510891,0.49900100000000003,$RhoC_amp,15.0,$RhoC_mod,1.5,JCAD,Amplification_Gain_RhoC,2D,0.011402000000000023,Normal
0.49199899999999996,,0.461,0.574724,0.5075999999999999,$RhoC_amp,15.0,$RhoC_mod,2.5,JCAD,Amplification_Gain_RhoC,2D,0.11372399999999999,Normal
0.49399899999999997,,0.46402800000000005,0.590029,0.49919900000000006,$RhoC_amp,15.0,$RhoC_mod,3.5,JCAD,Amplification_Gain_RhoC,2D,0.12600099999999997,Normal
0.4948,,0.5944499999999999,0.381138,0.49160000000000004,$RhoC_amp,20.0,$RhoC_mod,0.5,JCAD,Amplification_Gain_RhoC,2D,-0.21331199999999995,Normal
0.5019979999999999,,0.5134569999999999,0.502507,0.500799,$RhoC_amp,20.0,$RhoC_mod,1.5,JCAD,Amplification_Gain_RhoC,2D,-0.010949999999999904,Normal
0.4934,,0.47129099999999996,0.5686490000000001,0.5038009999999999,$RhoC_amp,20.0,$RhoC_mod,2.5,JCAD,Amplification_Gain_RhoC,2D,0.09735800000000011,Normal
0.503202,,0.46078399999999997,0.593409,0.500002,$RhoC_amp,20.0,$RhoC_mod,3.5,JCAD,Amplification_Gain_RhoC,2D,0.132625,Normal
0.501399,,0.580632,0.39010500000000004,0.498001,$RhoC_amp,25.0,$RhoC_mod,0.5,JCAD,Amplification_Gain_RhoC,2D,-0.190527,Normal
0.49399799999999994,,0.50719,0.5321750000000001,0.5053989999999999,$RhoC_amp,25.0,$RhoC_mod,1.5,JCAD,Amplification_Gain_RhoC,2D,0.024985000000000035,Normal
0.497,,0.474699,0.567078,0.492,$RhoC_amp,25.0,$RhoC_mod,2.5,JCAD,Amplification_Gain_RhoC,2D,0.09237899999999999,Normal
0.5021990000000001,,0.46401800000000004,0.5910550000000001,0.501799,$RhoC_amp,25.0,$RhoC_mod,3.5,JCAD,Amplification_Gain_RhoC,2D,0.12703700000000007,Normal
0.49959999999999993,,0.5839039999999999,0.371188,0.49239999999999995,$RhoC_amp,30.0,$RhoC_mod,0.5,JCAD,Amplification_Gain_RhoC,2D,-0.21271599999999985,Normal
0.503801,,0.508679,0.511515,0.5049999999999999,$RhoC_amp,30.0,$RhoC_mod,1.5,JCAD,Amplification_Gain_RhoC,2D,0.0028360000000000607,Normal
0.489201,,0.478164,0.5687749999999999,0.49660099999999996,$RhoC_amp,30.0,$RhoC_mod,2.5,JCAD,Amplification_Gain_RhoC,2D,0.09061099999999994,Normal
0.5002,,0.46527799999999997,0.594178,0.5032,$RhoC_amp,30.0,$RhoC_mod,3.5,JCAD,Amplification_Gain_RhoC,2D,0.12890000000000001,Normal
0.501199,,0.586481,0.38952200000000003,0.4976,$RhoC_amp,35.0,$RhoC_mod,0.5,JCAD,Amplification_Gain_RhoC,2D,-0.196959,Normal
0.5061990000000001,,0.505677,0.515543,0.49979900000000005,$RhoC_amp,35.0,$RhoC_mod,1.5,JCAD,Amplification_Gain_RhoC,2D,0.00986599999999993,Normal
0.48960000000000004,,0.474606,0.579626,0.501201,$RhoC_amp,35.0,$RhoC_mod,2.5,JCAD,Amplification_Gain_RhoC,2D,0.10502,Normal
0.502402,,0.45425699999999997,0.603058,0.505002,$RhoC_amp,35.0,$RhoC_mod,3.5,JCAD,Amplification_Gain_RhoC,2D,0.14880100000000002,Normal
,,0.450267,0.45836699999999997,0.5106,$RhoC_amp,5.0,$RhoC_mod,0.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.008099999999999996,Normal
,,0.359379,0.5961719999999999,0.513199,$RhoC_amp,5.0,$RhoC_mod,1.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.23679299999999992,Normal
,,0.35029299999999997,0.635103,0.494,$RhoC_amp,5.0,$RhoC_mod,2.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.28481,Hyper
,,0.336217,0.6636610000000001,0.5031990000000001,$RhoC_amp,5.0,$RhoC_mod,3.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.32744400000000007,Hyper
,,0.46697,0.438646,0.5116,$RhoC_amp,10.0,$RhoC_mod,0.5,DSP_JCAD,Amplification_Gain_RhoC,2D,-0.028324000000000016,Normal
,,0.38416799999999995,0.5867339999999999,0.5014,$RhoC_amp,10.0,$RhoC_mod,1.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.2025659999999999,Normal
,,0.350049,0.636398,0.5076,$RhoC_amp,10.0,$RhoC_mod,2.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.286349,Hyper
,,0.334616,0.65514,0.503599,$RhoC_amp,10.0,$RhoC_mod,3.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.3205239999999999,Hyper
,,0.441802,0.452084,0.507601,$RhoC_amp,15.0,$RhoC_mod,0.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.010282000000000013,Normal
,,0.391924,0.577318,0.4924,$RhoC_amp,15.0,$RhoC_mod,1.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.185394,Normal
,,0.35959399999999997,0.635587,0.5052,$RhoC_amp,15.0,$RhoC_mod,2.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.27599300000000004,Hyper
,,0.332762,0.6529309999999999,0.4974,$RhoC_amp,15.0,$RhoC_mod,3.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.3201689999999999,Hyper
,,0.457719,0.465398,0.499599,$RhoC_amp,20.0,$RhoC_mod,0.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.007678999999999991,Normal
,,0.379583,0.576151,0.498,$RhoC_amp,20.0,$RhoC_mod,1.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.19656799999999996,Normal
,,0.35842100000000005,0.642344,0.4918,$RhoC_amp,20.0,$RhoC_mod,2.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.283923,Hyper
,,0.339405,0.649077,0.4938,$RhoC_amp,20.0,$RhoC_mod,3.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.309672,Hyper
,,0.449818,0.45407000000000003,0.49460000000000004,$RhoC_amp,25.0,$RhoC_mod,0.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.0042520000000000335,Normal
,,0.376377,0.585687,0.49819899999999995,$RhoC_amp,25.0,$RhoC_mod,1.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.20930999999999994,Normal
,,0.357765,0.628017,0.49639900000000003,$RhoC_amp,25.0,$RhoC_mod,2.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.27025200000000005,Hyper
,,0.344878,0.662844,0.5019990000000001,$RhoC_amp,25.0,$RhoC_mod,3.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.31796599999999997,Hyper
,,0.451413,0.46646,0.499,$RhoC_amp,30.0,$RhoC_mod,0.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.015046999999999977,Normal
,,0.37599899999999997,0.584246,0.49319999999999997,$RhoC_amp,30.0,$RhoC_mod,1.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.20824700000000007,Normal
,,0.363435,0.624893,0.5038,$RhoC_amp,30.0,$RhoC_mod,2.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.261458,Hyper
,,0.33359,0.6594669999999999,0.4988,$RhoC_amp,30.0,$RhoC_mod,3.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.3258769999999999,Hyper
,,0.452011,0.46790899999999996,0.498399,$RhoC_amp,35.0,$RhoC_mod,0.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.015897999999999968,Normal
,,0.387252,0.581421,0.5028,$RhoC_amp,35.0,$RhoC_mod,1.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.19416899999999998,Normal
,,0.353878,0.634878,0.5155989999999999,$RhoC_amp,35.0,$RhoC_mod,2.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.281,Hyper
,,0.341919,0.652548,0.48660100000000006,$RhoC_amp,35.0,$RhoC_mod,3.5,DSP_JCAD,Amplification_Gain_RhoC,2D,0.31062900000000004,Hyper
