DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.493201,0.49439999999999995,0.338509,0.647458,0.501201,$RhoA_amp,0.0,N/A,,WT,WT_Sweep,1D,0.308949,Hyper
0.508201,0.4858010000000001,0.501561,0.571149,0.49280199999999996,$RhoA_amp,2.5,N/A,,WT,WT_Sweep,1D,0.06958799999999998,Normal
0.49999899999999997,0.4986,0.53324,0.5557179999999999,0.49379900000000004,$RhoA_amp,5.0,N/A,,WT,WT_Sweep,1D,0.022477999999999887,Normal
0.510801,0.511602,0.545445,0.561741,0.51,$RhoA_amp,7.5,N/A,,WT,WT_Sweep,1D,0.016296000000000088,Normal
0.5082,0.505598,0.558162,0.550356,0.5,$RhoA_amp,10.0,N/A,,WT,WT_Sweep,1D,-0.007806000000000091,Normal
0.49979799999999996,0.48419900000000005,0.568048,0.5512400000000001,0.5012,$RhoA_amp,12.5,N/A,,WT,WT_Sweep,1D,-0.016807999999999934,Normal
0.49160000000000004,0.500401,0.553542,0.5606410000000001,0.498401,$RhoA_amp,15.0,N/A,,WT,WT_Sweep,1D,0.0070990000000000775,Normal
0.5108,0.496599,0.571683,0.542466,0.49840100000000004,$RhoA_amp,17.5,N/A,,WT,WT_Sweep,1D,-0.02921700000000005,Normal
0.498,0.492,0.56546,0.546612,0.49579999999999996,$RhoA_amp,20.0,N/A,,WT,WT_Sweep,1D,-0.018847999999999976,Normal
0.500401,0.497601,0.5692550000000001,0.5563260000000001,0.499,$RhoA_amp,22.5,N/A,,WT,WT_Sweep,1D,-0.012928999999999968,Normal
0.5036010000000001,0.502401,0.577708,0.542988,0.507001,$RhoA_amp,25.0,N/A,,WT,WT_Sweep,1D,-0.03471999999999997,Normal
0.501203,0.5132019999999999,0.5742499999999999,0.544007,0.48540200000000006,$RhoA_amp,27.5,N/A,,WT,WT_Sweep,1D,-0.03024299999999991,Normal
0.501001,0.503402,0.583427,0.5437420000000001,0.498,$RhoA_amp,30.0,N/A,,WT,WT_Sweep,1D,-0.03968499999999997,Normal
0.5108,0.48779999999999996,0.5695530000000001,0.556356,0.5130009999999999,$RhoA_amp,32.5,N/A,,WT,WT_Sweep,1D,-0.013197000000000125,Normal
0.4918,0.492801,0.5672060000000001,0.54681,0.512198,$RhoA_amp,35.0,N/A,,WT,WT_Sweep,1D,-0.02039600000000008,Normal
0.49399800000000005,0.504599,0.568073,0.550259,0.5148,$RhoA_amp,37.5,N/A,,WT,WT_Sweep,1D,-0.017813999999999997,Normal
0.49620000000000003,0.5034,0.566295,0.559136,0.49780100000000005,$RhoA_amp,40.0,N/A,,WT,WT_Sweep,1D,-0.0071590000000000265,Normal
0.501601,0.5132,0.5902499999999999,0.542004,0.4914010000000001,$RhoA_amp,42.5,N/A,,WT,WT_Sweep,1D,-0.0482459999999999,Normal
0.5035999999999999,0.49759999999999993,0.579809,0.5430940000000001,0.4944009999999999,$RhoA_amp,45.0,N/A,,WT,WT_Sweep,1D,-0.03671499999999994,Normal
