t,DSP,TJP1,JCAD,RhoA,RhoC,perturbation,delta,phenotype
0.0,0.49480100000000005,0.48700099999999996,0.5024000000000001,0.523715,0.535092,WT,0.01137699999999997,Normal
0.1,0.494801,0.48700000000000004,0.502399,0.53611,0.5464049999999999,WT,0.010294999999999943,Normal
0.2,0.49480100000000005,0.48699999999999993,0.502402,0.542754,0.5444440000000002,WT,0.0016900000000001913,Normal
0.3,0.494799,0.48700000000000004,0.502401,0.546061,0.5498989999999999,WT,0.003837999999999897,Normal
0.4,0.49479900000000004,0.487,0.5024,0.545326,0.5507909999999999,WT,0.005464999999999942,Normal
0.5,0.4947990000000001,0.487001,0.5024000000000001,0.54947,0.544889,WT,-0.004581000000000057,Normal
0.6,0.49480099999999994,0.487001,0.5024009999999999,0.5462830000000001,0.544323,WT,-0.001960000000000073,Normal
0.7,0.49479800000000007,0.48699899999999996,0.5024000000000001,0.550017,0.5481959999999999,WT,-0.0018210000000000726,Normal
0.8,0.4948,0.48699799999999993,0.502398,0.5479430000000001,0.5526809999999999,WT,0.004737999999999798,Normal
0.9,0.494801,0.48699999999999993,0.502401,0.5547999999999998,0.5520020000000001,WT,-0.002797999999999745,Normal
1.0,0.494801,0.48699899999999996,0.5024,0.556371,0.554215,WT,-0.0021559999999999357,Normal
1.1,0.494801,0.487002,0.5024000000000001,0.556889,0.547175,WT,-0.009714,Normal
1.2,0.494799,0.4869989999999999,0.5024,0.5604829999999998,0.54694,WT,-0.01354299999999986,Normal
1.3,0.4948000000000001,0.487001,0.502402,0.560229,0.5497700000000001,WT,-0.010458999999999885,Normal
1.4,0.4948,0.487001,0.5024000000000001,0.557857,0.544638,WT,-0.013219000000000092,Normal
1.5,0.49479900000000004,0.48700099999999996,0.502401,0.5569810000000001,0.5471119999999999,WT,-0.009869000000000128,Normal
1.6,0.49479899999999993,0.48699800000000004,0.502399,0.559054,0.546933,WT,-0.012121000000000048,Normal
1.7,0.4948,0.48699799999999993,0.5024000000000001,0.5622670000000001,0.543678,WT,-0.018589000000000078,Normal
1.8,0.4948,0.486999,0.5024000000000001,0.5586139999999999,0.539017,WT,-0.019596999999999976,Normal
1.9,0.494803,0.487,0.5024,0.55895,0.5368580000000001,WT,-0.02209199999999989,Normal
2.0,0.494802,0.487,0.502401,0.558094,0.539797,WT,-0.018297000000000008,Normal
2.1,0.4948000000000001,0.487001,0.5024010000000001,0.5588820000000001,0.5439370000000001,WT,-0.014944999999999986,Normal
