,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.52,0.0,0.495107,0.5049
0.1,0.0,0.555417,0.0,0.486857,0.5167860000000001
0.2,0.0,0.586838,0.0,0.48096900000000004,0.5295380000000001
0.3,0.0,0.613504,0.0,0.478041,0.544779
0.4,0.0,0.637534,0.0,0.473475,0.555091
0.5,0.0,0.6601190000000001,0.0,0.472352,0.567062
0.6,0.0,0.6804589999999999,0.0,0.471346,0.579332
0.7,0.0,0.701163,0.0,0.47044400000000003,0.588592
0.8,0.0,0.715906,0.0,0.467913,0.599578
0.9,0.0,0.729614,0.0,0.46497900000000003,0.609462
1.0,0.0,0.741461,0.0,0.461505,0.617326
1.1,0.0,0.751767,0.0,0.45504700000000003,0.6245069999999999
1.2,0.0,0.758864,0.0,0.450754,0.634089
1.3,0.0,0.7651509999999999,0.0,0.448608,0.6440189999999999
1.4,0.0,0.7730410000000001,0.0,0.448966,0.649523
1.5,0.0,0.7795620000000001,0.0,0.447715,0.6537550000000001
1.6,0.0,0.785037,0.0,0.444195,0.6564490000000001
1.7,0.0,0.789489,0.0,0.44342800000000004,0.659585
1.8,0.0,0.7940240000000001,0.0,0.440195,0.6644410000000001
1.9,0.0,0.7988170000000001,0.0,0.439395,0.668489
2.0,0.0,0.803376,0.0,0.439851,0.671798
2.1,0.0,0.807963,0.0,0.44190799999999997,0.675951
2.2,0.0,0.810268,0.0,0.439392,0.676931
2.3,0.0,0.812318,0.0,0.438893,0.678592
2.4,0.0,0.814749,0.0,0.43623199999999995,0.6818329999999999
2.5,0.0,0.816835,0.0,0.437013,0.6820450000000001
2.6,0.0,0.818614,0.0,0.434063,0.68164
2.7,0.0,0.820244,0.0,0.433618,0.6849160000000001
2.8,0.0,0.823342,0.0,0.432126,0.687073
2.9,0.0,0.8272820000000001,0.0,0.430091,0.690016
3.0,0.0,0.8272619999999999,0.0,0.42836799999999997,0.693797
3.1,0.0,0.826071,0.0,0.42546799999999996,0.696826
3.2,0.0,0.825769,0.0,0.420358,0.698404
3.3,0.0,0.8277730000000001,0.0,0.420608,0.699392
3.4,0.0,0.829871,0.0,0.419879,0.6967300000000001
3.5,0.0,0.828427,0.0,0.420269,0.697674
3.6,0.0,0.829025,0.0,0.420122,0.702269
3.7,0.0,0.8268279999999999,0.0,0.422096,0.702765
3.8,0.0,0.82889,0.0,0.424789,0.700652
3.9,0.0,0.83189,0.0,0.423636,0.7007590000000001
