,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.0,0.510058,0.49668499999999993,0.493954
0.1,0.0,0.0,0.5304199999999999,0.489636,0.480975
0.2,0.0,0.0,0.5500210000000001,0.48409199999999997,0.473051
0.3,0.0,0.0,0.5648580000000001,0.48084799999999994,0.46504600000000007
0.4,0.0,0.0,0.581242,0.482067,0.46129700000000007
0.5,0.0,0.0,0.595711,0.480485,0.458825
0.6,0.0,0.0,0.609498,0.484858,0.45795399999999997
0.7,0.0,0.0,0.6220789999999999,0.48697999999999997,0.45756499999999994
0.8,0.0,0.0,0.633757,0.48883600000000005,0.454556
0.9,0.0,0.0,0.644045,0.490781,0.452959
1.0,0.0,0.0,0.654471,0.49505299999999997,0.45240199999999997
1.1,0.0,0.0,0.665313,0.496215,0.453042
1.2,0.0,0.0,0.676145,0.496665,0.452743
1.3,0.0,0.0,0.685577,0.500574,0.4526
1.4,0.0,0.0,0.695594,0.502251,0.45263899999999996
1.5,0.0,0.0,0.703988,0.503323,0.453055
1.6,0.0,0.0,0.712529,0.505484,0.45271300000000003
1.7,0.0,0.0,0.721365,0.5062599999999999,0.45303000000000004
1.8,0.0,0.0,0.728327,0.507107,0.45265
1.9,0.0,0.0,0.736024,0.508361,0.454177
2.0,0.0,0.0,0.7442660000000001,0.508185,0.457335
2.1,0.0,0.0,0.749612,0.507915,0.459552
2.2,0.0,0.0,0.753883,0.5077419999999999,0.461441
2.3,0.0,0.0,0.758525,0.510236,0.459124
2.4,0.0,0.0,0.762833,0.511609,0.46148500000000003
2.5,0.0,0.0,0.7668980000000001,0.512223,0.462229
2.6,0.0,0.0,0.7711970000000001,0.510915,0.462137
2.7,0.0,0.0,0.7745520000000001,0.508704,0.46320900000000004
2.8,0.0,0.0,0.780376,0.509534,0.462955
2.9,0.0,0.0,0.7834909999999999,0.511154,0.462616
3.0,0.0,0.0,0.785613,0.512794,0.464155
3.1,0.0,0.0,0.788163,0.514277,0.464629
3.2,0.0,0.0,0.792046,0.516629,0.46287
3.3,0.0,0.0,0.7958259999999999,0.5180579999999999,0.461998
3.4,0.0,0.0,0.7984800000000001,0.521134,0.462302
3.5,0.0,0.0,0.799126,0.520527,0.463718
3.6,0.0,0.0,0.800952,0.5197039999999999,0.463586
3.7,0.0,0.0,0.801387,0.5187459999999999,0.46245800000000004
3.8,0.0,0.0,0.80356,0.520018,0.462046
3.9,0.0,0.0,0.805158,0.519033,0.46165
