,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.120353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12403,0.133425,0.132626,0.119977,0.128237,0.126305,0.115046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.110361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123553,0.150553,0.14748,0.108834,0.134559,0.128971,0.09569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.100833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125148,0.164876,0.157311,0.102686,0.136092,0.132616,0.080438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.094842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125175,0.177806,0.167352,0.094525,0.13713,0.131782,0.071387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.089483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122615,0.189606,0.17838,0.090641,0.136999,0.127455,0.064821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.085341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122304,0.197237,0.187431,0.088739,0.136291,0.124437,0.058218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.080985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119729,0.206061,0.193871,0.089837,0.135272,0.120558,0.053688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.077598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118334,0.217064,0.198211,0.08847,0.129439,0.118877,0.052007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.074669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119563,0.224587,0.202673,0.086934,0.126625,0.114259,0.05069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.070156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121465,0.230138,0.206654,0.085788,0.125282,0.110944,0.049573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.066244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121107,0.236084,0.209553,0.087727,0.124164,0.108044,0.047078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.063149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120623,0.24257,0.214198,0.087922,0.120616,0.105815,0.045107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
