,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.5195280000000001,0.0,0.509646,0.529873,0.49229100000000003
0.1,0.5529339999999999,0.0,0.5278750000000001,0.574728,0.477503
0.2,0.583049,0.0,0.54602,0.6102850000000001,0.46528900000000006
0.3,0.6120019999999999,0.0,0.561974,0.638504,0.45426199999999994
0.4,0.63783,0.0,0.5761890000000001,0.662485,0.44162599999999996
0.5,0.6598649999999999,0.0,0.5903849999999999,0.6832769999999999,0.431551
0.6,0.680153,0.0,0.6030779999999999,0.7045910000000001,0.419877
0.7,0.696836,0.0,0.6159619999999999,0.719464,0.412185
0.8,0.711725,0.0,0.627842,0.7296590000000001,0.406903
0.9,0.725446,0.0,0.6383179999999999,0.7434620000000001,0.399539
1.0,0.7374529999999999,0.0,0.649944,0.7522619999999999,0.390542
1.1,0.752378,0.0,0.660369,0.7628389999999999,0.3830950000000001
1.2,0.759904,0.0,0.6704420000000001,0.776315,0.37434399999999995
1.3,0.763895,0.0,0.679249,0.7806919999999999,0.370377
1.4,0.772742,0.0,0.6886220000000001,0.785058,0.364846
1.5,0.7822669999999999,0.0,0.6979310000000001,0.790141,0.36099400000000004
1.6,0.7887909999999999,0.0,0.706374,0.79894,0.35716699999999996
1.7,0.793882,0.0,0.713737,0.8098479999999999,0.35304199999999997
1.8,0.7953399999999999,0.0,0.7204969999999999,0.816005,0.348843
1.9,0.796796,0.0,0.727657,0.823864,0.34574699999999997
2.0,0.8011039999999999,0.0,0.735295,0.8285419999999999,0.34244199999999997
2.1,0.8041889999999999,0.0,0.741093,0.8339479999999999,0.33952
2.2,0.806688,0.0,0.745161,0.835305,0.33622500000000005
2.3,0.811041,0.0,0.750332,0.838336,0.332215
2.4,0.811896,0.0,0.7541070000000001,0.842689,0.328895
2.5,0.8117850000000001,0.0,0.758199,0.8427290000000001,0.327332
2.6,0.815316,0.0,0.7636919999999998,0.8422639999999999,0.321834
2.7,0.8181620000000001,0.0,0.7685109999999999,0.8430770000000001,0.31873599999999996
2.8,0.820074,0.0,0.7733120000000001,0.8418939999999999,0.3176379999999999
2.9,0.8237380000000001,0.0,0.777426,0.844787,0.31699900000000003
3.0,0.826621,0.0,0.781079,0.8472830000000001,0.316865
3.1,0.8247839999999999,0.0,0.783598,0.847125,0.318055
3.2,0.823685,0.0,0.786784,0.8473890000000001,0.315359
3.3,0.8255259999999999,0.0,0.7909489999999999,0.849683,0.31415200000000004
3.4,0.8237129999999999,0.0,0.792464,0.8535619999999999,0.313924
3.5,0.8240729999999999,0.0,0.7942319999999999,0.8544729999999999,0.31330499999999994
3.6,0.8262230000000002,0.0,0.796863,0.8545419999999999,0.31286400000000003
3.7,0.8277270000000001,0.0,0.7999010000000001,0.8553480000000001,0.308771
3.8,0.828638,0.0,0.800798,0.8577659999999999,0.30694699999999997
3.9,0.828306,0.0,0.802518,0.856381,0.306575
