,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.057373,0.060216,0.050652,0.081974,0.054519,0.075728,0.072018,0.062463,0.061958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060039,0.064396,0.064548,0.05779,0.061043,0.060319,0.054966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.047868,0.054718,0.035422,0.116347,0.043901,0.092824,0.08496,0.063335,0.061427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055778,0.068203,0.066217,0.049183,0.059199,0.058031,0.042585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.041229,0.049733,0.027203,0.146713,0.039744,0.102388,0.092913,0.061958,0.062397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049108,0.07071,0.066907,0.043247,0.057102,0.053833,0.034815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.035321,0.045247,0.021698,0.173932,0.03979,0.10774,0.101522,0.060539,0.061534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043287,0.070661,0.065271,0.039595,0.05407,0.050343,0.02945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.030964,0.04079,0.019178,0.194588,0.039645,0.11375,0.110982,0.059264,0.059633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039518,0.071932,0.061583,0.035995,0.050423,0.046574,0.025182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.027096,0.038148,0.017542,0.212043,0.039574,0.11845,0.117146,0.058668,0.058294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035846,0.074488,0.058229,0.034213,0.046139,0.041619,0.022504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.024316,0.035395,0.01679,0.232994,0.037977,0.120983,0.119549,0.056601,0.059864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032116,0.074239,0.055605,0.032374,0.044724,0.036609,0.019864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.021771,0.032657,0.017372,0.247596,0.038587,0.124902,0.123169,0.053186,0.059367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029801,0.073232,0.053266,0.031206,0.042219,0.033898,0.017773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.019715,0.029368,0.018894,0.260111,0.038831,0.128763,0.125327,0.052223,0.058208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028007,0.072053,0.051716,0.029467,0.039621,0.031586,0.016109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.017794,0.026946,0.018822,0.273946,0.037869,0.132162,0.128073,0.050386,0.057242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025308,0.07188,0.050026,0.028305,0.03769,0.029385,0.014164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.016338,0.024889,0.018403,0.288453,0.040004,0.133746,0.129227,0.049294,0.053437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023477,0.071954,0.047534,0.026373,0.036716,0.027798,0.012356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
