t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.118993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118165,0.138752,0.139971,0.103112,0.139975,0.137588,0.103443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.105464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106866,0.157145,0.160673,0.075316,0.161671,0.159181,0.073685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.095565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097621,0.168532,0.173233,0.060615,0.171575,0.1726,0.06026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.088181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089417,0.17627,0.180292,0.054021,0.178029,0.180392,0.053398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.083302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081444,0.181228,0.188674,0.048654,0.18203,0.181528,0.053139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.07742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078916,0.182702,0.187629,0.050753,0.186162,0.183384,0.053035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0.074329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07387,0.186385,0.189046,0.050699,0.190436,0.184814,0.050421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.070888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069607,0.188216,0.189767,0.05241,0.190477,0.185743,0.052892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.067432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067213,0.1925,0.188564,0.051723,0.190248,0.189775,0.052544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.064528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063019,0.194769,0.1913,0.050912,0.190784,0.191784,0.052904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.061852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060426,0.195386,0.190943,0.053244,0.192161,0.193979,0.052008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.061943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057746,0.197343,0.193096,0.051815,0.193981,0.193207,0.050869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0.060204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055469,0.198189,0.19594,0.050401,0.195823,0.191602,0.052371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.056201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055158,0.196941,0.196671,0.05123,0.196996,0.193866,0.052938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0.053962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053053,0.196745,0.198553,0.05165,0.197865,0.193673,0.0545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.052397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053453,0.197031,0.199112,0.050404,0.199286,0.192838,0.055479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0.051357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054187,0.196472,0.197413,0.051929,0.201422,0.193062,0.054159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0.049873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053766,0.195487,0.197922,0.052825,0.199626,0.196777,0.053724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0.04971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053508,0.194901,0.198893,0.052698,0.199772,0.197322,0.053196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0.04973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052392,0.196761,0.197115,0.053732,0.199637,0.198084,0.052549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052009,0.197369,0.196283,0.054339,0.197687,0.198265,0.055348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0.047544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051396,0.19862,0.194299,0.055684,0.197029,0.198534,0.056894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0.047446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050613,0.200124,0.195432,0.05383,0.19613,0.199561,0.056863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0.0473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050461,0.20142,0.194766,0.053354,0.198955,0.200004,0.053741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0.04783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051203,0.20084,0.193366,0.054591,0.197289,0.20053,0.05435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0.048177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051148,0.200298,0.193256,0.055297,0.19739,0.200214,0.054219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0.049891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05011,0.19928,0.194835,0.055775,0.19565,0.202436,0.052022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0.05016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049751,0.199159,0.1937,0.057391,0.19325,0.201272,0.055319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0.051929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049634,0.202196,0.194182,0.053987,0.195125,0.199223,0.053722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0.052365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051535,0.200731,0.19431,0.053423,0.196281,0.200033,0.051322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.051762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052529,0.200193,0.192723,0.054554,0.195663,0.202127,0.050449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0.050677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053495,0.198724,0.194492,0.053289,0.195765,0.202866,0.050693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0.051908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053105,0.198011,0.194318,0.054566,0.193448,0.201721,0.052924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0.051376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052377,0.19863,0.196146,0.052848,0.193329,0.20102,0.054275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0.05161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050819,0.201471,0.198027,0.049683,0.195868,0.200371,0.052151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0.051831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048954,0.201567,0.199737,0.049742,0.194691,0.200284,0.053194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.05049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051223,0.195933,0.19903,0.053814,0.194224,0.201643,0.053642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0.049019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05102,0.194935,0.202094,0.051951,0.195532,0.200477,0.054972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0.049083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050637,0.193581,0.203675,0.052106,0.199011,0.199903,0.052003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0.047637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050537,0.19224,0.2064,0.050823,0.198491,0.200676,0.053196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
