t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.49989999999999996,0.5,0.5,0.5358169999999999,0.534424
0.1,0.49990100000000004,0.5,0.5,0.572194,0.572145
0.2,0.49990000000000007,0.5000020000000001,0.4999989999999999,0.5836039999999999,0.584518
0.3,0.4999,0.49999999999999994,0.49999899999999997,0.5890710000000001,0.588549
0.4,0.4999000000000001,0.5,0.5,0.5901480000000001,0.589843
0.5,0.49990099999999993,0.500001,0.500002,0.59236,0.5928519999999999
0.6,0.49990100000000004,0.5000009999999999,0.49999899999999997,0.590459,0.591301
0.7,0.49990099999999993,0.500002,0.500001,0.5910040000000001,0.5909730000000002
0.8,0.4999,0.500001,0.499999,0.593594,0.5904790000000001
0.9,0.499899,0.5,0.5,0.596908,0.588855
1.0,0.49989900000000004,0.4999990000000001,0.5,0.5947049999999999,0.587342
1.1,0.49990199999999996,0.500002,0.5,0.594224,0.58621
1.2,0.4999,0.499999,0.499999,0.5976980000000001,0.586698
1.3,0.4999,0.5,0.49999800000000005,0.5996839999999999,0.593507
1.4,0.49990100000000004,0.5,0.500001,0.60127,0.595931
1.5,0.499899,0.499998,0.49999800000000005,0.6023879999999999,0.5983729999999999
1.6,0.4999009999999999,0.500001,0.500001,0.599109,0.599719
1.7,0.499901,0.500001,0.499998,0.593437,0.603522
1.8,0.499902,0.5000000000000001,0.49999899999999997,0.5930770000000001,0.6045749999999999
1.9,0.49990100000000004,0.5,0.5,0.5938530000000001,0.602559
2.0,0.49990199999999996,0.500001,0.5000009999999999,0.592513,0.603191
2.1,0.4999,0.500001,0.500002,0.5908150000000001,0.600519
2.2,0.49990100000000004,0.500003,0.5000030000000001,0.5896640000000001,0.6025120000000002
2.3,0.499899,0.499998,0.49999999999999994,0.591681,0.602515
2.4,0.4999,0.5,0.49999800000000005,0.587768,0.605731
2.5,0.4999,0.499998,0.49999899999999997,0.589907,0.607151
2.6,0.49990100000000004,0.500001,0.500001,0.589294,0.608093
2.7,0.499899,0.5,0.5000000000000001,0.593759,0.60283
2.8,0.499899,0.5,0.5,0.59792,0.5965260000000001
2.9,0.499897,0.49999699999999997,0.499998,0.600866,0.5954740000000001
3.0,0.4999,0.49999899999999997,0.5,0.5988380000000001,0.5960409999999999
3.1,0.49989999999999996,0.5000009999999999,0.500001,0.5978589999999999,0.591563
3.2,0.499898,0.499999,0.499997,0.601943,0.5912879999999999
3.3,0.499901,0.5000020000000001,0.5,0.5995219999999999,0.594693
3.4,0.49989799999999995,0.5,0.4999989999999999,0.595934,0.5916939999999999
3.5,0.499901,0.500002,0.49999999999999994,0.5952599999999999,0.593118
3.6,0.499899,0.499999,0.499998,0.594218,0.5961200000000001
3.7,0.49990100000000004,0.5,0.5000009999999999,0.592964,0.5975360000000001
3.8,0.49990099999999993,0.5,0.500001,0.5899949999999999,0.5997330000000001
3.9,0.4998989999999999,0.4999989999999999,0.499999,0.591556,0.6032510000000001
