,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.057409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060657,0.062532,0.064947,0.057066,0.061726,0.062546,0.054238,0.060086,0.049844,0.056335,0.082095,0.076165,0.064802,0.066226,0.063327
0.1,0.047896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056451,0.064736,0.065662,0.049247,0.058908,0.061584,0.042192,0.054865,0.034696,0.046933,0.114758,0.094893,0.066625,0.077006,0.063548
0.2,0.041803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049101,0.065952,0.067836,0.042911,0.056269,0.056268,0.034563,0.049331,0.026684,0.0431,0.143237,0.106236,0.067073,0.087338,0.062299
0.3,0.036754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043337,0.065158,0.068998,0.037943,0.052078,0.051636,0.029264,0.044882,0.023891,0.043456,0.16676,0.112917,0.065844,0.094538,0.062542
0.4,0.031353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039504,0.066561,0.06829,0.034957,0.047746,0.047535,0.024127,0.041954,0.021006,0.041808,0.185424,0.119404,0.066861,0.100437,0.063032
0.5,0.02737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035974,0.065369,0.067163,0.033664,0.043406,0.043027,0.021775,0.038074,0.019467,0.040867,0.203017,0.127496,0.068305,0.10316,0.061866
0.6,0.024397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032653,0.06409,0.065857,0.031551,0.04086,0.038462,0.020362,0.035189,0.019337,0.041458,0.219227,0.131172,0.065962,0.107829,0.061596
0.7,0.021408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030161,0.060295,0.06508,0.029624,0.038784,0.036398,0.017369,0.031424,0.018553,0.044306,0.236006,0.133303,0.065899,0.111918,0.059472
0.8,0.01854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027836,0.057133,0.063388,0.029457,0.035737,0.035736,0.016995,0.029217,0.018808,0.045776,0.251362,0.134687,0.063287,0.113641,0.058398
0.9,0.015896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026385,0.055228,0.064134,0.027678,0.032417,0.033628,0.015783,0.027224,0.01768,0.045997,0.264169,0.138936,0.061711,0.115261,0.057874
1.0,0.014419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024942,0.051827,0.064969,0.02709,0.029404,0.032631,0.013788,0.02515,0.018076,0.045631,0.274613,0.142907,0.060558,0.116338,0.057657
1.1,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023546,0.049708,0.062469,0.027557,0.026949,0.030261,0.013005,0.023821,0.018553,0.044909,0.283971,0.14886,0.060461,0.115002,0.057826
1.2,0.01166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022573,0.049179,0.06362,0.026912,0.024361,0.02834,0.012447,0.021304,0.016347,0.046038,0.296305,0.150992,0.057727,0.115573,0.056623
1.3,0.010411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021098,0.048245,0.063375,0.026115,0.022914,0.028661,0.011185,0.020557,0.016858,0.046726,0.308517,0.150877,0.054054,0.114684,0.055724
1.4,0.008955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02022,0.045,0.063873,0.026346,0.022285,0.028231,0.010938,0.020298,0.016707,0.047429,0.316844,0.152359,0.052267,0.114315,0.053931
