Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	1.2358	0.0046	2.0888	1.0000	TJP1 -- RhoA	0.000851	0.000242	JCAD -- RhoA	0.002522	0.000407	JCAD -- RhoC -- RhoA	0.002092	0.000336	TJP1	0.000693	0.000196	TJP1 -- RhoC	0.001614	0.000313	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.000000	0.000000	TJP1 -- JCAD -- RhoC	0.310170	0.004328	TJP1 -- RhoC -- RhoA	0.001174	0.000266	DSP -- TJP1 -- JCAD -- RhoC	0.000000	0.000000	JCAD	0.002153	0.000370	TJP1 -- JCAD	0.191644	0.003666	TJP1 -- JCAD -- RhoC -- RhoA	0.277865	0.004135	DSP -- TJP1 -- JCAD	0.000000	0.000000	TJP1 -- JCAD -- RhoA	0.206525	0.003733	JCAD -- RhoC	0.002695	0.000407	DSP -- TJP1 -- JCAD -- RhoA	0.000000	0.000000
0.1000	1.3802	0.0043	2.1143	1.0000	<nil>	0.000057	0.000057	RhoC	0.000104	0.000081	RhoA	0.000046	0.000046	TJP1	0.001702	0.000389	TJP1 -- RhoA	0.002515	0.000452	JCAD -- RhoA	0.006538	0.000755	TJP1 -- RhoC	0.004614	0.000612	JCAD -- RhoC	0.008777	0.000849	JCAD -- RhoC -- RhoA	0.006052	0.000688	TJP1 -- JCAD	0.111259	0.002939	TJP1 -- JCAD -- RhoA	0.147019	0.003251	TJP1 -- JCAD -- RhoC	0.391665	0.004658	TJP1 -- RhoC -- RhoA	0.004887	0.000637	JCAD	0.004676	0.000638	TJP1 -- JCAD -- RhoC -- RhoA	0.310088	0.004318
0.2000	1.4614	0.0039	2.1139	1.0000	RhoC	0.000174	0.000114	RhoA	0.000159	0.000115	<nil>	0.000208	0.000134	RhoC -- RhoA	0.000184	0.000105	TJP1	0.002237	0.000446	TJP1 -- RhoA	0.003915	0.000579	TJP1 -- RhoC	0.008265	0.000852	JCAD -- RhoA	0.009883	0.000937	JCAD -- RhoC	0.017088	0.001207	JCAD -- RhoC -- RhoA	0.009724	0.000887	TJP1 -- JCAD	0.068115	0.002351	JCAD	0.006237	0.000748	TJP1 -- RhoC -- RhoA	0.007370	0.000797	TJP1 -- JCAD -- RhoC	0.436575	0.004767	TJP1 -- JCAD -- RhoA	0.113546	0.002914	TJP1 -- JCAD -- RhoC -- RhoA	0.316318	0.004376
0.3000	1.5086	0.0036	2.1218	1.0000	RhoC	0.000386	0.000193	RhoA	0.000171	0.000113	<nil>	0.000200	0.000141	RhoC -- RhoA	0.000360	0.000178	TJP1	0.002557	0.000484	TJP1 -- RhoA	0.005448	0.000701	TJP1 -- RhoC	0.012653	0.001080	JCAD -- RhoA	0.013080	0.001086	JCAD -- RhoC	0.024032	0.001444	TJP1 -- JCAD	0.045876	0.001942	JCAD -- RhoC -- RhoA	0.013138	0.001043	JCAD	0.007052	0.000795	TJP1 -- RhoC -- RhoA	0.008955	0.000898	TJP1 -- JCAD -- RhoA	0.093426	0.002663	TJP1 -- JCAD -- RhoC	0.463172	0.004805	TJP1 -- JCAD -- RhoC -- RhoA	0.309493	0.004355
0.4000	1.5370	0.0033	2.1242	1.0000	<nil>	0.000275	0.000160	RhoC	0.000793	0.000252	RhoC -- RhoA	0.000651	0.000232	RhoA	0.000310	0.000155	TJP1	0.002547	0.000489	TJP1 -- RhoA	0.005985	0.000731	TJP1 -- RhoC	0.016829	0.001220	JCAD -- RhoA	0.014694	0.001162	JCAD -- RhoC	0.030415	0.001641	TJP1 -- JCAD	0.033813	0.001680	JCAD -- RhoC -- RhoA	0.013976	0.001093	JCAD	0.007415	0.000827	TJP1 -- RhoC -- RhoA	0.010033	0.000940	TJP1 -- JCAD -- RhoA	0.080797	0.002469	TJP1 -- JCAD -- RhoC	0.478782	0.004832	TJP1 -- JCAD -- RhoC -- RhoA	0.302683	0.004344
0.5000	1.5515	0.0033	2.1517	1.0000	<nil>	0.000268	0.000149	RhoC -- RhoA	0.000715	0.000250	RhoA	0.000522	0.000216	TJP1	0.002189	0.000440	TJP1 -- RhoA	0.006575	0.000769	JCAD -- RhoA	0.015114	0.001191	JCAD -- RhoC	0.035835	0.001780	JCAD -- RhoC -- RhoA	0.016704	0.001202	TJP1 -- JCAD	0.027545	0.001509	TJP1 -- JCAD -- RhoC	0.486737	0.004833	TJP1 -- RhoC -- RhoA	0.011405	0.001004	JCAD	0.007491	0.000842	TJP1 -- JCAD -- RhoA	0.076138	0.002419	TJP1 -- RhoC	0.021066	0.001378	RhoC	0.001389	0.000349	TJP1 -- JCAD -- RhoC -- RhoA	0.290306	0.004293
0.6000	1.5610	0.0032	2.1921	1.0000	<nil>	0.000368	0.000160	RhoC -- RhoA	0.000796	0.000269	RhoA	0.000484	0.000205	TJP1	0.002302	0.000453	TJP1 -- RhoA	0.007019	0.000787	JCAD -- RhoA	0.016454	0.001229	JCAD -- RhoC	0.041112	0.001906	TJP1 -- JCAD	0.026561	0.001484	JCAD -- RhoC -- RhoA	0.018030	0.001239	TJP1 -- JCAD -- RhoC	0.489364	0.004837	TJP1 -- RhoC -- RhoA	0.012533	0.001061	JCAD	0.007295	0.000826	TJP1 -- RhoC	0.025842	0.001532	RhoC	0.001923	0.000401	TJP1 -- JCAD -- RhoC -- RhoA	0.279002	0.004248	TJP1 -- JCAD -- RhoA	0.070915	0.002336
0.7000	1.5700	0.0031	2.2353	1.0000	<nil>	0.000404	0.000184	RhoC -- RhoA	0.000699	0.000230	RhoA	0.000895	0.000270	TJP1	0.002269	0.000450	TJP1 -- RhoA	0.007959	0.000854	JCAD -- RhoA	0.017773	0.001276	JCAD -- RhoC	0.045605	0.002006	TJP1 -- JCAD -- RhoA	0.067954	0.002298	TJP1 -- JCAD	0.023164	0.001371	JCAD -- RhoC -- RhoA	0.020162	0.001330	JCAD	0.008348	0.000870	TJP1 -- RhoC -- RhoA	0.014678	0.001124	TJP1 -- JCAD -- RhoC	0.491371	0.004849	TJP1 -- RhoC	0.029129	0.001634	RhoC	0.002471	0.000475	TJP1 -- JCAD -- RhoC -- RhoA	0.267118	0.004195
0.8000	1.5755	0.0031	2.2895	1.0000	<nil>	0.000566	0.000223	RhoA	0.001340	0.000337	RhoC -- RhoA	0.001415	0.000358	RhoC	0.002666	0.000489	TJP1 -- RhoA	0.009705	0.000943	JCAD -- RhoC	0.049920	0.002114	JCAD -- RhoA	0.018761	0.001318	TJP1 -- JCAD -- RhoA	0.065208	0.002235	JCAD -- RhoC -- RhoA	0.021661	0.001378	TJP1 -- JCAD	0.022431	0.001346	TJP1	0.002569	0.000467	TJP1 -- JCAD -- RhoC	0.488708	0.004850	TJP1 -- RhoC -- RhoA	0.015804	0.001190	JCAD	0.008850	0.000903	TJP1 -- RhoC	0.032454	0.001712	TJP1 -- JCAD -- RhoC -- RhoA	0.257941	0.004146
0.9000	1.5806	0.0030	2.3314	1.0000	<nil>	0.000746	0.000267	RhoA	0.001123	0.000289	RhoC -- RhoA	0.001579	0.000383	RhoC	0.003280	0.000545	JCAD -- RhoC -- RhoA	0.021882	0.001381	TJP1 -- RhoC	0.034935	0.001782	TJP1 -- JCAD	0.023473	0.001385	JCAD -- RhoC	0.053637	0.002162	TJP1 -- RhoA	0.010435	0.000976	TJP1 -- JCAD -- RhoA	0.060726	0.002163	TJP1	0.003483	0.000555	TJP1 -- RhoC -- RhoA	0.018326	0.001281	JCAD	0.008914	0.000903	TJP1 -- JCAD -- RhoC	0.486169	0.004843	JCAD -- RhoA	0.019810	0.001358	TJP1 -- JCAD -- RhoC -- RhoA	0.251481	0.004111
