,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.118821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124345,0.127124,0.10971,0.120106,0.0,0.0,0.0,0.0,0.131828,0.138842,0.129224
0.1,0.104234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124905,0.127116,0.088329,0.112736,0.0,0.0,0.0,0.0,0.14134,0.169058,0.132283
0.2,0.092877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123024,0.124421,0.07284,0.106743,0.0,0.0,0.0,0.0,0.147818,0.19499,0.137287
0.3,0.082814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120799,0.118149,0.064734,0.100061,0.0,0.0,0.0,0.0,0.151547,0.220935,0.140961
0.4,0.076905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115457,0.112708,0.057397,0.094073,0.0,0.0,0.0,0.0,0.158475,0.24284,0.142146
0.5,0.069804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110684,0.107612,0.051782,0.089891,0.0,0.0,0.0,0.0,0.16256,0.260342,0.147326
0.6,0.061904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105325,0.105445,0.046867,0.086949,0.0,0.0,0.0,0.0,0.16649,0.274356,0.152664
0.7,0.056109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099485,0.099511,0.043733,0.084467,0.0,0.0,0.0,0.0,0.171348,0.28947,0.155878
0.8,0.050611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097084,0.095611,0.040789,0.080832,0.0,0.0,0.0,0.0,0.171896,0.305034,0.158144
0.9,0.044939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093286,0.094525,0.037636,0.077071,0.0,0.0,0.0,0.0,0.175242,0.318486,0.158815
1.0,0.04273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088514,0.091687,0.035609,0.074807,0.0,0.0,0.0,0.0,0.176624,0.329272,0.160758
1.1,0.040524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086128,0.088092,0.033488,0.074737,0.0,0.0,0.0,0.0,0.174103,0.341599,0.161328
