,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.0,0.0,0.49626800000000004,0.49137699999999995
0.1,0.0,0.0,0.0,0.492171,0.477656
0.2,0.0,0.0,0.0,0.488149,0.468486
0.3,0.0,0.0,0.0,0.486741,0.464649
0.4,0.0,0.0,0.0,0.48568500000000003,0.46174899999999997
0.5,0.0,0.0,0.0,0.48461200000000004,0.457728
0.6,0.0,0.0,0.0,0.486101,0.457249
0.7,0.0,0.0,0.0,0.48893299999999995,0.45259099999999997
0.8,0.0,0.0,0.0,0.49279799999999996,0.451071
0.9,0.0,0.0,0.0,0.49177,0.449836
1.0,0.0,0.0,0.0,0.49394699999999997,0.447551
1.1,0.0,0.0,0.0,0.49889000000000006,0.44739300000000004
1.2,0.0,0.0,0.0,0.504722,0.44765
1.3,0.0,0.0,0.0,0.508649,0.448841
1.4,0.0,0.0,0.0,0.510653,0.44731
1.5,0.0,0.0,0.0,0.50969,0.449392
1.6,0.0,0.0,0.0,0.5117229999999999,0.45220299999999997
1.7,0.0,0.0,0.0,0.511894,0.45247400000000004
1.8,0.0,0.0,0.0,0.512357,0.450978
1.9,0.0,0.0,0.0,0.512781,0.45069000000000004
2.0,0.0,0.0,0.0,0.514834,0.450862
2.1,0.0,0.0,0.0,0.51814,0.450963
2.2,0.0,0.0,0.0,0.519317,0.45043099999999997
2.3,0.0,0.0,0.0,0.519362,0.451164
2.4,0.0,0.0,0.0,0.521111,0.45164400000000005
2.5,0.0,0.0,0.0,0.52023,0.45165600000000006
2.6,0.0,0.0,0.0,0.520264,0.45016999999999996
2.7,0.0,0.0,0.0,0.521755,0.450149
2.8,0.0,0.0,0.0,0.522506,0.44809299999999996
2.9,0.0,0.0,0.0,0.522692,0.44778799999999996
3.0,0.0,0.0,0.0,0.5239590000000001,0.45101900000000006
3.1,0.0,0.0,0.0,0.521172,0.45272
3.2,0.0,0.0,0.0,0.523355,0.454219
3.3,0.0,0.0,0.0,0.524417,0.455511
3.4,0.0,0.0,0.0,0.523147,0.456931
3.5,0.0,0.0,0.0,0.5234369999999999,0.456202
3.6,0.0,0.0,0.0,0.523382,0.456574
3.7,0.0,0.0,0.0,0.522143,0.455002
3.8,0.0,0.0,0.0,0.522668,0.455299
3.9,0.0,0.0,0.0,0.521879,0.453786
