,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.5197849999999999,0.0,0.0,0.507755,0.492313
0.1,0.554993,0.0,0.0,0.524819,0.48026599999999997
0.2,0.585573,0.0,0.0,0.541947,0.470554
0.3,0.612975,0.0,0.0,0.559943,0.46218
0.4,0.6376390000000001,0.0,0.0,0.572809,0.45327300000000004
0.5,0.6597500000000001,0.0,0.0,0.585535,0.44657600000000003
0.6,0.679683,0.0,0.0,0.598331,0.44097400000000003
0.7,0.698224,0.0,0.0,0.609163,0.43615600000000004
0.8,0.713994,0.0,0.0,0.6203380000000001,0.428942
0.9,0.7279180000000001,0.0,0.0,0.6303460000000001,0.425001
1.0,0.741134,0.0,0.0,0.6407379999999999,0.421579
1.1,0.752911,0.0,0.0,0.647089,0.416137
1.2,0.75952,0.0,0.0,0.6543209999999999,0.413585
1.3,0.765891,0.0,0.0,0.6581440000000001,0.411485
1.4,0.772186,0.0,0.0,0.666868,0.409258
1.5,0.7786630000000001,0.0,0.0,0.6738390000000001,0.405105
1.6,0.783968,0.0,0.0,0.679972,0.399671
1.7,0.7899799999999999,0.0,0.0,0.681837,0.397182
1.8,0.795263,0.0,0.0,0.682864,0.39788999999999997
1.9,0.7992440000000001,0.0,0.0,0.688466,0.396787
2.0,0.8042600000000001,0.0,0.0,0.695697,0.39620299999999997
2.1,0.808775,0.0,0.0,0.7030799999999999,0.392968
2.2,0.811876,0.0,0.0,0.7035849999999999,0.39069199999999993
2.3,0.814695,0.0,0.0,0.705928,0.386837
2.4,0.815552,0.0,0.0,0.7098720000000001,0.384475
2.5,0.8173509999999999,0.0,0.0,0.7128000000000001,0.38466500000000003
2.6,0.817888,0.0,0.0,0.714286,0.38053499999999996
2.7,0.821352,0.0,0.0,0.722282,0.378071
2.8,0.823107,0.0,0.0,0.726454,0.377309
2.9,0.823035,0.0,0.0,0.727136,0.375762
3.0,0.822651,0.0,0.0,0.725275,0.37573900000000005
3.1,0.825716,0.0,0.0,0.7255670000000001,0.37602100000000005
3.2,0.826654,0.0,0.0,0.727903,0.375181
3.3,0.826481,0.0,0.0,0.730596,0.375428
3.4,0.825961,0.0,0.0,0.731304,0.376417
3.5,0.827604,0.0,0.0,0.727965,0.376741
3.6,0.827645,0.0,0.0,0.724288,0.37376
3.7,0.8288679999999999,0.0,0.0,0.722302,0.370788
3.8,0.8300590000000001,0.0,0.0,0.722253,0.370771
3.9,0.829202,0.0,0.0,0.719867,0.371046
