,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.027421,0.028623,0.02591,0.038537,0.02652,0.036496,0.033685,0.030957,0.02948,0.030191,0.020395,0.034368,0.032949,0.047942,0.034389,0.033071,0.035145,0.028959,0.030381,0.031074,0.027848,0.028557,0.030265,0.02652,0.028495,0.025,0.028258,0.0395,0.036075,0.03097,0.031506,0.030511
0.1,0.02115,0.023708,0.015948,0.050742,0.020488,0.04277,0.036313,0.028808,0.028058,0.026203,0.009965,0.038363,0.03537,0.077523,0.04062,0.038199,0.04044,0.024118,0.029545,0.030131,0.021482,0.02655,0.027232,0.019011,0.022999,0.015992,0.022061,0.052056,0.043119,0.029835,0.034123,0.027077
0.2,0.016839,0.02061,0.011102,0.057945,0.018778,0.043564,0.036651,0.027087,0.027291,0.022431,0.006292,0.037686,0.038525,0.103189,0.046876,0.041533,0.045873,0.019273,0.028058,0.028144,0.01747,0.024133,0.023155,0.014837,0.01848,0.011447,0.019191,0.059483,0.044429,0.027769,0.036993,0.024866
0.3,0.013211,0.017971,0.008834,0.062318,0.017162,0.042726,0.036945,0.025352,0.025267,0.019501,0.004747,0.03954,0.039801,0.126048,0.051764,0.045025,0.048245,0.016467,0.027715,0.025267,0.014356,0.020758,0.019729,0.012576,0.015434,0.008324,0.017749,0.062615,0.046671,0.026539,0.037468,0.023874
0.4,0.010573,0.015741,0.007168,0.06391,0.015363,0.04418,0.037446,0.023953,0.022596,0.017077,0.003434,0.043721,0.041575,0.147039,0.055537,0.047638,0.050964,0.013876,0.026097,0.022352,0.012822,0.017443,0.016296,0.010257,0.013014,0.006975,0.016862,0.065433,0.04721,0.024769,0.036095,0.022582
0.5,0.008268,0.013983,0.005952,0.065967,0.014957,0.045072,0.03655,0.021416,0.019848,0.015395,0.003013,0.047455,0.045924,0.160831,0.056142,0.050926,0.055515,0.011525,0.024255,0.020814,0.01102,0.015597,0.014445,0.008142,0.011094,0.006918,0.016254,0.067175,0.047183,0.022591,0.034699,0.021075
0.6,0.006715,0.011557,0.004813,0.06834,0.014541,0.044517,0.035595,0.020006,0.018305,0.014223,0.003401,0.050466,0.048732,0.175369,0.057238,0.052878,0.057567,0.009445,0.022208,0.019537,0.0112,0.013514,0.013049,0.006714,0.010272,0.006334,0.014875,0.064663,0.050075,0.020957,0.033931,0.018963
0.7,0.005643,0.009182,0.00451,0.070918,0.01394,0.042302,0.035322,0.018675,0.015899,0.013413,0.003233,0.054715,0.053444,0.188538,0.056127,0.05478,0.059849,0.008651,0.019267,0.018291,0.009951,0.012437,0.012216,0.005399,0.009515,0.005335,0.014983,0.064761,0.049112,0.019847,0.03071,0.019035
0.8,0.005171,0.007816,0.005271,0.070598,0.013242,0.040004,0.033832,0.017238,0.015144,0.012946,0.002889,0.059106,0.057681,0.203238,0.056559,0.054988,0.061509,0.006883,0.017719,0.017291,0.009744,0.010514,0.0098,0.004417,0.008022,0.00459,0.015186,0.063224,0.047717,0.018566,0.030011,0.019085
0.9,0.004688,0.006384,0.004522,0.069196,0.012621,0.039708,0.031799,0.01599,0.015452,0.012078,0.002777,0.062103,0.056307,0.221776,0.058146,0.055253,0.062343,0.005869,0.016792,0.016801,0.008176,0.009157,0.008435,0.003673,0.006608,0.003927,0.014968,0.063074,0.047412,0.017174,0.028222,0.018569
