Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	1.1836	0.0040	2.1535	1.0000	DSP -- RhoC	0.000056	0.000056	JCAD -- RhoA	0.000008	0.000008	TJP1 -- RhoA	0.000035	0.000035	DSP -- TJP1 -- RhoC	0.001332	0.000274	JCAD	0.000015	0.000015	DSP -- TJP1 -- RhoC -- RhoA	0.001579	0.000306	DSP -- JCAD -- RhoC	0.002303	0.000377	DSP -- TJP1 -- RhoA	0.001358	0.000305	TJP1 -- JCAD	0.001509	0.000313	DSP -- JCAD -- RhoC -- RhoA	0.003135	0.000437	DSP -- RhoC -- RhoA	0.000048	0.000047	TJP1	0.000014	0.000014	DSP -- TJP1 -- JCAD	0.152513	0.003164	TJP1 -- JCAD -- RhoC -- RhoA	0.002879	0.000388	TJP1 -- JCAD -- RhoA	0.002260	0.000369	TJP1 -- RhoC -- RhoA	0.000016	0.000016	DSP -- TJP1	0.000790	0.000218	TJP1 -- JCAD -- RhoC	0.003017	0.000442	JCAD -- RhoC -- RhoA	0.000101	0.000074	DSP -- JCAD	0.001538	0.000320	DSP -- JCAD -- RhoA	0.002592	0.000389	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.337233	0.004139	DSP -- TJP1 -- JCAD -- RhoC	0.242403	0.003808	DSP -- TJP1 -- JCAD -- RhoA	0.243265	0.003822
0.1000	1.3096	0.0044	2.1833	1.0000	RhoC -- RhoA	0.000017	0.000017	DSP -- RhoC	0.000185	0.000131	DSP	0.000083	0.000083	JCAD	0.000203	0.000128	DSP -- RhoA	0.000063	0.000045	DSP -- RhoC -- RhoA	0.000174	0.000113	TJP1 -- RhoA	0.000063	0.000063	JCAD -- RhoC	0.000135	0.000097	TJP1 -- RhoC	0.000070	0.000046	JCAD -- RhoA	0.000247	0.000126	DSP -- TJP1 -- RhoA	0.003090	0.000520	TJP1 -- RhoC -- RhoA	0.000093	0.000067	DSP -- TJP1	0.001285	0.000331	DSP -- JCAD -- RhoC	0.005232	0.000642	DSP -- TJP1 -- RhoC -- RhoA	0.005610	0.000653	TJP1 -- JCAD -- RhoA	0.005241	0.000640	TJP1	0.000110	0.000100	DSP -- TJP1 -- RhoC	0.003795	0.000564	DSP -- TJP1 -- JCAD	0.053459	0.001987	TJP1 -- JCAD -- RhoC -- RhoA	0.011031	0.000920	JCAD -- RhoC -- RhoA	0.000575	0.000224	DSP -- JCAD	0.002104	0.000411	DSP -- JCAD -- RhoA	0.007755	0.000798	TJP1 -- JCAD	0.002551	0.000468	DSP -- JCAD -- RhoC -- RhoA	0.010787	0.000923	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.469291	0.004458	TJP1 -- JCAD -- RhoC	0.008288	0.000820	DSP -- TJP1 -- JCAD -- RhoC	0.202874	0.003634	DSP -- TJP1 -- JCAD -- RhoA	0.205589	0.003644
0.2000	1.3972	0.0044	2.1887	1.0000	RhoC -- RhoA	0.000100	0.000100	<nil>	0.000009	0.000009	JCAD	0.000366	0.000178	DSP -- RhoA	0.000202	0.000131	DSP -- RhoC	0.000497	0.000207	DSP -- RhoC -- RhoA	0.000114	0.000101	JCAD -- RhoC	0.000346	0.000142	RhoA	0.000008	0.000008	TJP1 -- RhoA	0.000242	0.000123	TJP1 -- RhoC	0.000302	0.000155	JCAD -- RhoA	0.000563	0.000216	DSP -- TJP1 -- RhoA	0.005245	0.000665	TJP1 -- RhoC -- RhoA	0.000235	0.000091	DSP -- TJP1	0.001793	0.000392	TJP1	0.000100	0.000100	DSP -- TJP1 -- RhoC	0.005652	0.000708	DSP -- TJP1 -- RhoC -- RhoA	0.009927	0.000915	TJP1 -- JCAD -- RhoA	0.006398	0.000688	DSP -- TJP1 -- JCAD	0.020580	0.001225	TJP1 -- JCAD -- RhoC -- RhoA	0.020522	0.001305	JCAD -- RhoC -- RhoA	0.000835	0.000265	DSP -- JCAD	0.002102	0.000433	DSP -- JCAD -- RhoC	0.006567	0.000706	DSP -- JCAD -- RhoA	0.013110	0.001075	TJP1 -- JCAD	0.001815	0.000385	DSP -- JCAD -- RhoC -- RhoA	0.017980	0.001197	DSP -- TJP1 -- JCAD -- RhoC	0.170623	0.003391	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.530262	0.004479	TJP1 -- JCAD -- RhoC	0.012131	0.001030	DSP -- TJP1 -- JCAD -- RhoA	0.171374	0.003408
0.3000	1.4463	0.0043	2.2524	1.0000	<nil>	0.000100	0.000100	JCAD	0.000310	0.000173	RhoC	0.000086	0.000086	DSP -- RhoA	0.000353	0.000164	JCAD -- RhoC	0.000383	0.000179	TJP1 -- RhoA	0.000268	0.000141	RhoA	0.000100	0.000100	JCAD -- RhoA	0.001091	0.000303	TJP1 -- RhoC	0.000308	0.000147	DSP -- RhoC	0.000816	0.000266	DSP	0.000153	0.000109	RhoC -- RhoA	0.000135	0.000103	DSP -- TJP1 -- RhoC -- RhoA	0.013093	0.001058	TJP1 -- RhoC -- RhoA	0.000797	0.000265	DSP -- TJP1	0.001363	0.000347	DSP -- TJP1 -- RhoA	0.007384	0.000817	DSP -- RhoC -- RhoA	0.000576	0.000199	TJP1	0.000100	0.000100	DSP -- TJP1 -- RhoC	0.007151	0.000790	DSP -- TJP1 -- JCAD	0.009566	0.000844	TJP1 -- JCAD -- RhoC -- RhoA	0.028420	0.001546	JCAD -- RhoC -- RhoA	0.001197	0.000307	DSP -- JCAD	0.001610	0.000367	DSP -- JCAD -- RhoC	0.008689	0.000824	DSP -- JCAD -- RhoA	0.016975	0.001224	TJP1 -- JCAD -- RhoA	0.007689	0.000772	DSP -- TJP1 -- JCAD -- RhoC	0.150797	0.003231	TJP1 -- JCAD	0.001542	0.000350	DSP -- JCAD -- RhoC -- RhoA	0.024846	0.001422	TJP1 -- JCAD -- RhoC	0.016135	0.001192	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.546611	0.004491	DSP -- TJP1 -- JCAD -- RhoA	0.151355	0.003242
0.4000	1.4833	0.0042	2.3318	1.0000	<nil>	0.000067	0.000067	JCAD	0.000339	0.000177	TJP1 -- RhoA	0.000643	0.000245	RhoA	0.000009	0.000009	JCAD -- RhoA	0.001188	0.000318	TJP1 -- RhoC	0.000511	0.000206	RhoC	0.000218	0.000121	DSP -- RhoC	0.000636	0.000228	DSP -- RhoA	0.000741	0.000251	JCAD -- RhoC	0.001069	0.000285	JCAD -- RhoC -- RhoA	0.001752	0.000377	DSP -- JCAD	0.001552	0.000370	RhoC -- RhoA	0.000345	0.000177	DSP	0.000165	0.000119	DSP -- TJP1 -- RhoC -- RhoA	0.015786	0.001157	TJP1 -- RhoC -- RhoA	0.001122	0.000315	DSP -- TJP1	0.001342	0.000340	DSP -- TJP1 -- RhoA	0.008645	0.000881	DSP -- RhoC -- RhoA	0.001318	0.000337	TJP1	0.000100	0.000100	DSP -- TJP1 -- RhoC	0.009601	0.000924	DSP -- JCAD -- RhoC -- RhoA	0.030342	0.001594	TJP1 -- JCAD	0.001393	0.000337	DSP -- JCAD -- RhoC	0.008366	0.000820	DSP -- JCAD -- RhoA	0.021539	0.001393	DSP -- TJP1 -- JCAD	0.006435	0.000677	TJP1 -- JCAD -- RhoC -- RhoA	0.033577	0.001675	TJP1 -- JCAD -- RhoA	0.008250	0.000789	DSP -- TJP1 -- JCAD -- RhoC	0.136982	0.003105	DSP -- TJP1 -- JCAD -- RhoA	0.134905	0.003079	TJP1 -- JCAD -- RhoC	0.020405	0.001345	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.550658	0.004508
0.5000	1.5031	0.0042	2.4235	1.0000	RhoA	0.000106	0.000076	JCAD	0.000298	0.000157	TJP1 -- RhoA	0.000534	0.000187	JCAD -- RhoC -- RhoA	0.001981	0.000410	JCAD -- RhoA	0.001924	0.000408	RhoC	0.000241	0.000147	DSP -- RhoA	0.001257	0.000334	DSP -- RhoC -- RhoA	0.002251	0.000434	JCAD -- RhoC	0.001529	0.000358	DSP -- JCAD	0.001597	0.000364	DSP -- RhoC	0.000885	0.000274	RhoC -- RhoA	0.000292	0.000156	DSP	0.000015	0.000015	TJP1 -- RhoC	0.000862	0.000267	TJP1 -- RhoC -- RhoA	0.001739	0.000382	DSP -- TJP1	0.001181	0.000329	TJP1	0.000195	0.000138	DSP -- TJP1 -- RhoA	0.010606	0.000986	DSP -- TJP1 -- RhoC -- RhoA	0.017413	0.001222	TJP1 -- JCAD -- RhoC -- RhoA	0.038063	0.001797	DSP -- TJP1 -- JCAD	0.005910	0.000661	DSP -- JCAD -- RhoC -- RhoA	0.032949	0.001652	TJP1 -- JCAD	0.001217	0.000303	DSP -- JCAD -- RhoC	0.009158	0.000844	DSP -- JCAD -- RhoA	0.024372	0.001478	DSP -- TJP1 -- JCAD -- RhoA	0.126916	0.002996	TJP1 -- JCAD -- RhoC	0.024873	0.001482	DSP -- TJP1 -- JCAD -- RhoC	0.128637	0.003017	TJP1 -- JCAD -- RhoA	0.008721	0.000836	DSP -- TJP1 -- RhoC	0.011131	0.001006	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.543149	0.004538
0.6000	1.5203	0.0041	2.5024	1.0000	RhoC	0.000200	0.000141	TJP1 -- RhoA	0.001085	0.000309	TJP1 -- JCAD	0.001000	0.000293	TJP1 -- RhoC -- RhoA	0.001848	0.000411	JCAD	0.000517	0.000216	DSP -- RhoC -- RhoA	0.002641	0.000490	RhoA	0.000244	0.000139	RhoC -- RhoA	0.000133	0.000103	DSP -- RhoA	0.001726	0.000391	JCAD -- RhoA	0.002199	0.000440	DSP -- RhoC	0.001226	0.000315	TJP1 -- RhoC	0.001107	0.000314	DSP -- TJP1	0.001231	0.000337	TJP1	0.000297	0.000163	DSP -- TJP1 -- RhoA	0.011795	0.001033	DSP -- TJP1 -- RhoC -- RhoA	0.019871	0.001315	JCAD -- RhoC	0.001810	0.000391	DSP -- JCAD -- RhoC -- RhoA	0.037611	0.001791	DSP -- JCAD -- RhoC	0.009027	0.000852	JCAD -- RhoC -- RhoA	0.002665	0.000473	DSP -- JCAD	0.001537	0.000349	DSP -- JCAD -- RhoA	0.026618	0.001549	DSP -- TJP1 -- JCAD	0.005165	0.000614	TJP1 -- JCAD -- RhoC -- RhoA	0.039327	0.001816	DSP -- TJP1 -- JCAD -- RhoA	0.122415	0.002956	TJP1 -- JCAD -- RhoC	0.029604	0.001637	TJP1 -- JCAD -- RhoA	0.010356	0.000912	DSP -- TJP1 -- RhoC	0.011815	0.001032	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.535769	0.004564	DSP -- TJP1 -- JCAD -- RhoC	0.119160	0.002916
0.7000	1.5303	0.0041	2.5896	1.0000	RhoC -- RhoA	0.000200	0.000141	RhoC	0.000143	0.000109	TJP1 -- RhoC -- RhoA	0.002067	0.000416	TJP1 -- RhoA	0.001300	0.000331	<nil>	0.000063	0.000062	JCAD	0.000886	0.000288	TJP1 -- JCAD	0.001106	0.000290	DSP	0.000009	0.000009	DSP -- RhoC -- RhoA	0.002690	0.000474	RhoA	0.000504	0.000218	JCAD -- RhoA	0.002504	0.000479	DSP -- RhoC	0.000979	0.000286	DSP -- RhoA	0.002395	0.000460	TJP1 -- RhoC	0.001800	0.000393	DSP -- TJP1	0.001136	0.000321	TJP1	0.000287	0.000154	TJP1 -- JCAD -- RhoA	0.010541	0.000908	DSP -- TJP1 -- RhoA	0.013283	0.001090	DSP -- TJP1 -- RhoC -- RhoA	0.022644	0.001399	DSP -- JCAD -- RhoC	0.008971	0.000842	DSP -- JCAD -- RhoC -- RhoA	0.042587	0.001899	DSP -- JCAD -- RhoA	0.029524	0.001628	JCAD -- RhoC -- RhoA	0.003414	0.000549	DSP -- JCAD	0.001573	0.000346	DSP -- TJP1 -- JCAD	0.004996	0.000601	TJP1 -- JCAD -- RhoC -- RhoA	0.041794	0.001863	JCAD -- RhoC	0.002207	0.000447	DSP -- TJP1 -- JCAD -- RhoA	0.120223	0.002924	DSP -- TJP1 -- RhoC	0.011905	0.001039	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.521645	0.004565	TJP1 -- JCAD -- RhoC	0.031453	0.001669	DSP -- TJP1 -- JCAD -- RhoC	0.115172	0.002860
0.8000	1.5390	0.0041	2.6590	1.0000	RhoC	0.000009	0.000007	RhoC -- RhoA	0.000407	0.000191	DSP	0.000002	0.000002	<nil>	0.000200	0.000141	JCAD	0.000734	0.000251	TJP1 -- JCAD	0.001481	0.000335	DSP -- JCAD	0.001899	0.000395	TJP1 -- RhoA	0.001590	0.000376	RhoA	0.000495	0.000219	JCAD -- RhoA	0.002882	0.000514	DSP -- RhoC	0.001387	0.000347	JCAD -- RhoC -- RhoA	0.003807	0.000572	TJP1 -- RhoC	0.002188	0.000440	TJP1 -- RhoC -- RhoA	0.002302	0.000438	DSP -- TJP1	0.001305	0.000334	DSP -- RhoC -- RhoA	0.002761	0.000483	TJP1	0.000304	0.000160	JCAD -- RhoC	0.003120	0.000526	DSP -- TJP1 -- RhoC -- RhoA	0.024902	0.001468	DSP -- TJP1 -- RhoA	0.013146	0.001098	TJP1 -- JCAD -- RhoA	0.009655	0.000862	DSP -- JCAD -- RhoC	0.009973	0.000878	DSP -- RhoA	0.003056	0.000533	DSP -- JCAD -- RhoA	0.031204	0.001667	DSP -- TJP1 -- JCAD	0.004374	0.000558	TJP1 -- JCAD -- RhoC -- RhoA	0.043863	0.001917	DSP -- TJP1 -- RhoC	0.013287	0.001093	DSP -- TJP1 -- JCAD -- RhoA	0.118473	0.002929	DSP -- JCAD -- RhoC -- RhoA	0.045741	0.001957	TJP1 -- JCAD -- RhoC	0.033020	0.001715	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.511430	0.004595	DSP -- TJP1 -- JCAD -- RhoC	0.111002	0.002831
0.9000	1.5445	0.0041	2.7312	1.0000	RhoC	0.000289	0.000152	RhoC -- RhoA	0.000235	0.000143	RhoA	0.000568	0.000232	DSP	0.000121	0.000087	<nil>	0.000251	0.000150	JCAD	0.000570	0.000227	TJP1 -- RhoC	0.002564	0.000490	DSP -- RhoC	0.001416	0.000365	TJP1 -- RhoA	0.001841	0.000412	JCAD -- RhoC	0.003595	0.000578	JCAD -- RhoA	0.003151	0.000530	DSP -- JCAD	0.001969	0.000415	JCAD -- RhoC -- RhoA	0.003744	0.000581	TJP1 -- RhoC -- RhoA	0.002799	0.000496	DSP -- TJP1	0.001651	0.000380	TJP1	0.000236	0.000129	DSP -- RhoC -- RhoA	0.003861	0.000595	DSP -- JCAD -- RhoA	0.034638	0.001750	DSP -- TJP1 -- RhoA	0.014411	0.001129	DSP -- TJP1 -- RhoC -- RhoA	0.025196	0.001473	DSP -- RhoA	0.003011	0.000528	TJP1 -- JCAD -- RhoA	0.010947	0.000924	DSP -- TJP1 -- RhoC	0.015107	0.001170	DSP -- JCAD -- RhoC	0.010017	0.000862	TJP1 -- JCAD -- RhoC -- RhoA	0.043762	0.001924	DSP -- TJP1 -- JCAD	0.004386	0.000562	TJP1 -- JCAD	0.001745	0.000397	DSP -- JCAD -- RhoC -- RhoA	0.047748	0.002001	DSP -- TJP1 -- JCAD -- RhoC	0.110205	0.002807	TJP1 -- JCAD -- RhoC	0.034918	0.001779	DSP -- TJP1 -- JCAD -- RhoA	0.114780	0.002856	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.500268	0.004595
