t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.5,0.4999999999999999,0.48251,0.538523
0.1,0.0,0.499999,0.499999,0.453745,0.584811
0.2,0.0,0.500001,0.49999899999999997,0.43406199999999995,0.611532
0.3,0.0,0.49999899999999997,0.49999899999999997,0.423663,0.629086
0.4,0.0,0.49999899999999997,0.5,0.41452199999999995,0.6397680000000001
0.5,0.0,0.5,0.5,0.411808,0.6482209999999999
0.6,0.0,0.5000009999999999,0.5,0.406928,0.654173
0.7,0.0,0.5,0.500001,0.40764,0.658178
0.8,0.0,0.49999999999999994,0.5,0.40462299999999995,0.6620440000000001
0.9,0.0,0.5,0.500002,0.406939,0.664744
1.0,0.0,0.5,0.5,0.40343399999999996,0.6674980000000001
1.1,0.0,0.499999,0.499999,0.400813,0.6674179999999998
1.2,0.0,0.500001,0.49999899999999997,0.40301,0.667559
1.3,0.0,0.499998,0.49999799999999994,0.40202,0.6734849999999999
1.4,0.0,0.500001,0.49999899999999997,0.402165,0.6774140000000001
1.5,0.0,0.5,0.5,0.40199999999999997,0.677663
1.6,0.0,0.500001,0.5,0.402963,0.6751909999999999
1.7,0.0,0.5,0.5,0.39768200000000004,0.679375
1.8,0.0,0.5,0.5,0.394154,0.682822
1.9,0.0,0.5,0.49999899999999997,0.39354900000000004,0.6849759999999999
2.0,0.0,0.5,0.49999999999999994,0.393324,0.68652
2.1,0.0,0.500001,0.5,0.392328,0.689853
2.2,0.0,0.5,0.5,0.39336099999999996,0.690752
2.3,0.0,0.5,0.5,0.39577,0.6840930000000001
2.4,0.0,0.5,0.500001,0.39410799999999996,0.6850799999999999
2.5,0.0,0.500001,0.5,0.393763,0.685728
2.6,0.0,0.5,0.49999999999999994,0.39330099999999996,0.686795
2.7,0.0,0.4999990000000001,0.49999899999999997,0.39533599999999997,0.689323
2.8,0.0,0.5,0.500001,0.397415,0.686527
2.9,0.0,0.49999899999999997,0.49999999999999994,0.39663899999999996,0.684853
3.0,0.0,0.5,0.5,0.399061,0.681732
3.1,0.0,0.49999800000000005,0.49999899999999997,0.399216,0.6819930000000001
3.2,0.0,0.49999899999999997,0.49999899999999997,0.400018,0.6815030000000001
3.3,0.0,0.5,0.500001,0.397596,0.682698
3.4,0.0,0.5,0.49999899999999997,0.39617899999999995,0.681521
3.5,0.0,0.49999899999999997,0.49999899999999997,0.39659500000000003,0.6801979999999999
3.6,0.0,0.5,0.500001,0.395204,0.6833260000000001
3.7,0.0,0.5,0.499999,0.39579499999999995,0.683547
3.8,0.0,0.5,0.499999,0.39398700000000003,0.683262
3.9,0.0,0.5,0.49999999999999994,0.39213,0.684908
