t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.0,0.0,0.5,0.485282,0.484114
0.1,0.0,0.0,0.5,0.467817,0.468855
0.2,0.0,0.0,0.5000009999999999,0.460982,0.466708
0.3,0.0,0.0,0.5,0.46171799999999996,0.468103
0.4,0.0,0.0,0.5,0.465051,0.47199500000000005
0.5,0.0,0.0,0.5,0.472652,0.474801
0.6,0.0,0.0,0.5,0.477941,0.47498
0.7,0.0,0.0,0.49999999999999994,0.483995,0.48081199999999996
0.8,0.0,0.0,0.5,0.487015,0.482606
0.9,0.0,0.0,0.5,0.48936900000000005,0.4869
1.0,0.0,0.0,0.49999899999999997,0.492799,0.490174
1.1,0.0,0.0,0.5,0.49400799999999995,0.48898699999999995
1.2,0.0,0.0,0.499999,0.496784,0.49031399999999997
1.3,0.0,0.0,0.5,0.498105,0.49470500000000006
1.4,0.0,0.0,0.500001,0.5007600000000001,0.49837600000000004
1.5,0.0,0.0,0.5,0.5022,0.497833
1.6,0.0,0.0,0.500001,0.503982,0.49656300000000003
1.7,0.0,0.0,0.5,0.501662,0.501248
1.8,0.0,0.0,0.5,0.500567,0.502109
1.9,0.0,0.0,0.5,0.502679,0.50148
2.0,0.0,0.0,0.5,0.5047429999999999,0.504235
2.1,0.0,0.0,0.499999,0.508227,0.505411
2.2,0.0,0.0,0.49999899999999997,0.506947,0.505686
2.3,0.0,0.0,0.5000009999999999,0.50747,0.501865
2.4,0.0,0.0,0.5,0.50707,0.502837
2.5,0.0,0.0,0.49999899999999997,0.507204,0.502986
2.6,0.0,0.0,0.5,0.502727,0.505068
2.7,0.0,0.0,0.500001,0.505119,0.507682
2.8,0.0,0.0,0.49999899999999997,0.50503,0.5011140000000001
2.9,0.0,0.0,0.49999899999999997,0.501757,0.499088
3.0,0.0,0.0,0.499999,0.500859,0.49985300000000005
3.1,0.0,0.0,0.5,0.498471,0.50134
3.2,0.0,0.0,0.5,0.49894900000000003,0.503529
3.3,0.0,0.0,0.500001,0.499082,0.504289
3.4,0.0,0.0,0.5,0.49917300000000003,0.500232
3.5,0.0,0.0,0.5,0.49919399999999997,0.502957
3.6,0.0,0.0,0.5,0.497613,0.508129
3.7,0.0,0.0,0.5,0.49739,0.509494
3.8,0.0,0.0,0.49999899999999997,0.496701,0.507687
3.9,0.0,0.0,0.5,0.49475,0.511095
