t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.059721,0.053716,0.0,0.0,0.0,0.0,0.074386,0.064626,0.057272,0.047402,0.0,0.0,0.0,0.0,0.069889,0.066594,0.066014,0.0,0.0,0.0,0.0,0.067717,0.070787,0.051774,0.053014,0.0,0.0,0.0,0.0,0.063512,0.075407,0.058167
0.1,0.052558,0.038877,0.0,0.0,0.0,0.0,0.095695,0.063248,0.052181,0.028623,0.0,0.0,0.0,0.0,0.078995,0.072785,0.069497,0.0,0.0,0.0,0.0,0.07802,0.081781,0.037641,0.038349,0.0,0.0,0.0,0.0,0.062215,0.097116,0.05242
0.2,0.048629,0.030521,0.0,0.0,0.0,0.0,0.11047,0.059058,0.049951,0.017503,0.0,0.0,0.0,0.0,0.084503,0.077087,0.070808,0.0,0.0,0.0,0.0,0.081848,0.086854,0.032669,0.028979,0.0,0.0,0.0,0.0,0.058764,0.112031,0.050326
0.3,0.043957,0.023795,0.0,0.0,0.0,0.0,0.12298,0.056599,0.046626,0.01151,0.0,0.0,0.0,0.0,0.084583,0.079593,0.074214,0.0,0.0,0.0,0.0,0.086286,0.091375,0.028382,0.022505,0.0,0.0,0.0,0.0,0.057555,0.121998,0.048043
0.4,0.040895,0.019371,0.0,0.0,0.0,0.0,0.129349,0.054641,0.046639,0.009608,0.0,0.0,0.0,0.0,0.082781,0.078844,0.078667,0.0,0.0,0.0,0.0,0.089009,0.094317,0.025779,0.017397,0.0,0.0,0.0,0.0,0.055598,0.130418,0.046687
0.5,0.03995,0.017584,0.0,0.0,0.0,0.0,0.13337,0.052673,0.046373,0.008003,0.0,0.0,0.0,0.0,0.082472,0.079496,0.07993,0.0,0.0,0.0,0.0,0.090503,0.094368,0.025179,0.014526,0.0,0.0,0.0,0.0,0.052153,0.136746,0.046675
0.6,0.038258,0.015752,0.0,0.0,0.0,0.0,0.138407,0.051089,0.044753,0.006973,0.0,0.0,0.0,0.0,0.083275,0.079398,0.080255,0.0,0.0,0.0,0.0,0.092136,0.095012,0.024594,0.013171,0.0,0.0,0.0,0.0,0.051657,0.140019,0.045253
0.7,0.035378,0.014111,0.0,0.0,0.0,0.0,0.144194,0.049533,0.042162,0.006115,0.0,0.0,0.0,0.0,0.083272,0.079649,0.080865,0.0,0.0,0.0,0.0,0.094703,0.095537,0.024381,0.011901,0.0,0.0,0.0,0.0,0.05074,0.142662,0.044797
0.8,0.034102,0.013542,0.0,0.0,0.0,0.0,0.147926,0.047045,0.041487,0.006372,0.0,0.0,0.0,0.0,0.083803,0.080036,0.079689,0.0,0.0,0.0,0.0,0.09454,0.096297,0.02506,0.010781,0.0,0.0,0.0,0.0,0.05099,0.144763,0.043566
0.9,0.032838,0.012816,0.0,0.0,0.0,0.0,0.1496,0.046511,0.041073,0.006533,0.0,0.0,0.0,0.0,0.084707,0.078352,0.080309,0.0,0.0,0.0,0.0,0.095075,0.094835,0.027252,0.010113,0.0,0.0,0.0,0.0,0.050388,0.145149,0.04445
