t,DSP,TJP1,JCAD,RhoA,RhoC
0.0,0.49990100000000004,0.0,0.0,0.508179,0.481669
0.1,0.4999,0.0,0.0,0.5324650000000001,0.460958
0.2,0.4999,0.0,0.0,0.554002,0.44763600000000003
0.3,0.4999,0.0,0.0,0.571084,0.43954100000000007
0.4,0.49989999999999996,0.0,0.0,0.5852970000000001,0.43423500000000004
0.5,0.49989900000000004,0.0,0.0,0.597507,0.428502
0.6,0.4999,0.0,0.0,0.604032,0.424646
0.7,0.49990100000000004,0.0,0.0,0.6137080000000001,0.423187
0.8,0.499899,0.0,0.0,0.619746,0.419226
0.9,0.4999,0.0,0.0,0.6249040000000001,0.418865
1.0,0.499899,0.0,0.0,0.62644,0.418146
1.1,0.499901,0.0,0.0,0.630673,0.41515199999999997
1.2,0.499899,0.0,0.0,0.6324110000000001,0.410378
1.3,0.4999,0.0,0.0,0.637133,0.412119
1.4,0.499899,0.0,0.0,0.63913,0.41315199999999996
1.5,0.49989999999999996,0.0,0.0,0.6379049999999999,0.41504599999999997
1.6,0.4999,0.0,0.0,0.635411,0.41846099999999997
1.7,0.4999,0.0,0.0,0.633839,0.426794
1.8,0.499901,0.0,0.0,0.634968,0.42890800000000007
1.9,0.49989900000000004,0.0,0.0,0.632001,0.42819
2.0,0.499901,0.0,0.0,0.633755,0.427736
2.1,0.4999,0.0,0.0,0.6356850000000001,0.428223
2.2,0.49990100000000004,0.0,0.0,0.636239,0.428972
2.3,0.499899,0.0,0.0,0.636439,0.42208100000000004
2.4,0.49989900000000004,0.0,0.0,0.638265,0.422674
2.5,0.4999,0.0,0.0,0.639529,0.42336399999999996
2.6,0.4999,0.0,0.0,0.638572,0.422257
2.7,0.4999,0.0,0.0,0.637883,0.42569099999999993
2.8,0.49989999999999996,0.0,0.0,0.6407360000000001,0.4240229999999999
2.9,0.49989999999999996,0.0,0.0,0.6405329999999999,0.424983
3.0,0.49990000000000007,0.0,0.0,0.6388510000000001,0.42508599999999996
3.1,0.4999,0.0,0.0,0.643999,0.418307
3.2,0.49989999999999996,0.0,0.0,0.647856,0.41778
3.3,0.4999,0.0,0.0,0.646883,0.42024000000000006
3.4,0.499899,0.0,0.0,0.6446080000000001,0.417335
3.5,0.4999,0.0,0.0,0.644778,0.414598
3.6,0.4999,0.0,0.0,0.646074,0.415272
3.7,0.499899,0.0,0.0,0.6496069999999999,0.41275799999999996
3.8,0.4999,0.0,0.0,0.6508459999999999,0.411036
3.9,0.499899,0.0,0.0,0.65686,0.41119700000000003
