Time	TH	ErrorTH	H	HD=0	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba	State	Proba	ErrorProba
0.0000	0.6947	0.0025	4.9590	1.0000	DSP -- TJP1 -- JCAD -- RhoA	0.031829	0.001523	JCAD -- RhoC -- RhoA	0.025817	0.001482	TJP1 -- JCAD -- RhoA	0.024641	0.001391	RhoC -- RhoA	0.025461	0.001479	RhoA	0.032956	0.001728	DSP -- RhoA	0.038796	0.001845	TJP1 -- RhoA	0.031699	0.001665	JCAD -- RhoC	0.034985	0.001777	DSP -- TJP1	0.025369	0.001495	DSP -- JCAD -- RhoC	0.024019	0.001370	<nil>	0.030161	0.001673	DSP -- RhoC	0.032282	0.001687	DSP	0.026575	0.001543	DSP -- TJP1 -- JCAD -- RhoC	0.029566	0.001470	TJP1 -- JCAD -- RhoC	0.046024	0.001960	DSP -- JCAD	0.020294	0.001267	DSP -- RhoC -- RhoA	0.028147	0.001532	TJP1	0.026427	0.001552	DSP -- TJP1 -- RhoC	0.033156	0.001672	JCAD	0.029936	0.001672	DSP -- TJP1 -- RhoC -- RhoA	0.032807	0.001617	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.049452	0.001887	RhoC	0.035622	0.001793	DSP -- TJP1 -- JCAD	0.013053	0.000931	TJP1 -- JCAD -- RhoC -- RhoA	0.035291	0.001666	DSP -- TJP1 -- RhoA	0.034668	0.001719	TJP1 -- JCAD	0.020144	0.001268	DSP -- JCAD -- RhoC -- RhoA	0.035921	0.001691	JCAD -- RhoA	0.035062	0.001779	DSP -- JCAD -- RhoA	0.043966	0.001911	TJP1 -- RhoC	0.036570	0.001797	TJP1 -- RhoC -- RhoA	0.029304	0.001560
0.1000	0.7101	0.0024	4.8067	1.0000	DSP -- JCAD	0.007704	0.000787	JCAD -- RhoC -- RhoA	0.018117	0.001230	TJP1 -- RhoC -- RhoA	0.025957	0.001462	RhoC -- RhoA	0.018807	0.001264	RhoA	0.037805	0.001863	TJP1 -- JCAD -- RhoA	0.016145	0.001110	TJP1 -- JCAD	0.007662	0.000781	DSP -- TJP1	0.015449	0.001155	TJP1 -- RhoA	0.031725	0.001673	DSP -- RhoC	0.030956	0.001649	DSP -- JCAD -- RhoC	0.016472	0.001121	<nil>	0.026034	0.001562	DSP -- TJP1 -- JCAD -- RhoA	0.026523	0.001390	DSP -- RhoA	0.048806	0.002085	DSP	0.019688	0.001341	DSP -- TJP1 -- JCAD -- RhoC	0.025119	0.001369	TJP1 -- JCAD -- RhoC	0.064859	0.002385	JCAD -- RhoC	0.039985	0.001916	DSP -- TJP1 -- RhoC -- RhoA	0.034918	0.001667	JCAD	0.027570	0.001609	DSP -- RhoC -- RhoA	0.026351	0.001468	TJP1	0.019497	0.001325	DSP -- TJP1 -- RhoC	0.036240	0.001759	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.070061	0.002333	RhoC	0.041554	0.001949	DSP -- TJP1 -- JCAD	0.002197	0.000376	TJP1 -- JCAD -- RhoC -- RhoA	0.037434	0.001750	DSP -- TJP1 -- RhoA	0.039393	0.001840	DSP -- JCAD -- RhoC -- RhoA	0.038494	0.001771	JCAD -- RhoA	0.040128	0.001914	DSP -- JCAD -- RhoA	0.061530	0.002323	TJP1 -- RhoC	0.046821	0.002039
0.2000	0.7146	0.0023	4.7015	1.0000	DSP -- JCAD	0.003187	0.000499	DSP -- TJP1 -- JCAD	0.000608	0.000167	DSP -- TJP1	0.009570	0.000923	DSP	0.015962	0.001206	TJP1 -- JCAD	0.003885	0.000548	TJP1 -- RhoC -- RhoA	0.024836	0.001417	DSP -- TJP1 -- JCAD -- RhoA	0.023890	0.001339	TJP1 -- JCAD -- RhoA	0.012643	0.000967	RhoC -- RhoA	0.016679	0.001196	RhoA	0.039131	0.001902	TJP1 -- RhoA	0.029552	0.001611	DSP -- RhoC	0.027877	0.001565	<nil>	0.024035	0.001507	DSP -- RhoA	0.056298	0.002243	DSP -- TJP1 -- JCAD -- RhoC	0.023693	0.001307	TJP1 -- JCAD -- RhoC	0.073815	0.002554	DSP -- TJP1 -- RhoC	0.038204	0.001822	JCAD -- RhoC -- RhoA	0.013954	0.001081	JCAD -- RhoC	0.043601	0.002000	JCAD	0.025179	0.001531	DSP -- TJP1 -- RhoC -- RhoA	0.035517	0.001678	DSP -- RhoC -- RhoA	0.025663	0.001445	TJP1	0.014514	0.001152	DSP -- JCAD -- RhoC	0.012813	0.000979	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.075709	0.002437	RhoC	0.044354	0.002020	TJP1 -- JCAD -- RhoC -- RhoA	0.035757	0.001708	DSP -- TJP1 -- RhoA	0.042710	0.001926	DSP -- JCAD -- RhoC -- RhoA	0.036947	0.001738	JCAD -- RhoA	0.043066	0.001992	DSP -- JCAD -- RhoA	0.071252	0.002508	TJP1 -- RhoC	0.055099	0.002220
0.3000	0.7142	0.0022	4.6313	1.0000	DSP -- TJP1 -- JCAD	0.000486	0.000154	TJP1 -- JCAD	0.001855	0.000364	DSP -- JCAD	0.001497	0.000315	DSP	0.012946	0.001078	DSP -- TJP1	0.006236	0.000727	RhoC -- RhoA	0.014342	0.001092	TJP1 -- JCAD -- RhoA	0.011418	0.000924	DSP -- TJP1 -- JCAD -- RhoA	0.022793	0.001278	DSP -- TJP1 -- JCAD -- RhoC	0.023250	0.001289	TJP1 -- RhoC -- RhoA	0.024669	0.001413	TJP1 -- RhoA	0.028655	0.001587	JCAD -- RhoC	0.045146	0.002038	RhoA	0.041508	0.001957	<nil>	0.021869	0.001439	DSP -- RhoC	0.027058	0.001550	DSP -- RhoA	0.062892	0.002373	TJP1 -- JCAD -- RhoC	0.079460	0.002653	DSP -- TJP1 -- RhoC	0.039804	0.001852	JCAD -- RhoC -- RhoA	0.013101	0.001042	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.077371	0.002454	RhoC	0.046481	0.002069	TJP1 -- JCAD -- RhoC -- RhoA	0.033367	0.001658	DSP -- TJP1 -- RhoA	0.042486	0.001911	JCAD	0.023185	0.001476	DSP -- TJP1 -- RhoC -- RhoA	0.037474	0.001714	TJP1 -- RhoC	0.059235	0.002307	DSP -- JCAD -- RhoA	0.077816	0.002626	DSP -- JCAD -- RhoC -- RhoA	0.033908	0.001678	DSP -- RhoC -- RhoA	0.022904	0.001373	TJP1	0.011441	0.001017	DSP -- JCAD -- RhoC	0.010979	0.000898	JCAD -- RhoA	0.044367	0.002023
0.4000	0.7133	0.0022	4.5924	1.0000	DSP -- TJP1 -- JCAD	0.000553	0.000177	TJP1 -- JCAD	0.001568	0.000324	DSP -- TJP1	0.005077	0.000658	TJP1	0.008753	0.000885	DSP -- TJP1 -- JCAD -- RhoA	0.024018	0.001316	DSP	0.011028	0.001004	TJP1 -- RhoA	0.028686	0.001594	TJP1 -- RhoC -- RhoA	0.022674	0.001363	RhoC -- RhoA	0.013029	0.001033	TJP1 -- JCAD -- RhoA	0.010467	0.000902	<nil>	0.020859	0.001400	DSP -- RhoC -- RhoA	0.024282	0.001407	DSP -- JCAD -- RhoC	0.009809	0.000850	RhoA	0.042924	0.001986	DSP -- TJP1 -- JCAD -- RhoC	0.022593	0.001279	DSP -- RhoC	0.025320	0.001498	DSP -- RhoA	0.065170	0.002411	DSP -- JCAD -- RhoC -- RhoA	0.031401	0.001604	DSP -- TJP1 -- RhoC	0.039851	0.001863	JCAD -- RhoC	0.047169	0.002081	DSP -- JCAD	0.001401	0.000325	JCAD -- RhoC -- RhoA	0.011831	0.000983	TJP1 -- JCAD -- RhoC	0.083282	0.002707	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.076736	0.002448	RhoC	0.047388	0.002090	TJP1 -- JCAD -- RhoC -- RhoA	0.030783	0.001590	DSP -- TJP1 -- RhoA	0.041264	0.001886	JCAD	0.021314	0.001420	DSP -- TJP1 -- RhoC -- RhoA	0.039808	0.001782	TJP1 -- RhoC	0.063887	0.002400	DSP -- JCAD -- RhoA	0.081589	0.002685	JCAD -- RhoA	0.045486	0.002054
0.5000	0.7158	0.0022	4.5618	1.0000	DSP -- TJP1 -- JCAD	0.000430	0.000157	DSP -- TJP1	0.004153	0.000599	DSP	0.009578	0.000921	TJP1 -- RhoC -- RhoA	0.023816	0.001394	TJP1	0.007316	0.000816	TJP1 -- RhoA	0.026124	0.001519	RhoC -- RhoA	0.013090	0.001044	DSP -- TJP1 -- JCAD -- RhoC	0.021514	0.001254	TJP1 -- JCAD -- RhoA	0.009259	0.000819	DSP -- TJP1 -- JCAD -- RhoA	0.022591	0.001263	<nil>	0.020429	0.001390	TJP1 -- JCAD -- RhoC -- RhoA	0.029875	0.001551	RhoA	0.043614	0.002005	DSP -- RhoC -- RhoA	0.023135	0.001364	DSP -- RhoC	0.025362	0.001492	DSP -- RhoA	0.067725	0.002460	JCAD -- RhoC	0.047696	0.002096	TJP1 -- JCAD -- RhoC	0.085290	0.002734	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.079366	0.002500	RhoC	0.047066	0.002086	DSP -- TJP1 -- RhoA	0.041553	0.001890	DSP -- TJP1 -- RhoC	0.039838	0.001851	JCAD -- RhoC -- RhoA	0.011501	0.000969	DSP -- JCAD	0.001806	0.000356	JCAD	0.019875	0.001369	DSP -- TJP1 -- RhoC -- RhoA	0.040456	0.001787	DSP -- JCAD -- RhoC	0.008868	0.000805	TJP1 -- JCAD	0.001676	0.000340	DSP -- JCAD -- RhoC -- RhoA	0.029235	0.001545	TJP1 -- RhoC	0.066744	0.002446	DSP -- JCAD -- RhoA	0.084291	0.002722	JCAD -- RhoA	0.046729	0.002080
0.6000	0.7130	0.0022	4.5389	1.0000	DSP -- TJP1 -- JCAD	0.000447	0.000155	TJP1 -- JCAD -- RhoA	0.008321	0.000812	DSP	0.007899	0.000848	DSP -- TJP1 -- JCAD -- RhoA	0.023472	0.001302	DSP -- TJP1	0.003710	0.000568	JCAD -- RhoC -- RhoA	0.011536	0.000962	TJP1 -- RhoA	0.025449	0.001499	DSP -- JCAD	0.002199	0.000406	<nil>	0.019962	0.001372	TJP1 -- JCAD -- RhoC -- RhoA	0.026665	0.001485	TJP1 -- RhoC -- RhoA	0.023636	0.001391	RhoA	0.044674	0.002033	DSP -- RhoC	0.026070	0.001524	DSP -- RhoA	0.069875	0.002500	DSP -- TJP1 -- JCAD -- RhoC	0.021410	0.001254	JCAD -- RhoC	0.048040	0.002100	RhoC -- RhoA	0.012449	0.001013	TJP1 -- JCAD -- RhoC	0.089335	0.002801	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.078571	0.002491	RhoC	0.047116	0.002082	DSP -- TJP1 -- RhoA	0.041778	0.001903	JCAD	0.018522	0.001323	DSP -- TJP1 -- RhoC -- RhoA	0.041351	0.001817	DSP -- TJP1 -- RhoC	0.039161	0.001843	TJP1 -- JCAD	0.001779	0.000356	DSP -- JCAD -- RhoC -- RhoA	0.026567	0.001475	DSP -- RhoC -- RhoA	0.021957	0.001338	TJP1	0.006456	0.000767	DSP -- JCAD -- RhoC	0.008977	0.000828	JCAD -- RhoA	0.047701	0.002099	DSP -- JCAD -- RhoA	0.086457	0.002760	TJP1 -- RhoC	0.068460	0.002480
0.7000	0.7102	0.0021	4.5329	1.0000	DSP -- TJP1 -- JCAD	0.000358	0.000140	TJP1 -- JCAD -- RhoA	0.007810	0.000756	DSP	0.007575	0.000827	DSP -- TJP1	0.002850	0.000487	JCAD -- RhoC -- RhoA	0.013190	0.001048	TJP1 -- RhoA	0.025580	0.001504	DSP -- JCAD	0.002371	0.000438	DSP -- TJP1 -- JCAD -- RhoA	0.024083	0.001323	<nil>	0.018669	0.001327	TJP1 -- RhoC -- RhoA	0.022710	0.001347	DSP -- TJP1 -- RhoC	0.039106	0.001836	TJP1 -- JCAD	0.002239	0.000400	DSP -- JCAD -- RhoC -- RhoA	0.025478	0.001435	RhoA	0.045601	0.002049	DSP -- TJP1 -- JCAD -- RhoC	0.022873	0.001286	DSP -- RhoA	0.071846	0.002533	DSP -- RhoC	0.025392	0.001506	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.076586	0.002448	RhoC	0.047312	0.002083	JCAD -- RhoC	0.047642	0.002096	TJP1 -- JCAD -- RhoC	0.090162	0.002813	TJP1 -- JCAD -- RhoC -- RhoA	0.025890	0.001458	DSP -- TJP1 -- RhoA	0.041747	0.001896	JCAD	0.017460	0.001280	DSP -- TJP1 -- RhoC -- RhoA	0.042298	0.001838	RhoC -- RhoA	0.012618	0.001008	DSP -- RhoC -- RhoA	0.020987	0.001300	TJP1	0.006260	0.000748	DSP -- JCAD -- RhoC	0.009279	0.000834	JCAD -- RhoA	0.047508	0.002091	DSP -- JCAD -- RhoA	0.087072	0.002772	TJP1 -- RhoC	0.069450	0.002490
0.8000	0.7111	0.0021	4.5121	1.0000	DSP -- TJP1 -- JCAD	0.000270	0.000090	DSP -- TJP1	0.002866	0.000502	DSP -- TJP1 -- JCAD -- RhoA	0.024095	0.001347	TJP1 -- RhoA	0.025471	0.001500	DSP -- TJP1 -- JCAD -- RhoC	0.022018	0.001259	JCAD -- RhoC -- RhoA	0.013530	0.001058	DSP -- JCAD	0.001716	0.000340	<nil>	0.017738	0.001292	TJP1 -- JCAD -- RhoA	0.008017	0.000776	TJP1 -- RhoC -- RhoA	0.021470	0.001314	RhoA	0.045701	0.002051	DSP -- RhoA	0.073597	0.002560	DSP -- RhoC	0.023984	0.001455	TJP1 -- JCAD -- RhoC -- RhoA	0.024714	0.001429	DSP -- TJP1 -- RhoC	0.039287	0.001843	JCAD -- RhoC	0.047952	0.002101	TJP1 -- JCAD -- RhoC	0.091212	0.002837	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.077517	0.002472	RhoC	0.048099	0.002109	DSP -- TJP1 -- RhoA	0.041771	0.001900	JCAD	0.016700	0.001250	DSP -- TJP1 -- RhoC -- RhoA	0.042076	0.001828	TJP1 -- JCAD	0.002157	0.000411	DSP -- JCAD -- RhoC -- RhoA	0.025370	0.001434	DSP	0.007173	0.000790	RhoC -- RhoA	0.012663	0.001025	DSP -- RhoC -- RhoA	0.021046	0.001304	TJP1	0.005694	0.000714	DSP -- JCAD -- RhoC	0.008175	0.000781	JCAD -- RhoA	0.047617	0.002094	DSP -- JCAD -- RhoA	0.088939	0.002795	TJP1 -- RhoC	0.071366	0.002530
0.9000	0.7095	0.0021	4.5018	1.0000	DSP -- TJP1 -- JCAD	0.000181	0.000083	DSP	0.006537	0.000760	DSP -- TJP1	0.003072	0.000504	DSP -- RhoC -- RhoA	0.019756	0.001277	TJP1 -- RhoA	0.025242	0.001500	JCAD -- RhoC -- RhoA	0.012545	0.001005	RhoC -- RhoA	0.014103	0.001066	DSP -- JCAD	0.001160	0.000262	<nil>	0.016807	0.001250	TJP1 -- JCAD -- RhoA	0.007830	0.000756	DSP -- JCAD -- RhoC	0.008024	0.000780	TJP1 -- RhoC -- RhoA	0.022864	0.001365	RhoA	0.045877	0.002051	DSP -- TJP1 -- JCAD -- RhoC	0.023063	0.001292	DSP -- RhoA	0.075382	0.002598	DSP -- RhoC	0.024124	0.001473	DSP -- TJP1 -- JCAD -- RhoA	0.024081	0.001324	TJP1 -- JCAD -- RhoC -- RhoA	0.025152	0.001428	JCAD -- RhoC	0.048427	0.002107	DSP -- TJP1 -- RhoA	0.043376	0.001942	DSP -- TJP1 -- JCAD -- RhoC -- RhoA	0.076574	0.002444	RhoC	0.047413	0.002078	TJP1	0.005089	0.000682	TJP1 -- JCAD -- RhoC	0.091299	0.002831	DSP -- TJP1 -- RhoC	0.039201	0.001855	JCAD	0.016071	0.001222	DSP -- TJP1 -- RhoC -- RhoA	0.040352	0.001807	TJP1 -- JCAD	0.001819	0.000358	DSP -- JCAD -- RhoC -- RhoA	0.025153	0.001444	JCAD -- RhoA	0.048758	0.002116	DSP -- JCAD -- RhoA	0.089863	0.002816	TJP1 -- RhoC	0.070805	0.002521
