DSP,JCAD,RhoA,RhoC,TJP1,delta,param_value,param_name
0.49039999999999995,0.4941,0.564441,0.6089580000000001,0.500301,0.04451700000000014,5.0,$RhoA_amp
0.504299,0.4978,0.589074,0.6062609999999999,0.509999,0.017186999999999952,10.0,$RhoA_amp
0.5025010000000001,0.49129999999999996,0.609034,0.5868390000000001,0.5016,-0.022194999999999854,15.0,$RhoA_amp
0.504901,0.499,0.6153620000000001,0.589883,0.49620099999999995,-0.02547900000000003,20.0,$RhoA_amp
0.49759899999999996,0.5002000000000001,0.6152569999999999,0.595352,0.5124,-0.01990499999999995,25.0,$RhoA_amp
0.4959,0.49499999999999994,0.6140849999999999,0.59962,0.5013000000000001,-0.014464999999999839,30.0,$RhoA_amp
0.4858,0.5073,0.6237269999999999,0.589782,0.4998999999999999,-0.03394499999999989,35.0,$RhoA_amp
0.504899,0.4956,0.6195269999999999,0.58518,0.5032,-0.034346999999999905,40.0,$RhoA_amp
0.507899,0.49819800000000003,0.6200049999999999,0.5976389999999999,0.503199,-0.022365999999999997,45.0,$RhoA_amp
0.491298,0.49999799999999994,0.631026,0.5843659999999999,0.5032,-0.046660000000000035,50.0,$RhoA_amp
0.5002000000000001,0.4969,0.6175020000000001,0.586911,0.48790100000000003,-0.030591000000000146,55.0,$RhoA_amp
0.499201,0.4935,0.6235520000000002,0.591894,0.495999,-0.031658000000000186,60.0,$RhoA_amp
0.5033989999999999,0.496,0.6283169999999999,0.58489,0.49779999999999996,-0.04342699999999988,65.0,$RhoA_amp
0.507099,0.509299,0.633289,0.5854520000000001,0.496301,-0.04783699999999991,70.0,$RhoA_amp
0.488599,0.490199,0.6156039999999998,0.59639,0.507998,-0.019213999999999842,75.0,$RhoA_amp
0.509701,0.49430099999999993,0.6393009999999999,0.576257,0.493801,-0.06304399999999988,80.0,$RhoA_amp
0.509801,0.5024,0.633404,0.590547,0.502703,-0.04285699999999992,85.0,$RhoA_amp
0.49919899999999995,0.501398,0.622941,0.591251,0.49949999999999994,-0.031689999999999996,90.0,$RhoA_amp
0.497901,0.495,0.6297779999999998,0.584411,0.5041000000000001,-0.045366999999999824,95.0,$RhoA_amp
