DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.004253,0.6727959999999998,0.254891,0.7995729999999999,0.658068,$DSP_recruitment,0.0,,,WT,Recruitment_Sweep,1D,0.5446819999999999,Hyper
0.097307,0.665449,0.31112100000000004,0.7768470000000001,0.668666,$DSP_recruitment,0.05,,,WT,Recruitment_Sweep,1D,0.46572600000000003,Hyper
0.168571,0.6697350000000001,0.351689,0.7584,0.6521760000000001,$DSP_recruitment,0.1,,,WT,Recruitment_Sweep,1D,0.406711,Hyper
0.228347,0.673717,0.40081100000000003,0.733204,0.6705720000000001,$DSP_recruitment,0.15000000000000002,,,WT,Recruitment_Sweep,1D,0.33239299999999994,Hyper
0.284235,0.6636170000000001,0.42494400000000004,0.724783,0.6610809999999999,$DSP_recruitment,0.2,,,WT,Recruitment_Sweep,1D,0.2998389999999999,Hyper
0.337507,0.665741,0.45622299999999993,0.710882,0.657179,$DSP_recruitment,0.25,,,WT,Recruitment_Sweep,1D,0.2546590000000001,Hyper
0.3636789999999999,0.674995,0.47618499999999997,0.7130699999999999,0.6681229999999999,$DSP_recruitment,0.30000000000000004,,,WT,Recruitment_Sweep,1D,0.2368849999999999,Normal
0.415984,0.665235,0.500968,0.696838,0.6754739999999999,$DSP_recruitment,0.35000000000000003,,,WT,Recruitment_Sweep,1D,0.19587,Normal
0.44928,0.66862,0.519842,0.6864179999999999,0.658094,$DSP_recruitment,0.4,,,WT,Recruitment_Sweep,1D,0.16657599999999984,Normal
0.46580200000000005,0.678368,0.536075,0.684849,0.665027,$DSP_recruitment,0.45,,,WT,Recruitment_Sweep,1D,0.14877400000000007,Normal
0.48673799999999995,0.667051,0.5477700000000001,0.6786500000000001,0.667861,$DSP_recruitment,0.5,,,WT,Recruitment_Sweep,1D,0.13088,Normal
0.523656,0.6786030000000001,0.5544330000000001,0.6972510000000001,0.669316,$DSP_recruitment,0.55,,,WT,Recruitment_Sweep,1D,0.142818,Normal
0.5456099999999999,0.656123,0.5787959999999999,0.6586279999999999,0.655422,$DSP_recruitment,0.6000000000000001,,,WT,Recruitment_Sweep,1D,0.07983200000000001,Normal
0.556125,0.6622069999999999,0.5876930000000001,0.6503909999999999,0.667738,$DSP_recruitment,0.65,,,WT,Recruitment_Sweep,1D,0.06269799999999981,Normal
