DSP,JCAD,RhoA,RhoC,TJP1,p1_name,p1_value,p2_name,p2_value,perturbation,exp_name,type,delta,phenotype
0.500801,0.49979900000000005,0.33802200000000004,0.641812,0.504799,$RhoA_amp,0.0,N/A,,WT,WT_Sweep,1D,0.30379,Hyper
0.505999,0.5227999999999999,0.49676,0.5660999999999999,0.491801,$RhoA_amp,2.5,N/A,,WT,WT_Sweep,1D,0.06933999999999996,Normal
0.493401,0.506,0.5370389999999999,0.5535229999999999,0.49900000000000005,$RhoA_amp,5.0,N/A,,WT,WT_Sweep,1D,0.016483999999999943,Normal
0.504202,0.489402,0.5452750000000001,0.549506,0.4898,$RhoA_amp,7.5,N/A,,WT,WT_Sweep,1D,0.004230999999999985,Normal
0.511399,0.508,0.5665899999999999,0.5525720000000001,0.502,$RhoA_amp,10.0,N/A,,WT,WT_Sweep,1D,-0.014017999999999864,Normal
0.501399,0.506599,0.5616359999999999,0.546472,0.49060000000000004,$RhoA_amp,12.5,N/A,,WT,WT_Sweep,1D,-0.015163999999999955,Normal
0.4914,0.495999,0.562261,0.537261,0.4867990000000001,$RhoA_amp,15.0,N/A,,WT,WT_Sweep,1D,-0.025000000000000022,Normal
0.49559900000000007,0.49280000000000007,0.558938,0.5468780000000001,0.505199,$RhoA_amp,17.5,N/A,,WT,WT_Sweep,1D,-0.01205999999999996,Normal
0.4960010000000001,0.5028,0.564541,0.5552429999999999,0.503001,$RhoA_amp,20.0,N/A,,WT,WT_Sweep,1D,-0.009298000000000028,Normal
0.498201,0.5012009999999999,0.5742519999999999,0.545233,0.5069999999999999,$RhoA_amp,22.5,N/A,,WT,WT_Sweep,1D,-0.029018999999999906,Normal
0.4898,0.513201,0.558663,0.569597,0.5184,$RhoA_amp,25.0,N/A,,WT,WT_Sweep,1D,0.010934,Normal
0.4918,0.49920100000000006,0.569731,0.555288,0.5009999999999999,$RhoA_amp,27.5,N/A,,WT,WT_Sweep,1D,-0.014442999999999984,Normal
0.507402,0.49860099999999996,0.569337,0.5536679999999999,0.49600200000000005,$RhoA_amp,30.0,N/A,,WT,WT_Sweep,1D,-0.015669000000000044,Normal
