t,DSP,TJP1,JCAD,RhoA,RhoC,perturbation,delta,phenotype
0.0,1.0,1.0,1.0,0.902874,0.905165,WT,0.002291000000000043,Normal
0.1,1.0,1.0,1.0,0.821222,0.831878,WT,0.010655999999999999,Normal
0.2,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.815285,0.811966,WT,-0.003319000000000072,Normal
0.3,0.999999,0.999999,0.999999,0.815834,0.800638,WT,-0.015195999999999987,Normal
0.4,1.0,1.0,1.0,0.815785,0.80476,WT,-0.011024999999999952,Normal
0.5,1.000001,1.000001,1.000001,0.8132229999999999,0.8079209999999999,WT,-0.005302000000000029,Normal
0.6,1.0,1.0,1.0,0.8098650000000001,0.805205,WT,-0.0046600000000001085,Normal
0.7,0.999999,0.999999,0.999999,0.80252,0.810665,WT,0.008144999999999958,Normal
0.8,1.0,1.0,1.0,0.805765,0.814467,WT,0.008702000000000099,Normal
0.9,0.999999,0.999999,0.999999,0.810935,0.808835,WT,-0.0020999999999999908,Normal
1.0,1.0,1.0,1.0,0.8136460000000001,0.807156,WT,-0.006490000000000107,Normal
1.1,0.999999,0.999999,0.999999,0.809196,0.809836,WT,0.0006399999999999739,Normal
1.2,1.0,1.0,1.0,0.809011,0.8139540000000001,WT,0.004943000000000031,Normal
1.3,1.0,1.0,1.0,0.811483,0.808026,WT,-0.0034569999999999323,Normal
1.4,1.0,1.0,1.0,0.807104,0.80325,WT,-0.003854000000000024,Normal
1.5,1.0,1.0,1.0,0.811178,0.805569,WT,-0.005608999999999975,Normal
1.6,1.0,1.0,1.0,0.810571,0.81433,WT,0.003758999999999957,Normal
1.7,1.0,1.0,1.0,0.8127679999999999,0.808745,WT,-0.004022999999999888,Normal
1.8,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.8130379999999999,0.8061069999999999,WT,-0.0069310000000000205,Normal
1.9,1.0,1.0,1.0,0.8097489999999999,0.804341,WT,-0.005407999999999968,Normal
2.0,1.0,1.0,1.0,0.802587,0.8096840000000001,WT,0.00709700000000002,Normal
2.1,1.0,1.0,1.0,0.803848,0.808254,WT,0.004406000000000021,Normal
2.2,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.804103,0.81682,WT,0.012716999999999978,Normal
2.3,1.0,1.0,1.0,0.80866,0.812092,WT,0.0034319999999999906,Normal
2.4,1.0,1.0,1.0,0.811986,0.805361,WT,-0.006624999999999992,Normal
2.5,1.0,1.0,1.0,0.81255,0.799145,WT,-0.013405,Normal
2.6,1.0,1.0,1.0,0.810068,0.799293,WT,-0.010774999999999979,Normal
2.7,0.999999,0.999999,0.999999,0.8048599999999999,0.804179,WT,-0.0006809999999999317,Normal
2.8,1.000001,1.000001,1.000001,0.809577,0.800985,WT,-0.008592000000000044,Normal
2.9,1.0,1.0,1.0,0.8168460000000001,0.800999,WT,-0.015847000000000055,Normal
3.0,1.0,1.0,1.0,0.811957,0.8042100000000001,WT,-0.007746999999999948,Normal
3.1,1.000001,1.000001,1.000001,0.80463,0.8033669999999999,WT,-0.0012630000000000141,Normal
3.2,0.999999,0.999999,0.999999,0.810602,0.814929,WT,0.00432699999999997,Normal
3.3,1.000001,1.000001,1.000001,0.809995,0.805418,WT,-0.004577000000000053,Normal
3.4,1.0,1.0,1.0,0.8041769999999999,0.812322,WT,0.008145000000000069,Normal
3.5,1.0,1.0,1.0,0.8015369999999999,0.810092,WT,0.00855500000000009,Normal
3.6,0.999999,0.999999,0.999999,0.799198,0.811175,WT,0.011977000000000015,Normal
3.7,1.0,1.0,1.0,0.807799,0.81148,WT,0.0036809999999999343,Normal
3.8,1.0,1.0,1.0,0.809327,0.80764,WT,-0.001686999999999994,Normal
3.9,1.0,1.0,1.0,0.818954,0.8099799999999999,WT,-0.008974000000000038,Normal
4.0,1.0,1.0,1.0,0.8130510000000001,0.8120050000000001,WT,-0.0010459999999999914,Normal
4.1,0.999999,0.999999,0.999999,0.81139,0.8132349999999999,WT,0.0018449999999999855,Normal
4.2,1.0,1.0,1.0,0.807356,0.80674,WT,-0.0006159999999999499,Normal
4.3,1.0,1.0,1.0,0.8067690000000001,0.813229,WT,0.00645999999999991,Normal
4.4,1.000001,1.000001,1.000001,0.815604,0.814955,WT,-0.0006490000000000107,Normal
4.5,1.000001,1.000001,1.000001,0.807553,0.8062090000000001,WT,-0.0013439999999999008,Normal
4.6,1.0,1.0,1.0,0.811609,0.802155,WT,-0.009454000000000073,Normal
4.7,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.809511,0.805893,WT,-0.00361800000000001,Normal
4.8,1.0,1.0,1.0,0.809729,0.808001,WT,-0.0017280000000000628,Normal
4.9,1.0,1.0,1.0,0.803904,0.811036,WT,0.007132000000000027,Normal
5.0,1.0,1.0,1.0,0.811613,0.8125260000000001,WT,0.0009130000000000527,Normal
5.1,1.0,1.0,1.0,0.816634,0.8144039999999999,WT,-0.0022300000000000653,Normal
5.2,1.000001,1.000001,1.000001,0.806812,0.8193619999999999,WT,0.01254999999999995,Normal
5.3,1.0,1.0,1.0,0.800241,0.819449,WT,0.019208000000000003,Normal
5.4,1.0,1.0,1.0,0.80916,0.819126,WT,0.00996600000000003,Normal
5.5,1.0,1.0,1.0,0.804139,0.8180780000000001,WT,0.013939000000000035,Normal
5.6,0.999999,0.999999,0.999999,0.801958,0.817447,WT,0.015489000000000086,Normal
5.7,1.0,1.0,1.0,0.7992009999999999,0.819,WT,0.01979900000000001,Normal
5.8,1.0,1.0,1.0,0.808852,0.8109350000000001,WT,0.002083000000000057,Normal
5.9,1.0,1.0,1.0,0.809137,0.80907,WT,-6.700000000003925e-05,Normal
6.0,1.0,1.0,1.0,0.8144880000000001,0.810451,WT,-0.004037000000000068,Normal
6.1,0.999999,0.999999,0.999999,0.811846,0.806941,WT,-0.004904999999999937,Normal
6.2,1.0,1.0,1.0,0.812148,0.804608,WT,-0.007539999999999991,Normal
6.3,1.0,1.0,1.0,0.8065420000000001,0.812848,WT,0.006305999999999923,Normal
6.4,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.811613,0.815871,WT,0.004257999999999984,Normal
6.5,1.0,1.0,1.0,0.803099,0.807685,WT,0.004585999999999979,Normal
6.6,1.0,1.0,1.0,0.807935,0.8088219999999999,WT,0.0008869999999999711,Normal
6.7,1.0,1.0,1.0,0.805659,0.8031290000000001,WT,-0.002529999999999921,Normal
6.8,1.0,1.0,1.0,0.81069,0.803623,WT,-0.0070670000000000455,Normal
6.9,1.0,1.0,1.0,0.804795,0.811578,WT,0.0067829999999999835,Normal
7.0,1.0,1.0,1.0,0.807534,0.8067190000000001,WT,-0.0008149999999998991,Normal
7.1,1.0,1.0,1.0,0.815759,0.8070280000000001,WT,-0.008730999999999933,Normal
7.2,1.0,1.0,1.0,0.814928,0.809331,WT,-0.005596999999999963,Normal
7.3,1.0,1.0,1.0,0.811368,0.80853,WT,-0.002838000000000007,Normal
7.4,1.0,1.0,1.0,0.806497,0.8125049999999999,WT,0.006007999999999902,Normal
7.5,1.0,1.0,1.0,0.81218,0.814228,WT,0.0020479999999999388,Normal
7.6,1.000001,1.000001,1.000001,0.808506,0.8151869999999999,WT,0.006680999999999937,Normal
7.7,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.807922,0.813365,WT,0.005442999999999976,Normal
7.8,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.806622,0.8091740000000001,WT,0.0025520000000001097,Normal
7.9,1.0,1.0,1.0,0.813859,0.8102659999999999,WT,-0.0035930000000000684,Normal
8.0,0.999999,0.999999,0.999999,0.818886,0.8026559999999999,WT,-0.016230000000000078,Normal
8.1,1.0,1.0,1.0,0.8208120000000001,0.8028770000000001,WT,-0.017935000000000034,Normal
8.2,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.815676,0.8045169999999999,WT,-0.01115900000000003,Normal
8.3,1.0,1.0,1.0,0.8094250000000001,0.80564,WT,-0.0037850000000000383,Normal
8.4,1.0,1.0,1.0,0.813106,0.8079189999999999,WT,-0.005187000000000053,Normal
8.5,1.0,1.0,1.0,0.8085199999999999,0.813971,WT,0.005451000000000095,Normal
8.6,1.0,1.0,1.0,0.810998,0.802038,WT,-0.008959999999999968,Normal
8.7,1.0,1.0,1.0,0.816044,0.803797,WT,-0.012247000000000008,Normal
8.8,1.0,1.0,1.0,0.811275,0.8088139999999999,WT,-0.0024610000000000465,Normal
8.9,1.0,1.0,1.0,0.807831,0.8130740000000001,WT,0.005243000000000109,Normal
9.0,1.0,1.0,1.0,0.804559,0.812155,WT,0.007595999999999936,Normal
9.1,1.0,1.0,1.0,0.803179,0.815599,WT,0.012419999999999987,Normal
9.2,1.0,1.0,1.0,0.800178,0.813998,WT,0.013820000000000054,Normal
9.3,1.0,1.0,1.0,0.809202,0.807384,WT,-0.0018179999999999863,Normal
9.4,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.8099390000000001,0.813961,WT,0.00402199999999997,Normal
9.5,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.8100809999999999,0.8109959999999999,WT,0.0009149999999999991,Normal
9.6,1.000001,1.000001,1.000001,0.804909,0.812836,WT,0.007927000000000017,Normal
9.7,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.8095420000000001,0.8104420000000001,WT,0.0009000000000000119,Normal
9.8,1.0,1.0,1.0,0.815265,0.804344,WT,-0.01092100000000007,Normal
9.9,1.0,1.0,1.0,0.807186,0.8113630000000001,WT,0.004177000000000097,Normal
10.0,1.0,1.0,1.0,0.809349,0.8117840000000001,WT,0.002435000000000076,Normal
10.1,1.0,1.0,1.0,0.811909,0.8144750000000001,WT,0.0025660000000000682,Normal
10.2,1.0,1.0,1.0,0.807456,0.813315,WT,0.005859000000000059,Normal
10.3,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.804417,0.8073130000000001,WT,0.0028960000000000097,Normal
10.4,1.000001,1.000001,1.000001,0.808829,0.817886,WT,0.009056999999999982,Normal
10.5,0.9999989999999999,0.9999989999999999,0.9999989999999999,0.80819,0.812165,WT,0.003975000000000062,Normal
10.6,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.812365,0.805674,WT,-0.0066910000000000025,Normal
10.7,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.810169,0.811381,WT,0.0012119999999999909,Normal
10.8,1.0,1.0,1.0,0.806165,0.810567,WT,0.004402000000000017,Normal
10.9,1.0,1.0,1.0,0.807814,0.810501,WT,0.002686999999999995,Normal
