t,DSP,TJP1,JCAD,RhoA,RhoC,perturbation,delta,phenotype
0.0,0.49239900000000003,0.498,0.48819999999999997,0.532227,0.537786,WT,0.005558999999999981,Normal
0.1,0.4924,0.497999,0.48819999999999997,0.5675169999999999,0.5653209999999999,WT,-0.0021960000000000868,Normal
0.2,0.492401,0.4979989999999999,0.48819900000000005,0.576308,0.5860580000000001,WT,0.009750000000000036,Normal
0.3,0.49240000000000006,0.49799899999999997,0.48819900000000005,0.581696,0.5959470000000001,WT,0.014251000000000125,Normal
0.4,0.49239999999999995,0.498001,0.488201,0.586068,0.597829,WT,0.011761000000000021,Normal
0.5,0.49239900000000003,0.497999,0.48819799999999997,0.59239,0.5939219999999998,WT,0.0015319999999998668,Normal
0.6,0.4924,0.49800199999999994,0.488201,0.588002,0.599127,WT,0.01112499999999994,Normal
0.7,0.4923990000000001,0.49799999999999994,0.48819999999999997,0.5923870000000001,0.5958760000000001,WT,0.0034889999999999644,Normal
0.8,0.492399,0.498,0.48819899999999994,0.58647,0.592233,WT,0.005762999999999963,Normal
0.9,0.4924009999999999,0.4980009999999999,0.48819999999999997,0.5875140000000001,0.593074,WT,0.005559999999999898,Normal
1.0,0.4924009999999999,0.4980009999999999,0.488201,0.59236,0.5951700000000002,WT,0.0028100000000002012,Normal
1.1,0.49240000000000006,0.49799999999999994,0.48820100000000005,0.58945,0.594319,WT,0.004869000000000012,Normal
1.2,0.492401,0.49800099999999997,0.488201,0.5866330000000001,0.590997,WT,0.0043639999999999235,Normal
1.3,0.49239999999999995,0.4979979999999999,0.48819999999999997,0.5883959999999999,0.588943,WT,0.0005470000000000752,Normal
1.4,0.4924010000000001,0.49800300000000003,0.488202,0.5905999999999999,0.594853,WT,0.004253000000000062,Normal
1.5,0.49240100000000003,0.497999,0.488199,0.586465,0.600803,WT,0.014337999999999962,Normal
1.6,0.492403,0.49800099999999997,0.48820199999999997,0.5867319999999999,0.599803,WT,0.013071000000000055,Normal
1.7,0.492401,0.498001,0.4882,0.5840860000000002,0.599196,WT,0.015109999999999735,Normal
1.8,0.49240100000000003,0.498001,0.488202,0.591581,0.602967,WT,0.011386000000000007,Normal
1.9,0.4924010000000001,0.498001,0.4882000000000001,0.590423,0.598023,WT,0.00759999999999994,Normal
2.0,0.492401,0.49800099999999997,0.48819899999999994,0.592124,0.5972229999999998,WT,0.005098999999999854,Normal
2.1,0.492401,0.49800300000000003,0.4882019999999999,0.591525,0.6012109999999999,WT,0.009685999999999972,Normal
2.2,0.49240100000000003,0.49800200000000006,0.48820100000000005,0.595515,0.59997,WT,0.004454999999999987,Normal
2.3,0.49240100000000003,0.49800200000000006,0.4882020000000001,0.5949369999999999,0.5946739999999999,WT,-0.0002630000000000132,Normal
2.4,0.4923999999999999,0.49799899999999997,0.48819699999999994,0.5898030000000001,0.597115,WT,0.007311999999999874,Normal
2.5,0.49240000000000006,0.498001,0.488202,0.5888580000000001,0.5983269999999999,WT,0.009468999999999839,Normal
2.6,0.49240000000000006,0.498,0.48819999999999997,0.580522,0.600159,WT,0.019637000000000016,Normal
2.7,0.492399,0.498,0.48819999999999997,0.5850489999999999,0.597715,WT,0.012666000000000066,Normal
2.8,0.4924010000000001,0.498002,0.488201,0.585741,0.594776,WT,0.009035000000000015,Normal
2.9,0.49239999999999995,0.498,0.48819999999999997,0.592144,0.5963350000000001,WT,0.004191000000000056,Normal
3.0,0.4924,0.498002,0.48820300000000005,0.5958720000000001,0.598857,WT,0.0029849999999999044,Normal
3.1,0.49240199999999995,0.498001,0.488202,0.5887480000000002,0.5949580000000001,WT,0.006209999999999938,Normal
3.2,0.49239900000000003,0.49799800000000005,0.48819900000000005,0.5835859999999999,0.5981380000000001,WT,0.01455200000000012,Normal
3.3,0.4924010000000001,0.498001,0.4882,0.5805690000000001,0.600064,WT,0.01949499999999993,Normal
3.4,0.4924,0.498001,0.48820199999999997,0.582091,0.5958470000000001,WT,0.013756000000000101,Normal
3.5,0.4924,0.497999,0.4882,0.58944,0.5959899999999999,WT,0.006549999999999945,Normal
3.6,0.4924,0.498001,0.488201,0.588058,0.598637,WT,0.010579000000000005,Normal
3.7,0.4924,0.497999,0.48819900000000005,0.584896,0.5993949999999999,WT,0.014498999999999929,Normal
3.8,0.4924009999999999,0.49800200000000006,0.48820199999999997,0.5894890000000002,0.598124,WT,0.008634999999999837,Normal
3.9,0.49240100000000003,0.49799899999999997,0.48819999999999997,0.5953830000000001,0.5935659999999999,WT,-0.0018170000000001796,Normal
4.0,0.49240100000000003,0.497999,0.48819899999999994,0.594727,0.5906149999999999,WT,-0.0041120000000001156,Normal
4.1,0.49240100000000003,0.498001,0.48820100000000005,0.592899,0.592488,WT,-0.0004109999999999392,Normal
4.2,0.492399,0.49800000000000005,0.4882,0.592627,0.592024,WT,-0.0006030000000000202,Normal
4.3,0.4924,0.49799999999999994,0.4881999999999999,0.5921109999999999,0.5976049999999999,WT,0.005493999999999999,Normal
4.4,0.4923989999999999,0.49799999999999994,0.48819799999999997,0.596153,0.596816,WT,0.0006629999999999692,Normal
4.5,0.492399,0.498001,0.48820100000000005,0.597679,0.5974449999999999,WT,-0.0002340000000000675,Normal
4.6,0.4924009999999999,0.498,0.4881999999999999,0.5963829999999999,0.594196,WT,-0.002186999999999939,Normal
4.7,0.4924,0.4980000000000001,0.4882,0.59162,0.5903170000000001,WT,-0.001302999999999943,Normal
4.8,0.49239999999999995,0.497999,0.4882,0.5911649999999999,0.5913539999999999,WT,0.00018899999999999473,Normal
4.9,0.492398,0.498,0.488199,0.597412,0.590541,WT,-0.0068710000000000715,Normal
0.0,0.0,0.498599,0.496799,0.48642799999999997,0.537018,DSP,0.050590000000000024,Normal
0.1,0.0,0.49860099999999996,0.4968,0.4591619999999999,0.5842029999999999,DSP,0.125041,Normal
0.2,0.0,0.49860099999999996,0.49680100000000005,0.440898,0.6065010000000001,DSP,0.16560300000000006,Normal
0.3,0.0,0.4986,0.49679899999999994,0.428138,0.624884,DSP,0.19674599999999998,Normal
0.4,0.0,0.49860100000000007,0.49680100000000005,0.41961000000000004,0.6362520000000002,DSP,0.2166420000000001,Normal
0.5,0.0,0.4986,0.4968,0.412375,0.643029,DSP,0.23065399999999997,Normal
0.6,0.0,0.4986,0.4968,0.407183,0.652478,DSP,0.24529499999999999,Normal
0.7,0.0,0.498601,0.49680099999999994,0.40430499999999997,0.6560819999999999,DSP,0.251777,Hyper
0.8,0.0,0.4986,0.4968,0.399532,0.6638390000000001,DSP,0.26430700000000007,Hyper
0.9,0.0,0.498598,0.49679999999999996,0.40019299999999997,0.6698979999999999,DSP,0.2697049999999999,Hyper
1.0,0.0,0.49860000000000004,0.496799,0.39875,0.671611,DSP,0.27286099999999996,Hyper
1.1,0.0,0.4986,0.4968000000000001,0.396805,0.6748939999999999,DSP,0.27808899999999986,Hyper
1.2,0.0,0.49860099999999996,0.4968,0.40402899999999997,0.674262,DSP,0.27023300000000006,Hyper
1.3,0.0,0.49859999999999993,0.49679999999999996,0.4057299999999999,0.67029,DSP,0.26456000000000013,Hyper
1.4,0.0,0.4986,0.49680099999999994,0.40168899999999996,0.6674939999999999,DSP,0.26580499999999996,Hyper
1.5,0.0,0.49860099999999996,0.49679999999999996,0.39759599999999995,0.6749499999999999,DSP,0.277354,Hyper
1.6,0.0,0.498599,0.4968,0.396515,0.677946,DSP,0.28143100000000004,Hyper
1.7,0.0,0.49860099999999996,0.49680099999999994,0.402595,0.6787759999999999,DSP,0.27618099999999995,Hyper
1.8,0.0,0.49859899999999996,0.496799,0.40297099999999997,0.679883,DSP,0.27691200000000005,Hyper
1.9,0.0,0.49860000000000004,0.496799,0.40633299999999994,0.6732309999999999,DSP,0.26689799999999997,Hyper
2.0,0.0,0.4986,0.4968,0.411358,0.669537,DSP,0.25817900000000005,Hyper
2.1,0.0,0.49860099999999996,0.496801,0.40784699999999996,0.6713039999999999,DSP,0.26345699999999994,Hyper
2.2,0.0,0.4986,0.496799,0.409654,0.669422,DSP,0.25976799999999994,Hyper
2.3,0.0,0.49860099999999996,0.496801,0.41207799999999994,0.671605,DSP,0.25952700000000006,Hyper
2.4,0.0,0.49860000000000004,0.496801,0.41439499999999996,0.669423,DSP,0.25502800000000003,Hyper
2.5,0.0,0.4986,0.49679999999999996,0.415666,0.672695,DSP,0.25702900000000006,Hyper
2.6,0.0,0.498599,0.496799,0.41534,0.6744100000000001,DSP,0.2590700000000001,Hyper
2.7,0.0,0.49860000000000004,0.4968,0.41177699999999995,0.673653,DSP,0.261876,Hyper
2.8,0.0,0.4986,0.4968,0.407837,0.6723879999999999,DSP,0.26455099999999987,Hyper
2.9,0.0,0.49860099999999996,0.4968,0.406049,0.6719930000000001,DSP,0.26594400000000007,Hyper
3.0,0.0,0.49859799999999993,0.49679799999999996,0.4117489999999999,0.66797,DSP,0.25622100000000003,Hyper
3.1,0.0,0.498599,0.496799,0.412944,0.6695510000000001,DSP,0.25660700000000014,Hyper
3.2,0.0,0.49860000000000004,0.496801,0.41013299999999997,0.6785160000000001,DSP,0.26838300000000015,Hyper
3.3,0.0,0.498599,0.496799,0.405043,0.678907,DSP,0.27386400000000005,Hyper
3.4,0.0,0.498601,0.4968,0.40050399999999997,0.6781299999999999,DSP,0.27762599999999993,Hyper
3.5,0.0,0.49859999999999993,0.496801,0.399597,0.67637,DSP,0.27677300000000005,Hyper
3.6,0.0,0.49860000000000004,0.4968,0.400167,0.6809620000000001,DSP,0.2807950000000001,Hyper
3.7,0.0,0.49860000000000004,0.4968,0.405552,0.677081,DSP,0.271529,Hyper
3.8,0.0,0.498599,0.49679799999999996,0.408767,0.667987,DSP,0.25922,Hyper
3.9,0.0,0.4986,0.496801,0.40400200000000003,0.6687129999999999,DSP,0.26471099999999986,Hyper
4.0,0.0,0.49860099999999996,0.496801,0.403988,0.6680839999999999,DSP,0.2640959999999999,Hyper
4.1,0.0,0.498598,0.49679900000000005,0.406189,0.666262,DSP,0.260073,Hyper
4.2,0.0,0.498601,0.4967999999999999,0.40650699999999995,0.670547,DSP,0.26404000000000005,Hyper
4.3,0.0,0.4986,0.4968,0.40608399999999995,0.6740189999999999,DSP,0.267935,Hyper
4.4,0.0,0.49859800000000004,0.49679900000000005,0.40189900000000006,0.676104,DSP,0.274205,Hyper
4.5,0.0,0.49859900000000007,0.496799,0.403433,0.676249,DSP,0.272816,Hyper
4.6,0.0,0.498602,0.49680100000000005,0.40205,0.669303,DSP,0.26725299999999996,Hyper
4.7,0.0,0.498599,0.496798,0.39937700000000004,0.671232,DSP,0.271855,Hyper
4.8,0.0,0.49859900000000007,0.49679900000000005,0.394334,0.676692,DSP,0.28235799999999994,Hyper
4.9,0.0,0.49860000000000004,0.4968,0.391936,0.6779520000000001,DSP,0.2860160000000001,Hyper
0.0,0.5002,0.0,0.500801,0.537855,0.46156100000000005,TJP1,-0.07629399999999992,Normal
0.1,0.500201,0.0,0.5007989999999999,0.585166,0.43347,TJP1,-0.15169599999999994,Normal
0.2,0.500201,0.0,0.5008009999999999,0.6145889999999999,0.4187389999999999,TJP1,-0.19585000000000002,Normal
0.3,0.5002009999999999,0.0,0.5008009999999999,0.633481,0.407991,TJP1,-0.22548999999999997,Normal
0.4,0.5002,0.0,0.5008,0.643059,0.401765,TJP1,-0.24129400000000006,Normal
0.5,0.5002,0.0,0.500799,0.651627,0.40232999999999997,TJP1,-0.249297,Normal
0.6,0.500199,0.0,0.5007999999999999,0.656299,0.40094199999999997,TJP1,-0.255357,Failed
0.7,0.5002019999999999,0.0,0.500802,0.66257,0.399741,TJP1,-0.262829,Failed
0.8,0.500201,0.0,0.5008,0.670852,0.400091,TJP1,-0.27076100000000003,Failed
0.9,0.5002009999999999,0.0,0.5007999999999999,0.673856,0.39959100000000003,TJP1,-0.274265,Failed
1.0,0.5002,0.0,0.5008,0.6792,0.39909199999999995,TJP1,-0.2801080000000001,Failed
1.1,0.5001979999999999,0.0,0.500799,0.67719,0.393751,TJP1,-0.28343899999999994,Failed
1.2,0.5002,0.0,0.5008,0.6770120000000001,0.39538599999999996,TJP1,-0.2816260000000001,Failed
1.3,0.5002,0.0,0.5008,0.675895,0.400159,TJP1,-0.27573600000000004,Failed
1.4,0.5002,0.0,0.5008009999999999,0.6741539999999999,0.39957299999999996,TJP1,-0.27458099999999996,Failed
1.5,0.5002,0.0,0.5007999999999999,0.678804,0.39081699999999997,TJP1,-0.287987,Failed
1.6,0.5002,0.0,0.5008,0.682415,0.38756300000000005,TJP1,-0.29485199999999995,Failed
1.7,0.5002,0.0,0.5008,0.6856089999999999,0.388032,TJP1,-0.2975769999999999,Failed
1.8,0.5002,0.0,0.500799,0.682643,0.390528,TJP1,-0.292115,Failed
1.9,0.500201,0.0,0.5008,0.6862889999999999,0.391394,TJP1,-0.2948949999999999,Failed
2.0,0.5002,0.0,0.500801,0.6905539999999999,0.38959400000000005,TJP1,-0.30095999999999984,Failed
2.1,0.5002,0.0,0.5007999999999999,0.6923379999999999,0.38939799999999997,TJP1,-0.30293999999999993,Failed
2.2,0.500201,0.0,0.500801,0.691719,0.386086,TJP1,-0.305633,Failed
2.3,0.5002,0.0,0.5008,0.694724,0.38935000000000003,TJP1,-0.305374,Failed
2.4,0.5002,0.0,0.5008009999999999,0.693912,0.39292799999999994,TJP1,-0.30098400000000003,Failed
2.5,0.500201,0.0,0.5008,0.69515,0.39344399999999996,TJP1,-0.3017060000000001,Failed
2.6,0.5002,0.0,0.5007999999999999,0.690955,0.391679,TJP1,-0.299276,Failed
2.7,0.5002009999999999,0.0,0.500801,0.6947560000000002,0.389478,TJP1,-0.30527800000000016,Failed
2.8,0.500199,0.0,0.500799,0.69282,0.391097,TJP1,-0.301723,Failed
2.9,0.500201,0.0,0.500802,0.690077,0.393127,TJP1,-0.29695000000000005,Failed
3.0,0.500201,0.0,0.500801,0.687736,0.392486,TJP1,-0.29525,Failed
3.1,0.5002,0.0,0.5008,0.6904929999999999,0.39265999999999995,TJP1,-0.29783299999999996,Failed
3.2,0.500201,0.0,0.5008,0.694025,0.392929,TJP1,-0.30109600000000003,Failed
3.3,0.5002,0.0,0.5008,0.69422,0.396082,TJP1,-0.29813799999999996,Failed
3.4,0.5002,0.0,0.500799,0.68886,0.394908,TJP1,-0.29395200000000005,Failed
3.5,0.5002,0.0,0.5008,0.685549,0.396443,TJP1,-0.289106,Failed
3.6,0.5002,0.0,0.5008,0.681849,0.399277,TJP1,-0.28257200000000005,Failed
3.7,0.5002,0.0,0.5008,0.683017,0.399052,TJP1,-0.28396499999999997,Failed
3.8,0.5002,0.0,0.500801,0.681609,0.40126399999999995,TJP1,-0.28034500000000007,Failed
3.9,0.500199,0.0,0.500801,0.682896,0.39871000000000006,TJP1,-0.2841859999999999,Failed
4.0,0.500198,0.0,0.500799,0.690095,0.397445,TJP1,-0.29265,Failed
4.1,0.5002,0.0,0.500801,0.690203,0.39472500000000005,TJP1,-0.29547799999999996,Failed
4.2,0.5002,0.0,0.5007999999999999,0.6895450000000001,0.39474800000000004,TJP1,-0.29479700000000003,Failed
4.3,0.500201,0.0,0.5008,0.687307,0.392501,TJP1,-0.294806,Failed
4.4,0.500201,0.0,0.5008,0.685526,0.399774,TJP1,-0.28575199999999995,Failed
4.5,0.500201,0.0,0.500801,0.683342,0.39928800000000003,TJP1,-0.284054,Failed
4.6,0.500201,0.0,0.5008009999999999,0.6839369999999999,0.39561599999999997,TJP1,-0.28832099999999994,Failed
4.7,0.5002,0.0,0.5008,0.683215,0.39202400000000004,TJP1,-0.291191,Failed
4.8,0.5002,0.0,0.5008,0.682411,0.3908650000000001,TJP1,-0.2915459999999999,Failed
4.9,0.5001990000000001,0.0,0.500799,0.675991,0.38948,TJP1,-0.286511,Failed
0.0,0.5045999999999999,0.505602,0.0,0.505635,0.501464,JCAD,-0.004170999999999925,Normal
0.1,0.5046010000000001,0.5056,0.0,0.5232669999999999,0.516881,JCAD,-0.006385999999999892,Normal
0.2,0.504598,0.5056,0.0,0.538866,0.5318729999999999,JCAD,-0.006993000000000027,Normal
0.3,0.504599,0.5055989999999999,0.0,0.54955,0.5371730000000001,JCAD,-0.01237699999999986,Normal
0.4,0.504601,0.505601,0.0,0.559274,0.544542,JCAD,-0.014732000000000078,Normal
0.5,0.5045999999999999,0.5056010000000001,0.0,0.5622769999999999,0.5503669999999999,JCAD,-0.011909999999999976,Normal
0.6,0.5046010000000001,0.5055999999999999,0.0,0.567913,0.5526329999999999,JCAD,-0.015280000000000071,Normal
0.7,0.504602,0.505601,0.0,0.5701689999999999,0.558184,JCAD,-0.011984999999999912,Normal
0.8,0.5046,0.505599,0.0,0.574542,0.560343,JCAD,-0.014198999999999962,Normal
0.9,0.504599,0.505599,0.0,0.5687490000000001,0.561871,JCAD,-0.006878000000000051,Normal
1.0,0.504599,0.5055999999999999,0.0,0.562298,0.5672099999999999,JCAD,0.004911999999999916,Normal
1.1,0.504601,0.5055999999999999,0.0,0.557684,0.565652,JCAD,0.007968000000000086,Normal
1.2,0.504599,0.505598,0.0,0.556496,0.561716,JCAD,0.005220000000000002,Normal
1.3,0.5046,0.5055999999999999,0.0,0.557187,0.561604,JCAD,0.004417000000000004,Normal
1.4,0.504601,0.5056,0.0,0.556591,0.567695,JCAD,0.011104000000000003,Normal
1.5,0.5046010000000001,0.5056,0.0,0.562587,0.564347,JCAD,0.0017600000000000948,Normal
1.6,0.5046010000000001,0.5056,0.0,0.5675479999999999,0.565315,JCAD,-0.0022329999999999295,Normal
1.7,0.5045999999999999,0.5056,0.0,0.565859,0.5700950000000001,JCAD,0.0042360000000001286,Normal
1.8,0.5046010000000001,0.505601,0.0,0.567285,0.579016,JCAD,0.011730999999999936,Normal
1.9,0.504599,0.5055999999999999,0.0,0.5619179999999999,0.5831949999999999,JCAD,0.02127699999999999,Normal
2.0,0.5045999999999999,0.505599,0.0,0.559459,0.57964,JCAD,0.020181000000000004,Normal
2.1,0.504598,0.505599,0.0,0.5607110000000001,0.58059,JCAD,0.01987899999999998,Normal
2.2,0.504599,0.5055989999999999,0.0,0.566281,0.580535,JCAD,0.014253999999999989,Normal
2.3,0.5045999999999999,0.5056,0.0,0.565255,0.575376,JCAD,0.010121000000000047,Normal
2.4,0.504602,0.5056010000000001,0.0,0.563746,0.5737530000000001,JCAD,0.0100070000000001,Normal
2.5,0.504601,0.5056,0.0,0.564611,0.5751310000000001,JCAD,0.010520000000000085,Normal
2.6,0.5046,0.505601,0.0,0.560572,0.579671,JCAD,0.019099000000000088,Normal
2.7,0.5045999999999999,0.5055999999999999,0.0,0.554291,0.582739,JCAD,0.02844800000000003,Normal
2.8,0.5046,0.5055999999999999,0.0,0.564215,0.584704,JCAD,0.02048899999999998,Normal
2.9,0.504601,0.505601,0.0,0.5654509999999999,0.577211,JCAD,0.011760000000000104,Normal
3.0,0.5045999999999999,0.5056,0.0,0.5695570000000001,0.572637,JCAD,0.0030799999999998606,Normal
3.1,0.5045999999999999,0.505601,0.0,0.5693239999999999,0.565866,JCAD,-0.003457999999999961,Normal
3.2,0.5046,0.5056,0.0,0.56834,0.5643159999999999,JCAD,-0.0040240000000000276,Normal
3.3,0.504599,0.505598,0.0,0.5742240000000001,0.562667,JCAD,-0.01155700000000004,Normal
3.4,0.504601,0.5055990000000001,0.0,0.576106,0.563225,JCAD,-0.012881000000000031,Normal
3.5,0.5045999999999999,0.505599,0.0,0.576382,0.565043,JCAD,-0.011338999999999988,Normal
3.6,0.504599,0.5056,0.0,0.568789,0.562945,JCAD,-0.00584399999999996,Normal
3.7,0.504599,0.5056,0.0,0.565432,0.5674680000000001,JCAD,0.0020360000000000378,Normal
3.8,0.504599,0.5056,0.0,0.565445,0.5695239999999999,JCAD,0.004078999999999944,Normal
3.9,0.5045999999999999,0.5055999999999999,0.0,0.5645770000000001,0.573244,JCAD,0.00866699999999987,Normal
4.0,0.504601,0.505599,0.0,0.56202,0.573442,JCAD,0.011422000000000043,Normal
4.1,0.5045999999999999,0.5056,0.0,0.567105,0.574393,JCAD,0.007288000000000072,Normal
4.2,0.5045999999999999,0.505601,0.0,0.5639000000000001,0.57539,JCAD,0.01148999999999989,Normal
4.3,0.504599,0.505598,0.0,0.5607840000000001,0.574905,JCAD,0.01412099999999994,Normal
4.4,0.5046,0.5055999999999999,0.0,0.559489,0.578756,JCAD,0.019267000000000034,Normal
4.5,0.5045999999999999,0.5056,0.0,0.556152,0.5849949999999999,JCAD,0.028842999999999952,Normal
4.6,0.504601,0.5055999999999999,0.0,0.565278,0.584862,JCAD,0.019584000000000046,Normal
4.7,0.504599,0.5056,0.0,0.5712010000000001,0.574815,JCAD,0.003613999999999895,Normal
