t,DSP,TJP1,JCAD,RhoA,RhoC,perturbation,delta,phenotype
0.0,0.504599,0.5047979999999999,0.49399899999999997,0.5252779999999999,0.509717,WT,-0.015560999999999936,Normal
0.1,0.504601,0.5048,0.49400099999999997,0.546403,0.538359,WT,-0.00804399999999994,Normal
0.2,0.504598,0.504798,0.4939989999999999,0.5474880000000001,0.543567,WT,-0.003921000000000063,Normal
0.3,0.504599,0.5048000000000001,0.49400000000000005,0.549883,0.5355180000000002,WT,-0.01436499999999985,Normal
0.4,0.5045979999999999,0.5047989999999999,0.49399999999999994,0.5547909999999999,0.5391659999999999,WT,-0.015625,Normal
0.5,0.5046,0.5048,0.49400000000000005,0.5527460000000001,0.541109,WT,-0.01163700000000012,Normal
0.6,0.504599,0.504799,0.494,0.558843,0.536017,WT,-0.022826000000000013,Normal
0.7,0.504601,0.5048009999999999,0.49400200000000005,0.555588,0.535742,WT,-0.01984599999999992,Normal
0.8,0.504602,0.504801,0.49400299999999997,0.552186,0.543967,WT,-0.008218999999999976,Normal
0.9,0.5046,0.504801,0.494,0.550708,0.545436,WT,-0.005271999999999943,Normal
1.0,0.504601,0.504802,0.494,0.5487599999999999,0.543419,WT,-0.005340999999999929,Normal
1.1,0.5046,0.504799,0.4939990000000001,0.552183,0.545079,WT,-0.007103999999999999,Normal
1.2,0.5046,0.5048,0.494001,0.5512589999999999,0.546408,WT,-0.004850999999999939,Normal
1.3,0.5045989999999999,0.504798,0.494001,0.555117,0.543371,WT,-0.011745999999999923,Normal
1.4,0.504599,0.504798,0.49399800000000005,0.5525559999999999,0.545768,WT,-0.006787999999999905,Normal
1.5,0.5045999999999999,0.5048020000000001,0.4940010000000001,0.554017,0.548417,WT,-0.005599999999999938,Normal
1.6,0.5046010000000001,0.504801,0.494002,0.5537449999999999,0.550071,WT,-0.003673999999999955,Normal
1.7,0.504602,0.5048009999999999,0.49400099999999997,0.553674,0.552984,WT,-0.0006899999999999684,Normal
1.8,0.5045989999999999,0.504798,0.494,0.550126,0.5520839999999999,WT,0.0019579999999999043,Normal
1.9,0.504599,0.5048,0.49399800000000005,0.55297,0.5483180000000001,WT,-0.0046519999999998785,Normal
2.0,0.5046,0.504801,0.494,0.5486749999999999,0.551898,WT,0.003223000000000087,Normal
