t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0.0,0.0,1.0000010000000001,0.0,0.037906999999999996,0.131361,0.09345400000000001
0.1,0.0,1.0,0.0,0.108187,0.348066,0.23987899999999998
0.2,0.0,1.0,0.0,0.163465,0.5014700000000001,0.3380050000000001
0.3,0.0,1.000001,0.0,0.20068,0.605884,0.405204
0.4,0.0,1.0,0.0,0.23127399999999998,0.676811,0.44553700000000007
0.5,0.0,1.0,0.0,0.254502,0.723067,0.468565
0.6,0.0,1.0,0.0,0.275721,0.7518940000000001,0.47617300000000007
0.7,0.0,1.0,0.0,0.289064,0.77194,0.48287599999999997
0.8,0.0,1.0,0.0,0.294858,0.7797449999999999,0.4848869999999999
0.9,0.0,1.0000010000000001,0.0,0.299928,0.7877540000000001,0.4878260000000001
1.0,0.0,1.0,0.0,0.306741,0.787822,0.48108100000000004
1.1,0.0,1.0,0.0,0.31311900000000004,0.7916049999999999,0.47848599999999986
1.2,0.0,0.999999,0.0,0.316364,0.8000959999999999,0.48373199999999994
1.3,0.0,0.999999,0.0,0.317335,0.7975019999999999,0.48016699999999995
1.4,0.0,1.0,0.0,0.313539,0.794925,0.481386
1.5,0.0,1.0000010000000001,0.0,0.315606,0.795086,0.47947999999999996
1.6,0.0,0.999999,0.0,0.320445,0.7956369999999999,0.47519199999999995
1.7,0.0,1.0,0.0,0.323973,0.794202,0.47022899999999995
1.8,0.0,1.0,0.0,0.32982999999999996,0.796265,0.46643500000000004
1.9,0.0,1.0,0.0,0.329158,0.797587,0.46842900000000004
2.0,0.0,0.9999990000000001,0.0,0.326572,0.7987810000000001,0.4722090000000001
2.1,0.0,0.9999990000000001,0.0,0.330141,0.799737,0.469596
2.2,0.0,1.0000010000000001,0.0,0.334596,0.800537,0.46594100000000005
2.3,0.0,1.0,0.0,0.32954700000000003,0.794227,0.46468
2.4,0.0,0.9999990000000001,0.0,0.330492,0.784957,0.454465
2.5,0.0,1.0,0.0,0.33555999999999997,0.78553,0.44997
2.6,0.0,1.0,0.0,0.335423,0.788732,0.45330899999999996
2.7,0.0,1.0,0.0,0.33119,0.789173,0.45798300000000003
2.8,0.0,1.0000000000000002,0.0,0.331147,0.795212,0.464065
2.9,0.0,1.0,0.0,0.325978,0.786953,0.460975
3.0,0.0,1.000001,0.0,0.326617,0.790349,0.463732
3.1,0.0,1.0,0.0,0.334685,0.79054,0.455855
3.2,0.0,0.9999990000000001,0.0,0.337357,0.787192,0.449835
3.3,0.0,1.0,0.0,0.340443,0.785427,0.444984
3.4,0.0,1.0,0.0,0.341743,0.784185,0.442442
3.5,0.0,1.0,0.0,0.34576,0.7832370000000001,0.43747700000000006
3.6,0.0,1.0,0.0,0.341892,0.784239,0.44234700000000005
3.7,0.0,1.000001,0.0,0.338824,0.792352,0.45352799999999993
3.8,0.0,1.0,0.0,0.33549700000000005,0.794521,0.459024
3.9,0.0,1.0,0.0,0.329792,0.79156,0.46176800000000007
4.0,0.0,1.0,0.0,0.332716,0.7853159999999999,0.4525999999999999
4.1,0.0,1.0,0.0,0.336287,0.783685,0.44739799999999996
4.2,0.0,1.0,0.0,0.338554,0.786295,0.44774099999999994
4.3,0.0,1.0,0.0,0.338541,0.787473,0.448932
4.4,0.0,0.999999,0.0,0.33469,0.790446,0.455756
4.5,0.0,1.000001,0.0,0.333905,0.7882859999999999,0.4543809999999999
4.6,0.0,1.0,0.0,0.336591,0.7922950000000001,0.4557040000000001
4.7,0.0,1.0,0.0,0.33511,0.79083,0.45572
4.8,0.0,1.0,0.0,0.33416999999999997,0.791367,0.4571970000000001
4.9,0.0,1.000001,0.0,0.335407,0.796968,0.461561
5.0,0.0,1.0,0.0,0.335144,0.799833,0.464689
5.1,0.0,1.000001,0.0,0.328983,0.7973199999999999,0.4683369999999999
5.2,0.0,0.9999999999999999,0.0,0.33345800000000003,0.7945880000000001,0.46113000000000004
5.3,0.0,1.000001,0.0,0.332191,0.793798,0.461607
5.4,0.0,1.0,0.0,0.335408,0.789566,0.454158
5.5,0.0,0.999999,0.0,0.337446,0.786261,0.44881499999999996
5.6,0.0,1.000001,0.0,0.342381,0.7845219999999999,0.44214099999999995
5.7,0.0,1.0,0.0,0.34187100000000004,0.7917120000000001,0.44984100000000005
5.8,0.0,1.0,0.0,0.341055,0.7912159999999999,0.4501609999999999
5.9,0.0,1.0,0.0,0.34056200000000003,0.794376,0.45381399999999994
6.0,0.0,1.0,0.0,0.336301,0.795422,0.45912099999999995
6.1,0.0,1.0,0.0,0.329885,0.798394,0.46850900000000006
6.2,0.0,1.0,0.0,0.33139799999999997,0.797581,0.466183
6.3,0.0,1.0,0.0,0.33163299999999996,0.798691,0.4670580000000001
6.4,0.0,1.000001,0.0,0.334737,0.7955159999999999,0.4607789999999999
6.5,0.0,1.0,0.0,0.333227,0.797749,0.46452200000000005
6.6,0.0,0.9999990000000001,0.0,0.32908499999999996,0.799725,0.47064000000000006
6.7,0.0,1.0,0.0,0.327792,0.792883,0.46509100000000003
6.8,0.0,1.0,0.0,0.322811,0.790401,0.46759
6.9,0.0,0.9999990000000001,0.0,0.328706,0.798471,0.46976500000000004
7.0,0.0,1.0,0.0,0.327077,0.7972049999999999,0.47012799999999993
7.1,0.0,1.000001,0.0,0.327603,0.797023,0.46942000000000006
7.2,0.0,1.000001,0.0,0.32293700000000003,0.798106,0.47516899999999995
