t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0.0,0.0,1.0,1.0,0.035112,0.366897,0.331785
0.1,0.0,1.0,1.0,0.09142,0.757903,0.6664829999999999
0.2,0.0,0.999999,0.999999,0.133539,0.887439,0.7539
0.3,0.0,1.0,1.0,0.165164,0.923618,0.7584540000000001
0.4,0.0,0.9999999999999999,0.9999999999999999,0.191742,0.936313,0.744571
0.5,0.0,1.0,1.0,0.210849,0.937593,0.7267440000000001
0.6,0.0,1.0,1.0,0.225549,0.929368,0.703819
0.7,0.0,1.0,1.0,0.22666199999999997,0.931784,0.705122
0.8,0.0,1.0,1.0,0.23182799999999998,0.932018,0.7001900000000001
0.9,0.0,0.999999,0.999999,0.23379,0.928993,0.695203
1.0,0.0,1.0,1.0,0.239036,0.927242,0.688206
1.1,0.0,1.0,1.0,0.23817,0.9290379999999999,0.6908679999999999
1.2,0.0,1.000001,1.000001,0.24592399999999998,0.932344,0.68642
1.3,0.0,1.0,1.0,0.24693500000000002,0.9298069999999999,0.6828719999999999
1.4,0.0,0.9999990000000001,0.9999990000000001,0.247791,0.9318470000000001,0.6840560000000001
1.5,0.0,1.0,1.0,0.239316,0.931434,0.692118
1.6,0.0,1.0,1.0,0.239019,0.9291119999999999,0.690093
1.7,0.0,1.0,1.0,0.243049,0.93101,0.687961
1.8,0.0,1.0,1.0,0.243699,0.930364,0.686665
1.9,0.0,1.0,1.0,0.24402200000000002,0.924627,0.6806049999999999
2.0,0.0,0.9999990000000001,0.9999990000000001,0.246321,0.925473,0.679152
2.1,0.0,1.0,1.0,0.24186000000000002,0.927451,0.6855910000000001
2.2,0.0,1.000001,1.000001,0.24048399999999998,0.930487,0.6900029999999999
2.3,0.0,1.0,1.0,0.24518299999999998,0.929234,0.684051
2.4,0.0,1.0,1.0,0.247106,0.925748,0.678642
2.5,0.0,1.0,1.0,0.246104,0.9274009999999999,0.6812969999999999
2.6,0.0,1.0,1.0,0.246805,0.9278919999999999,0.681087
2.7,0.0,1.0,1.0,0.246461,0.9327650000000001,0.686304
2.8,0.0,1.0,1.0,0.247894,0.936591,0.6886969999999999
2.9,0.0,1.0,1.0,0.249548,0.934124,0.684576
3.0,0.0,1.0,1.0,0.24760500000000002,0.928766,0.6811609999999999
3.1,0.0,1.0,1.0,0.25013799999999997,0.925279,0.675141
3.2,0.0,1.0,1.0,0.252249,0.926052,0.6738029999999999
3.3,0.0,1.0,1.0,0.251012,0.927258,0.676246
3.4,0.0,1.000001,1.000001,0.24859599999999998,0.923902,0.675306
3.5,0.0,1.0,1.0,0.248394,0.924573,0.676179
3.6,0.0,0.9999990000000001,0.9999990000000001,0.25283500000000003,0.927428,0.674593
3.7,0.0,1.0,1.0,0.258805,0.925509,0.666704
3.8,0.0,1.0000010000000001,1.0000010000000001,0.258751,0.9269130000000001,0.6681620000000001
3.9,0.0,1.0,1.0,0.263947,0.930632,0.666685
4.0,0.0,1.0,1.0,0.262701,0.927057,0.664356
4.1,0.0,1.0,1.0,0.2622,0.925242,0.663042
4.2,0.0,1.0,1.0,0.264002,0.927287,0.6632849999999999
4.3,0.0,0.9999989999999999,0.9999989999999999,0.264347,0.926682,0.662335
4.4,0.0,1.0,1.0,0.26008,0.923734,0.6636540000000001
4.5,0.0,0.999999,0.999999,0.26174600000000003,0.924078,0.6623319999999999
4.6,0.0,1.000001,1.000001,0.257515,0.9209890000000001,0.6634740000000001
4.7,0.0,1.0,1.0,0.259219,0.926995,0.667776
4.8,0.0,1.0000010000000001,1.0000010000000001,0.260655,0.927374,0.6667190000000001
4.9,0.0,1.0,1.0,0.253441,0.926174,0.672733
