t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0.0,1.0,1.0,0.0,0.139572,0.128981,-0.01059099999999999
0.1,1.0,1.0,0.0,0.346477,0.330564,-0.015912999999999955
0.2,1.0,1.0,0.0,0.468858,0.46743900000000005,-0.001418999999999948
0.3,1.0,1.0,0.0,0.5495099999999999,0.546774,-0.0027359999999999607
0.4,1.0,1.0,0.0,0.5877129999999999,0.59426,0.0065470000000000805
0.5,0.9999990000000001,0.9999990000000001,0.0,0.610519,0.624155,0.013635999999999981
0.6,0.9999990000000001,0.9999990000000001,0.0,0.626693,0.634962,0.008269000000000082
0.7,1.0,1.0,0.0,0.641088,0.643514,0.0024260000000000392
0.8,1.0,1.0,0.0,0.64909,0.6432169999999999,-0.005873000000000017
0.9,1.000001,1.000001,0.0,0.653284,0.639148,-0.014135999999999926
1.0,1.0,1.0,0.0,0.6652819999999999,0.6421060000000001,-0.023175999999999863
1.1,1.0,1.0,0.0,0.66574,0.641428,-0.024312
1.2,1.0,1.0,0.0,0.66199,0.637876,-0.02411399999999997
1.3,1.0,1.0,0.0,0.654452,0.635462,-0.018990000000000062
1.4,1.0000010000000001,1.0000010000000001,0.0,0.642006,0.6476850000000001,0.005679000000000101
1.5,1.0,1.0,0.0,0.6382479999999999,0.654822,0.01657400000000009
1.6,1.0,1.0,0.0,0.64356,0.6577660000000001,0.014206000000000052
1.7,0.9999999999999999,0.9999999999999999,0.0,0.642076,0.657369,0.015293000000000001
1.8,1.0,1.0,0.0,0.642172,0.6529739999999999,0.010801999999999978
1.9,1.0,1.0,0.0,0.645135,0.653499,0.008364000000000038
2.0,1.0000010000000001,1.0000010000000001,0.0,0.647947,0.66012,0.01217299999999999
2.1,1.000001,1.000001,0.0,0.647509,0.65857,0.011060999999999988
2.2,1.0,1.0,0.0,0.64496,0.655934,0.01097400000000004
2.3,1.0,1.0,0.0,0.647722,0.659319,0.011596999999999968
2.4,1.0000010000000001,1.0000010000000001,0.0,0.647142,0.659418,0.012275999999999954
2.5,0.999999,0.999999,0.0,0.650782,0.648285,-0.0024969999999999715
2.6,1.0,1.0,0.0,0.657578,0.652227,-0.005350999999999995
2.7,0.9999989999999999,0.9999989999999999,0.0,0.662245,0.653829,-0.008415999999999979
2.8,1.0,1.0,0.0,0.655716,0.652354,-0.003361999999999976
2.9,1.0,1.0,0.0,0.650979,0.65189,0.0009109999999999951
3.0,1.0,1.0,0.0,0.652425,0.650574,-0.001851000000000047
3.1,0.9999990000000001,0.9999990000000001,0.0,0.654853,0.652784,-0.0020689999999999875
3.2,1.0,1.0,0.0,0.662922,0.6452789999999999,-0.017643000000000075
3.3,1.0,1.0,0.0,0.6643060000000001,0.642871,-0.021435000000000093
3.4,1.0,1.0,0.0,0.659002,0.64282,-0.01618200000000003
3.5,1.0,1.0,0.0,0.6573100000000001,0.646169,-0.011141000000000068
3.6,1.0,1.0,0.0,0.657473,0.652026,-0.00544699999999998
3.7,0.9999990000000001,0.9999990000000001,0.0,0.663744,0.6499649999999999,-0.013779000000000097
3.8,1.0,1.0,0.0,0.663447,0.6525540000000001,-0.01089299999999993
3.9,1.0,1.0,0.0,0.667775,0.650955,-0.016820000000000057
4.0,1.0,1.0,0.0,0.655482,0.6583829999999999,0.0029009999999999314
4.1,1.0,1.0,0.0,0.663673,0.652994,-0.010678999999999994
4.2,1.000001,1.000001,0.0,0.664377,0.648245,-0.016132000000000035
4.3,1.0,1.0,0.0,0.664075,0.6434390000000001,-0.020635999999999877
4.4,0.9999999999999999,0.9999999999999999,0.0,0.661548,0.64135,-0.02019800000000005
4.5,1.0,1.0,0.0,0.661413,0.648083,-0.013330000000000064
4.6,1.0,1.0,0.0,0.660286,0.65476,-0.005526000000000031
4.7,1.0,1.0,0.0,0.6565190000000001,0.64313,-0.013389000000000095
4.8,1.0,1.0,0.0,0.656173,0.642901,-0.013272000000000062
4.9,1.0,1.0,0.0,0.661926,0.641607,-0.020318999999999976
5.0,1.0,1.0,0.0,0.655551,0.648532,-0.0070189999999999975
5.1,1.0,1.0,0.0,0.650227,0.6534770000000001,0.003250000000000086
5.2,0.9999990000000001,0.9999990000000001,0.0,0.6573249999999999,0.6530480000000001,-0.004276999999999864
5.3,0.999999,0.999999,0.0,0.658578,0.655375,-0.003202999999999956
5.4,1.0,1.0,0.0,0.653502,0.656245,0.00274299999999994
5.5,1.0,1.0,0.0,0.650189,0.659565,0.00937599999999994
5.6,1.0,1.0,0.0,0.661427,0.6592290000000001,-0.0021979999999999222
5.7,0.999999,0.999999,0.0,0.663796,0.647801,-0.015995000000000092
5.8,1.0,1.0,0.0,0.6565829999999999,0.646618,-0.00996499999999989
5.9,0.9999990000000001,0.9999990000000001,0.0,0.655717,0.6453610000000001,-0.01035599999999992
6.0,1.0,1.0,0.0,0.6559470000000001,0.64017,-0.01577700000000004
6.1,0.9999990000000001,0.9999990000000001,0.0,0.6614990000000001,0.640421,-0.02107800000000004
6.2,1.0,1.0,0.0,0.661146,0.6452249999999999,-0.015921000000000074
6.3,1.0,1.0,0.0,0.652325,0.65081,-0.001515000000000044
6.4,1.0,1.0,0.0,0.64956,0.650203,0.0006429999999999492
