t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0.0,1.0,0.0,0.0,0.130881,0.039962,-0.090919
0.1,1.0000010000000001,0.0,0.0,0.345987,0.105947,-0.24003999999999998
0.2,0.999999,0.0,0.0,0.501458,0.156762,-0.34469599999999995
0.3,1.0,0.0,0.0,0.600456,0.19440800000000003,-0.40604799999999996
0.4,1.0,0.0,0.0,0.669651,0.227634,-0.442017
0.5,1.0,0.0,0.0,0.710278,0.25373,-0.45654799999999995
0.6,1.0000010000000001,0.0,0.0,0.740235,0.276754,-0.463481
0.7,1.0,0.0,0.0,0.7586309999999999,0.288835,-0.46979599999999994
0.8,1.0,0.0,0.0,0.770674,0.301033,-0.469641
0.9,1.0,0.0,0.0,0.77721,0.313648,-0.463562
1.0,0.999999,0.0,0.0,0.782425,0.31568799999999997,-0.46673700000000007
1.1,1.0,0.0,0.0,0.790956,0.319874,-0.471082
1.2,1.000001,0.0,0.0,0.795744,0.319964,-0.47578
1.3,1.0,0.0,0.0,0.796515,0.319825,-0.47668999999999995
1.4,0.999999,0.0,0.0,0.79576,0.326055,-0.46970500000000004
1.5,1.0000010000000001,0.0,0.0,0.7896230000000001,0.332496,-0.45712700000000006
1.6,0.999999,0.0,0.0,0.7916449999999999,0.331669,-0.45997599999999994
1.7,1.0,0.0,0.0,0.791701,0.336876,-0.454825
1.8,1.000001,0.0,0.0,0.7943389999999999,0.33461799999999997,-0.45972099999999994
1.9,1.0,0.0,0.0,0.796055,0.330816,-0.46523899999999996
2.0,1.0,0.0,0.0,0.797862,0.32863600000000004,-0.4692259999999999
2.1,1.0,0.0,0.0,0.801316,0.325091,-0.476225
2.2,1.0,0.0,0.0,0.8031429999999999,0.32426699999999997,-0.47887599999999997
2.3,1.0,0.0,0.0,0.804447,0.32527799999999996,-0.47916900000000007
2.4,1.0,0.0,0.0,0.801769,0.316489,-0.48527999999999993
2.5,1.0,0.0,0.0,0.800751,0.31510099999999996,-0.48565
2.6,1.0,0.0,0.0,0.8090200000000001,0.316148,-0.4928720000000001
2.7,1.0,0.0,0.0,0.80813,0.315094,-0.49303600000000003
2.8,1.000001,0.0,0.0,0.806937,0.316041,-0.490896
2.9,1.0,0.0,0.0,0.806895,0.312344,-0.494551
3.0,0.9999990000000001,0.0,0.0,0.807542,0.307721,-0.49982099999999996
3.1,1.0,0.0,0.0,0.7977960000000001,0.306657,-0.49113900000000005
3.2,1.000001,0.0,0.0,0.796141,0.311341,-0.4848
3.3,1.0,0.0,0.0,0.79401,0.310031,-0.483979
3.4,1.0,0.0,0.0,0.799041,0.310504,-0.488537
3.5,1.000001,0.0,0.0,0.80224,0.315504,-0.48673599999999995
3.6,1.0,0.0,0.0,0.8003399999999999,0.31833100000000003,-0.4820089999999999
3.7,0.999999,0.0,0.0,0.804785,0.324295,-0.48049
3.8,0.999999,0.0,0.0,0.8029719999999999,0.3254,-0.4775719999999999
3.9,1.0,0.0,0.0,0.79859,0.323521,-0.475069
4.0,1.0,0.0,0.0,0.802634,0.324863,-0.47777099999999995
4.1,1.0,0.0,0.0,0.800635,0.32292699999999996,-0.477708
4.2,1.0,0.0,0.0,0.795292,0.322056,-0.473236
4.3,1.0,0.0,0.0,0.795199,0.326704,-0.468495
4.4,1.0,0.0,0.0,0.8009820000000001,0.33057400000000003,-0.47040800000000005
4.5,1.0,0.0,0.0,0.7968299999999999,0.33121900000000004,-0.4656109999999999
4.6,1.0,0.0,0.0,0.794392,0.33022399999999996,-0.464168
4.7,1.0,0.0,0.0,0.797203,0.329917,-0.467286
4.8,1.0,0.0,0.0,0.7947439999999999,0.330426,-0.4643179999999999
4.9,1.0,0.0,0.0,0.7876219999999999,0.332335,-0.45528699999999994
5.0,1.0,0.0,0.0,0.7865730000000001,0.334028,-0.4525450000000001
5.1,1.0,0.0,0.0,0.7873129999999999,0.334325,-0.45298799999999995
5.2,0.999999,0.0,0.0,0.790806,0.33555999999999997,-0.45524600000000004
5.3,1.000001,0.0,0.0,0.787805,0.3339,-0.453905
5.4,1.0,0.0,0.0,0.786018,0.334429,-0.451589
5.5,1.0,0.0,0.0,0.783183,0.340726,-0.442457
5.6,0.9999990000000001,0.0,0.0,0.785676,0.34509,-0.44058600000000003
5.7,0.9999990000000001,0.0,0.0,0.7839740000000001,0.34376799999999996,-0.4402060000000001
5.8,0.9999999999999999,0.0,0.0,0.785766,0.341716,-0.44404999999999994
5.9,1.000001,0.0,0.0,0.780069,0.34043199999999996,-0.43963700000000006
6.0,1.000001,0.0,0.0,0.773066,0.336147,-0.43691900000000006
6.1,1.0,0.0,0.0,0.775664,0.336205,-0.43945900000000004
6.2,1.0,0.0,0.0,0.7863749999999999,0.33623000000000003,-0.4501449999999999
6.3,1.0,0.0,0.0,0.79053,0.33451699999999995,-0.456013
6.4,1.0,0.0,0.0,0.7926390000000001,0.334846,-0.4577930000000001
6.5,1.0,0.0,0.0,0.7844389999999999,0.334858,-0.4495809999999999
6.6,1.0,0.0,0.0,0.781676,0.338628,-0.44304800000000005
6.7,1.0,0.0,0.0,0.788437,0.34027799999999997,-0.4481590000000001
6.8,1.0,0.0,0.0,0.795649,0.33860199999999996,-0.4570470000000001
6.9,1.0000010000000001,0.0,0.0,0.795976,0.336974,-0.459002
7.0,1.0,0.0,0.0,0.795105,0.336392,-0.4587129999999999
7.1,1.000001,0.0,0.0,0.7927679999999999,0.338841,-0.4539269999999999
7.2,1.0,0.0,0.0,0.7930349999999999,0.341325,-0.45170999999999994
7.3,1.000001,0.0,0.0,0.7917,0.345564,-0.446136
7.4,0.9999990000000001,0.0,0.0,0.7892730000000001,0.345865,-0.44340800000000014
7.5,1.0,0.0,0.0,0.792432,0.34469,-0.44774200000000003
7.6,1.0,0.0,0.0,0.790699,0.343864,-0.44683500000000004
7.7,1.0,0.0,0.0,0.7905709999999999,0.339772,-0.4507989999999999
7.8,1.0,0.0,0.0,0.7889079999999999,0.335008,-0.45389999999999997
7.9,1.0,0.0,0.0,0.792411,0.33128599999999997,-0.461125
