t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0.0,1.0,0.0,1.0,0.366641,0.039356,-0.327285
0.1,0.999999,0.0,0.999999,0.751314,0.099804,-0.65151
0.2,1.0,0.0,1.0,0.884136,0.140793,-0.7433430000000001
0.3,1.0,0.0,1.0,0.925426,0.169046,-0.7563799999999999
0.4,1.0,0.0,1.0,0.933764,0.19449999999999998,-0.739264
0.5,0.999999,0.0,0.999999,0.932819,0.212257,-0.7205619999999999
0.6,0.999999,0.0,0.999999,0.9334199999999999,0.22365600000000002,-0.7097639999999998
0.7,1.0,0.0,1.0,0.933941,0.227628,-0.706313
0.8,0.999999,0.0,0.999999,0.9312309999999999,0.23377,-0.6974609999999999
0.9,1.0,0.0,1.0,0.9305399999999999,0.23491299999999998,-0.695627
1.0,1.0,0.0,1.0,0.9368049999999999,0.237541,-0.6992639999999999
1.1,1.0,0.0,1.0,0.936752,0.240598,-0.696154
1.2,1.0,0.0,1.0,0.927907,0.245959,-0.681948
1.3,1.0,0.0,1.0,0.928581,0.24885400000000002,-0.679727
1.4,1.0000010000000001,0.0,1.0000010000000001,0.925137,0.25273999999999996,-0.672397
1.5,0.999999,0.0,0.999999,0.924656,0.25042400000000004,-0.6742319999999999
1.6,1.0,0.0,1.0,0.9282009999999999,0.251017,-0.677184
1.7,1.0,0.0,1.0,0.9274500000000001,0.256664,-0.6707860000000001
1.8,1.0,0.0,1.0,0.926686,0.251435,-0.675251
1.9,0.999999,0.0,0.999999,0.92594,0.249788,-0.676152
2.0,1.0000010000000001,0.0,1.0000010000000001,0.927645,0.25023,-0.6774150000000001
2.1,1.0,0.0,1.0,0.9281520000000001,0.249111,-0.6790410000000001
2.2,1.0,0.0,1.0,0.92803,0.24993400000000002,-0.678096
2.3,1.0,0.0,1.0,0.9267369999999999,0.250612,-0.6761249999999999
2.4,1.000001,0.0,1.000001,0.925172,0.251705,-0.673467
2.5,1.0000010000000001,0.0,1.0000010000000001,0.924596,0.255563,-0.669033
2.6,1.0,0.0,1.0,0.9281999999999999,0.24998399999999998,-0.6782159999999999
2.7,1.0,0.0,1.0,0.925863,0.248464,-0.677399
2.8,1.0,0.0,1.0,0.92167,0.253738,-0.667932
2.9,1.0,0.0,1.0,0.9234439999999999,0.260294,-0.6631499999999999
3.0,1.000001,0.0,1.000001,0.9239959999999999,0.26285899999999995,-0.661137
3.1,1.0,0.0,1.0,0.92252,0.263566,-0.658954
3.2,1.0000010000000001,0.0,1.0000010000000001,0.924987,0.262815,-0.662172
3.3,1.0,0.0,1.0,0.928375,0.260054,-0.6683209999999999
3.4,1.0,0.0,1.0,0.930675,0.2598,-0.6708750000000001
3.5,0.9999999999999999,0.0,0.9999999999999999,0.9289999999999999,0.254939,-0.6740609999999999
3.6,0.9999990000000001,0.0,0.9999990000000001,0.931741,0.253443,-0.6782980000000001
3.7,1.0,0.0,1.0,0.928458,0.255895,-0.672563
3.8,1.0,0.0,1.0,0.922994,0.259268,-0.663726
3.9,1.0,0.0,1.0,0.9199189999999999,0.260423,-0.6594959999999999
4.0,1.0,0.0,1.0,0.925205,0.255504,-0.6697010000000001
4.1,0.9999990000000001,0.0,0.9999990000000001,0.9251590000000001,0.257735,-0.667424
4.2,0.9999990000000001,0.0,0.9999990000000001,0.927259,0.256654,-0.6706050000000001
4.3,1.0,0.0,1.0,0.927257,0.25366299999999997,-0.673594
4.4,1.0,0.0,1.0,0.922915,0.259855,-0.66306
4.5,1.0,0.0,1.0,0.922305,0.262617,-0.659688
4.6,1.0,0.0,1.0,0.924254,0.262575,-0.661679
4.7,1.0,0.0,1.0,0.928243,0.266283,-0.6619600000000001
4.8,1.0000010000000001,0.0,1.0000010000000001,0.92784,0.268368,-0.6594720000000001
4.9,1.0,0.0,1.0,0.92651,0.263335,-0.663175
5.0,1.0,0.0,1.0,0.926886,0.260229,-0.666657
5.1,1.0,0.0,1.0,0.9272819999999999,0.258971,-0.6683109999999999
5.2,1.0,0.0,1.0,0.921828,0.260071,-0.6617569999999999
5.3,1.0,0.0,1.0,0.921711,0.25708400000000003,-0.6646269999999999
5.4,1.0,0.0,1.0,0.92619,0.259927,-0.6662629999999999
5.5,1.0,0.0,1.0,0.9255369999999999,0.264468,-0.6610689999999999
5.6,1.0,0.0,1.0,0.9221459999999999,0.268079,-0.654067
5.7,0.9999989999999999,0.0,0.9999989999999999,0.9205619999999999,0.26536899999999997,-0.6551929999999999
5.8,1.0,0.0,1.0,0.923362,0.265055,-0.658307
5.9,1.0000010000000001,0.0,1.0000010000000001,0.924188,0.260212,-0.663976
6.0,0.999999,0.0,0.999999,0.923589,0.253616,-0.6699729999999999
6.1,1.000001,0.0,1.000001,0.9235030000000001,0.25596800000000003,-0.667535
6.2,1.0,0.0,1.0,0.921488,0.25225000000000003,-0.669238
6.3,0.9999999999999999,0.0,0.9999999999999999,0.9226329999999999,0.250261,-0.672372
6.4,1.000001,0.0,1.000001,0.926382,0.252292,-0.6740900000000001
6.5,0.999999,0.0,0.999999,0.9263859999999999,0.255549,-0.6708369999999999
6.6,0.999999,0.0,0.999999,0.927915,0.252895,-0.6750200000000001
6.7,1.0,0.0,1.0,0.9269210000000001,0.252939,-0.6739820000000001
6.8,1.0,0.0,1.0,0.929646,0.252693,-0.6769529999999999
