t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0.0,1.0,1.0,1.0,0.358927,0.368699,0.009772000000000003
0.1,1.0,1.0,1.0,0.705566,0.698812,-0.006754000000000038
0.2,1.0,1.0,1.0,0.7889660000000001,0.77912,-0.009846000000000021
0.3,1.000001,1.000001,1.000001,0.808014,0.805599,-0.002415000000000056
0.4,1.0,1.0,1.0,0.806472,0.81065,0.004178000000000015
0.5,1.0,1.0,1.0,0.8037329999999999,0.80333,-0.0004029999999999312
0.6,0.999999,0.999999,0.999999,0.8053239999999999,0.806329,0.0010050000000000336
0.7,0.999999,0.999999,0.999999,0.807762,0.804828,-0.002933999999999992
0.8,1.0,1.0,1.0,0.814018,0.796636,-0.01738200000000001
0.9,1.0,1.0,1.0,0.815161,0.797435,-0.01772600000000002
1.0,1.0,1.0,1.0,0.8065439999999999,0.8098489999999999,0.0033050000000000024
1.1,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.807477,0.809367,0.0018899999999999473
1.2,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.808983,0.813354,0.004371000000000014
1.3,1.0,1.0,1.0,0.8118230000000001,0.816467,0.0046439999999999815
1.4,0.999999,0.999999,0.999999,0.815743,0.813592,-0.002151000000000014
1.5,1.0,1.0,1.0,0.814236,0.8081309999999999,-0.006105000000000027
1.6,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.810277,0.809496,-0.0007810000000000317
1.7,1.0,1.0,1.0,0.811381,0.804068,-0.007313000000000014
1.8,1.0,1.0,1.0,0.811812,0.809037,-0.002774999999999972
1.9,1.0,1.0,1.0,0.818728,0.811555,-0.007172999999999985
2.0,1.0,1.0,1.0,0.818012,0.807688,-0.010324
2.1,1.0,1.0,1.0,0.808233,0.8039259999999999,-0.004307000000000061
2.2,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.808332,0.8033730000000001,-0.004958999999999936
2.3,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.812721,0.806323,-0.006398000000000015
2.4,1.0,1.0,1.0,0.8082640000000001,0.8073680000000001,-0.0008960000000000079
2.5,1.0,1.0,1.0,0.8046230000000001,0.811138,0.0065149999999999375
2.6,0.999999,0.999999,0.999999,0.802516,0.812612,0.010095999999999994
2.7,1.0,1.0,1.0,0.810021,0.812007,0.0019860000000000433
2.8,1.0,1.0,1.0,0.806872,0.8083739999999999,0.0015019999999998923
2.9,1.000001,1.000001,1.000001,0.8085990000000001,0.809508,0.0009089999999999376
3.0,1.0,1.0,1.0,0.80875,0.805536,-0.003213999999999939
3.1,0.999999,0.999999,0.999999,0.813244,0.804176,-0.009067999999999965
3.2,1.0,1.0,1.0,0.811647,0.805288,-0.0063590000000000035
3.3,1.000001,1.000001,1.000001,0.8135709999999999,0.804433,-0.00913799999999998
3.4,1.0,1.0,1.0,0.808656,0.801892,-0.006763999999999992
3.5,1.0,1.0,1.0,0.80733,0.803737,-0.0035929999999999573
3.6,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.8147310000000001,0.805725,-0.00900600000000007
3.7,1.0,1.0,1.0,0.8226579999999999,0.8080529999999999,-0.014604999999999979
3.8,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.815648,0.8001560000000001,-0.01549199999999995
3.9,1.000001,1.000001,1.000001,0.815366,0.806576,-0.008790000000000076
4.0,1.0,1.0,1.0,0.810196,0.806569,-0.003627000000000047
4.1,1.0,1.0,1.0,0.803014,0.806201,0.00318699999999994
4.2,0.999999,0.999999,0.999999,0.80409,0.808843,0.004753000000000007
4.3,1.0,1.0,1.0,0.803081,0.807735,0.004653999999999936
4.4,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.810544,0.808276,-0.0022680000000000478
4.5,1.0,1.0,1.0,0.814222,0.820179,0.00595699999999999
4.6,1.0,1.0,1.0,0.810562,0.81899,0.008427999999999991
4.7,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.810422,0.8117270000000001,0.0013050000000001116
4.8,0.9999989999999999,0.9999989999999999,0.9999989999999999,0.8128709999999999,0.8040229999999999,-0.008847999999999967
4.9,0.999999,0.999999,0.999999,0.8144389999999999,0.7997299999999999,-0.014708999999999972
5.0,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.816178,0.806609,-0.009568999999999939
5.1,0.999999,0.999999,0.999999,0.8177019999999999,0.8039179999999999,-0.013784000000000018
5.2,1.0,1.0,1.0,0.8157960000000001,0.803277,-0.012519000000000058
5.3,1.0,1.0,1.0,0.812379,0.8090390000000001,-0.0033399999999998986
5.4,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.80721,0.806419,-0.0007909999999999862
5.5,1.0,1.0,1.0,0.80805,0.8048700000000001,-0.0031799999999999606
5.6,1.0,1.0,1.0,0.809225,0.806352,-0.0028730000000000144
5.7,1.000001,1.000001,1.000001,0.8023089999999999,0.8088219999999999,0.006512999999999991
5.8,0.999999,0.999999,0.999999,0.805822,0.813267,0.007444999999999924
5.9,1.000001,1.000001,1.000001,0.805166,0.812323,0.007156999999999969
6.0,1.0000010000000001,1.0000010000000001,1.0000010000000001,0.8120229999999999,0.805882,-0.006140999999999952
6.1,0.999999,0.999999,0.999999,0.812917,0.8023359999999999,-0.010581000000000063
6.2,1.0,1.0,1.0,0.810362,0.8136140000000001,0.0032520000000000326
6.3,1.0,1.0,1.0,0.806647,0.81035,0.003703000000000012
6.4,1.0,1.0,1.0,0.808458,0.807503,-0.0009550000000000392
6.5,1.0,1.0,1.0,0.814283,0.808619,-0.005664000000000002
6.6,1.0,1.0,1.0,0.819405,0.808293,-0.01111200000000001
6.7,1.0,1.0,1.0,0.817248,0.807268,-0.009979999999999989
6.8,0.9999990000000001,0.9999990000000001,0.9999990000000001,0.807923,0.810476,0.0025530000000000275
6.9,1.0,1.0,1.0,0.813036,0.806507,-0.006529000000000007
7.0,1.0,1.0,1.0,0.810279,0.806881,-0.003398000000000012
7.1,1.0,1.0,1.0,0.806902,0.81057,0.0036680000000000046
7.2,1.0,1.0,1.0,0.807534,0.810966,0.0034319999999999906
7.3,1.0,1.0,1.0,0.804918,0.8148880000000001,0.009970000000000034
