t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.0,0.49809899999999996,0.474073,0.548931,0.4936
0.1,0.0,0.498101,0.45213799999999993,0.5888169999999999,0.4936
0.2,0.0,0.498099,0.433809,0.6122029999999999,0.493599
0.3,0.0,0.49809800000000004,0.41997999999999996,0.629833,0.49359900000000007
0.4,0.0,0.4981,0.410431,0.638504,0.4936
0.5,0.0,0.49809899999999996,0.408345,0.646722,0.493599
0.6,0.0,0.4981,0.404403,0.6511639999999999,0.4935999999999999
0.7,0.0,0.49809999999999993,0.403603,0.656602,0.49360099999999996
0.8,0.0,0.49809899999999996,0.401786,0.662538,0.49359899999999995
0.9,0.0,0.4981,0.40279299999999996,0.6599850000000002,0.49359899999999995
1.0,0.0,0.49810099999999996,0.401695,0.6615179999999999,0.49359899999999995
1.1,0.0,0.49810000000000004,0.39817600000000003,0.664936,0.49360099999999996
1.2,0.0,0.4981,0.398702,0.670266,0.49359899999999995
1.3,0.0,0.49810000000000004,0.399882,0.674119,0.4936
1.4,0.0,0.4981,0.40136799999999995,0.6715699999999999,0.4936
1.5,0.0,0.4981,0.396772,0.672381,0.49360000000000004
1.6,0.0,0.49809999999999993,0.395505,0.674873,0.493599
1.7,0.0,0.49809899999999996,0.39779899999999996,0.677526,0.493599
1.8,0.0,0.4981,0.39712800000000004,0.6756950000000002,0.4936
1.9,0.0,0.4981,0.40252399999999994,0.672967,0.49360000000000004
2.0,0.0,0.498101,0.40408,0.6741889999999999,0.493599
2.1,0.0,0.498101,0.402202,0.6740460000000001,0.493601
2.2,0.0,0.4981,0.39679600000000004,0.6752020000000001,0.493601
2.3,0.0,0.498099,0.392384,0.67552,0.4936
2.4,0.0,0.498101,0.395158,0.676307,0.49360100000000007
2.5,0.0,0.49809899999999996,0.396722,0.676098,0.49360000000000004
2.6,0.0,0.4981,0.397069,0.678916,0.4936
2.7,0.0,0.498101,0.399867,0.679048,0.4936
2.8,0.0,0.4981,0.400511,0.679874,0.4936
2.9,0.0,0.4981009999999999,0.40103300000000003,0.6810569999999999,0.49360099999999996
3.0,0.0,0.49809899999999996,0.40144199999999997,0.68114,0.49360000000000004
3.1,0.0,0.498101,0.398851,0.680953,0.4936
3.2,0.0,0.498099,0.39762099999999995,0.6796580000000001,0.493599
3.3,0.0,0.49810099999999996,0.39909999999999995,0.6756199999999999,0.4936
3.4,0.0,0.4981000000000001,0.40208299999999997,0.675322,0.4935999999999999
3.5,0.0,0.49810099999999996,0.40010399999999996,0.6742110000000001,0.49360099999999996
3.6,0.0,0.498102,0.398905,0.677151,0.49360199999999993
3.7,0.0,0.498099,0.40027,0.677121,0.49360000000000004
3.8,0.0,0.4981,0.40114099999999997,0.677758,0.49360000000000004
3.9,0.0,0.4981,0.39921599999999996,0.677412,0.4936
