t,<nil>,DSP,DSP -- JCAD,DSP -- JCAD -- RhoA,DSP -- JCAD -- RhoC,DSP -- JCAD -- RhoC -- RhoA,DSP -- RhoA,DSP -- RhoC,DSP -- RhoC -- RhoA,DSP -- TJP1,DSP -- TJP1 -- JCAD,DSP -- TJP1 -- JCAD -- RhoA,DSP -- TJP1 -- JCAD -- RhoC,DSP -- TJP1 -- JCAD -- RhoC -- RhoA,DSP -- TJP1 -- RhoA,DSP -- TJP1 -- RhoC,DSP -- TJP1 -- RhoC -- RhoA,JCAD,JCAD -- RhoA,JCAD -- RhoC,JCAD -- RhoC -- RhoA,RhoA,RhoC,RhoC -- RhoA,TJP1,TJP1 -- JCAD,TJP1 -- JCAD -- RhoA,TJP1 -- JCAD -- RhoC,TJP1 -- JCAD -- RhoC -- RhoA,TJP1 -- RhoA,TJP1 -- RhoC,TJP1 -- RhoC -- RhoA
0.0,0.055498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058043,0.071555,0.071567,0.051534,0.068061,0.068741,0.048599,0.051208,0.038394,0.051806,0.093531,0.073469,0.062649,0.074904,0.060439
0.1,0.050014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05094,0.081325,0.082397,0.038039,0.076783,0.0781,0.036003,0.036024,0.014421,0.036376,0.128632,0.077771,0.0641,0.097795,0.051282
0.2,0.045707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045298,0.088287,0.087613,0.031502,0.082108,0.083789,0.029296,0.02633,0.005637,0.028,0.148664,0.0749,0.061601,0.112264,0.049005
0.3,0.041881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042426,0.092774,0.090282,0.027219,0.085344,0.086786,0.026889,0.020877,0.003795,0.024209,0.160275,0.068921,0.058501,0.123531,0.046291
0.4,0.039132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04028,0.093704,0.093045,0.025672,0.087476,0.089098,0.025195,0.01812,0.003775,0.02133,0.168434,0.063661,0.054304,0.129058,0.047719
0.5,0.036976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03873,0.09404,0.094871,0.025058,0.087356,0.090714,0.025853,0.014703,0.003058,0.018829,0.174401,0.060912,0.053944,0.135121,0.045432
0.6,0.03588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037066,0.094025,0.098181,0.023427,0.088881,0.091425,0.024714,0.013531,0.004173,0.017603,0.174595,0.060829,0.051426,0.139495,0.044748
0.7,0.034645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034732,0.095984,0.098463,0.023521,0.089869,0.092586,0.0238,0.012237,0.003952,0.017444,0.177783,0.058021,0.049012,0.14261,0.04534
0.8,0.033357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032019,0.098171,0.099886,0.022623,0.091418,0.093153,0.022972,0.010915,0.00437,0.017454,0.179951,0.055426,0.04656,0.145281,0.046444
0.9,0.030323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029798,0.099266,0.098692,0.024944,0.092367,0.094481,0.023729,0.011194,0.003376,0.014636,0.183509,0.055679,0.045503,0.147923,0.044581
1.0,0.028799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028697,0.101374,0.097845,0.024784,0.093023,0.094069,0.025009,0.01063,0.004006,0.015465,0.186281,0.051449,0.04535,0.148893,0.044326
1.1,0.027843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02818,0.100986,0.097874,0.02566,0.093153,0.096314,0.023589,0.010026,0.004238,0.015613,0.186437,0.050911,0.04379,0.151061,0.044323
1.2,0.026903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027537,0.101167,0.09761,0.026386,0.093056,0.096446,0.024494,0.010196,0.004284,0.015264,0.187089,0.050563,0.041669,0.151685,0.045651
1.3,0.026093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028187,0.102198,0.09625,0.026065,0.093211,0.096075,0.025521,0.010206,0.004223,0.014532,0.187819,0.050627,0.043072,0.152693,0.043228
1.4,0.025367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027076,0.103601,0.097284,0.024739,0.094617,0.094955,0.02596,0.010775,0.003457,0.015514,0.188473,0.049755,0.043688,0.151158,0.04358
1.5,0.025183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025607,0.105181,0.097738,0.024173,0.094097,0.094903,0.026717,0.010745,0.003772,0.015361,0.186909,0.051158,0.041819,0.150644,0.045993
1.6,0.024492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025741,0.104192,0.09713,0.025637,0.094858,0.09481,0.02674,0.010477,0.003686,0.015158,0.190037,0.048319,0.042359,0.150749,0.045615
