,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.0,0.5038,0.0,0.479542,0.5112220000000001,0.03168000000000004
1,0.1,0.0,0.5038009999999999,0.0,0.45848,0.527064,0.06858399999999998
2,0.2,0.0,0.503799,0.0,0.44678700000000005,0.548556,0.101769
3,0.3,0.0,0.5038009999999999,0.0,0.439052,0.5687059999999999,0.12965399999999994
4,0.4,0.0,0.5038009999999999,0.0,0.437798,0.583677,0.14587899999999998
5,0.5,0.0,0.5038,0.0,0.434688,0.599359,0.16467099999999996
6,0.6,0.0,0.503799,0.0,0.43064299999999994,0.6140429999999999,0.18339999999999995
7,0.7,0.0,0.5038,0.0,0.43054799999999993,0.62202,0.1914720000000001
8,0.8,0.0,0.5038,0.0,0.431846,0.6252770000000001,0.19343100000000008
9,0.9,0.0,0.5038,0.0,0.430412,0.631848,0.20143599999999995
10,1.0,0.0,0.5038009999999999,0.0,0.43137,0.6351439999999999,0.20377399999999996
11,1.1,0.0,0.503799,0.0,0.426676,0.6346670000000001,0.2079910000000001
12,1.2,0.0,0.5037999999999999,0.0,0.422918,0.631938,0.20901999999999998
13,1.3,0.0,0.503799,0.0,0.41865600000000003,0.6319530000000001,0.21329700000000007
14,1.4,0.0,0.5038,0.0,0.420698,0.633517,0.21281899999999998
15,1.5,0.0,0.503799,0.0,0.42162900000000003,0.6368419999999999,0.21521299999999988
16,1.6,0.0,0.503799,0.0,0.421395,0.638023,0.216628
17,1.7,0.0,0.5038,0.0,0.421431,0.63992,0.21848900000000004
18,1.8,0.0,0.5038,0.0,0.421334,0.638146,0.216812
19,1.9,0.0,0.5038,0.0,0.42440100000000003,0.6406689999999999,0.2162679999999999
20,2.0,0.0,0.503799,0.0,0.426645,0.644493,0.21784799999999999
21,2.1,0.0,0.5038009999999999,0.0,0.42724399999999996,0.641343,0.21409900000000004
22,2.2,0.0,0.503799,0.0,0.428663,0.642289,0.21362599999999998
23,2.3,0.0,0.5038009999999999,0.0,0.4233,0.6425810000000001,0.21928100000000006
24,2.4,0.0,0.5038,0.0,0.42116600000000004,0.643208,0.22204199999999996
25,2.5,0.0,0.5038,0.0,0.42103500000000005,0.6434280000000001,0.22239300000000006
26,2.6,0.0,0.5038,0.0,0.42119399999999996,0.649245,0.228051
27,2.7,0.0,0.5038,0.0,0.41801699999999997,0.647358,0.22934100000000002
28,2.8,0.0,0.5038,0.0,0.417344,0.6445399999999999,0.2271959999999999
29,2.9,0.0,0.5038,0.0,0.418681,0.6465369999999999,0.2278559999999999
30,3.0,0.0,0.503801,0.0,0.417424,0.646058,0.228634
31,3.1,0.0,0.5038,0.0,0.41846599999999995,0.64184,0.22337400000000002
32,3.2,0.0,0.5038,0.0,0.42124800000000007,0.6438619999999999,0.22261399999999987
33,3.3,0.0,0.503799,0.0,0.4163,0.6438900000000001,0.22759000000000007
34,3.4,0.0,0.5038,0.0,0.41922300000000007,0.6423810000000001,0.22315800000000002
35,3.5,0.0,0.5038,0.0,0.421006,0.638076,0.21706999999999999
36,3.6,0.0,0.503799,0.0,0.420353,0.640417,0.22006400000000004
37,3.7,0.0,0.5038,0.0,0.42090999999999995,0.641902,0.22099200000000002
38,3.8,0.0,0.5038,0.0,0.42076,0.642355,0.221595
39,3.9,0.0,0.5038,0.0,0.423768,0.642843,0.21907500000000008
