t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.0,0.0,0.484565,0.5073810000000001,0.5009
0.1,0.0,0.0,0.46282399999999996,0.531207,0.500899
0.2,0.0,0.0,0.450786,0.5533440000000001,0.5009
0.3,0.0,0.0,0.443128,0.571995,0.5009
0.4,0.0,0.0,0.435813,0.5904370000000001,0.5009
0.5,0.0,0.0,0.426832,0.6029260000000001,0.5009
0.6,0.0,0.0,0.421978,0.6138,0.500899
0.7,0.0,0.0,0.420049,0.623759,0.5009
0.8,0.0,0.0,0.417292,0.6309750000000001,0.500899
0.9,0.0,0.0,0.418828,0.632851,0.5009
1.0,0.0,0.0,0.416882,0.636504,0.500901
1.1,0.0,0.0,0.416772,0.640139,0.500899
1.2,0.0,0.0,0.414585,0.6408020000000001,0.5009
1.3,0.0,0.0,0.412478,0.644014,0.5009
1.4,0.0,0.0,0.41384299999999996,0.641871,0.500899
1.5,0.0,0.0,0.41821099999999994,0.6417970000000001,0.5009
1.6,0.0,0.0,0.41835999999999995,0.645335,0.5009
1.7,0.0,0.0,0.416091,0.647843,0.500901
1.8,0.0,0.0,0.41349500000000006,0.647409,0.5009
1.9,0.0,0.0,0.414422,0.649132,0.5009
2.0,0.0,0.0,0.410761,0.6512450000000001,0.5009
2.1,0.0,0.0,0.410675,0.649777,0.5009
2.2,0.0,0.0,0.41174,0.6499050000000001,0.5009
2.3,0.0,0.0,0.412703,0.647035,0.500899
2.4,0.0,0.0,0.41280700000000004,0.6469560000000001,0.5009
2.5,0.0,0.0,0.41553399999999996,0.6454629999999999,0.5009
2.6,0.0,0.0,0.41115399999999996,0.646123,0.5009
2.7,0.0,0.0,0.415118,0.645924,0.5009
2.8,0.0,0.0,0.417753,0.64795,0.5008999999999999
2.9,0.0,0.0,0.419348,0.648226,0.500899
3.0,0.0,0.0,0.420281,0.651598,0.5009
3.1,0.0,0.0,0.419164,0.650776,0.5009
3.2,0.0,0.0,0.41794400000000004,0.6456059999999999,0.5009
3.3,0.0,0.0,0.41652,0.646368,0.500899
3.4,0.0,0.0,0.41626,0.647587,0.5009
3.5,0.0,0.0,0.41658599999999996,0.64761,0.5009
3.6,0.0,0.0,0.41949800000000004,0.645135,0.500901
3.7,0.0,0.0,0.417516,0.644905,0.5009
3.8,0.0,0.0,0.414744,0.645122,0.500899
3.9,0.0,0.0,0.41997599999999996,0.643106,0.5008999999999999
