t,DSP,JCAD,RhoA,RhoC,TJP1
0.0,0.0,0.0,0.477951,0.5140830000000001,0.4939
0.1,0.0,0.0,0.45713000000000004,0.532996,0.493899
0.2,0.0,0.0,0.447513,0.554117,0.4939
0.3,0.0,0.0,0.43989100000000003,0.570454,0.4939
0.4,0.0,0.0,0.437936,0.584963,0.49389999999999995
0.5,0.0,0.0,0.43146599999999996,0.5961879999999999,0.49389999999999995
0.6,0.0,0.0,0.424749,0.6052740000000001,0.4939
0.7,0.0,0.0,0.422195,0.6144350000000001,0.4939
0.8,0.0,0.0,0.418284,0.621235,0.4939
0.9,0.0,0.0,0.420107,0.626139,0.4939
1.0,0.0,0.0,0.421526,0.631993,0.4939
1.1,0.0,0.0,0.421385,0.633229,0.493901
1.2,0.0,0.0,0.41961899999999996,0.632765,0.49389900000000003
1.3,0.0,0.0,0.41908199999999995,0.634499,0.49390100000000003
1.4,0.0,0.0,0.422207,0.6352530000000001,0.4939
1.5,0.0,0.0,0.422464,0.6372120000000001,0.49389900000000003
1.6,0.0,0.0,0.422307,0.6418539999999999,0.4939
1.7,0.0,0.0,0.42234400000000005,0.64435,0.4939
1.8,0.0,0.0,0.42110699999999995,0.647564,0.493899
1.9,0.0,0.0,0.415894,0.651051,0.4939
2.0,0.0,0.0,0.41376,0.6516310000000001,0.49390100000000003
2.1,0.0,0.0,0.41420400000000007,0.651994,0.4939
2.2,0.0,0.0,0.412833,0.6548780000000001,0.4939
2.3,0.0,0.0,0.414581,0.6539240000000001,0.4939
2.4,0.0,0.0,0.41757299999999997,0.651492,0.4939
2.5,0.0,0.0,0.4189,0.651235,0.4939
2.6,0.0,0.0,0.418979,0.6494070000000001,0.4939
2.7,0.0,0.0,0.41840299999999997,0.64603,0.4939
2.8,0.0,0.0,0.42141699999999993,0.645049,0.493899
2.9,0.0,0.0,0.41966500000000007,0.6476700000000001,0.4939
3.0,0.0,0.0,0.422389,0.646336,0.4939
3.1,0.0,0.0,0.42061400000000004,0.645234,0.4939
3.2,0.0,0.0,0.421949,0.6428579999999999,0.4939
3.3,0.0,0.0,0.425679,0.645281,0.4939
3.4,0.0,0.0,0.428344,0.644698,0.493899
3.5,0.0,0.0,0.42662,0.643448,0.4939
3.6,0.0,0.0,0.426187,0.640574,0.4939
3.7,0.0,0.0,0.425904,0.639514,0.4939
3.8,0.0,0.0,0.42161699999999996,0.639462,0.4939
3.9,0.0,0.0,0.423361,0.640165,0.493899
