,t,DSP,TJP1,JCAD,RhoA,RhoC,delta
0,0.0,0.0,0.0,0.492701,0.491835,0.490747,-0.0010880000000000334
1,0.1,0.0,0.0,0.492699,0.475626,0.470696,-0.00492999999999999
2,0.2,0.0,0.0,0.492699,0.470004,0.463436,-0.006567999999999963
3,0.3,0.0,0.0,0.4927,0.47003,0.46573000000000003,-0.0042999999999999705
4,0.4,0.0,0.0,0.4927,0.472824,0.468267,-0.004557000000000033
5,0.5,0.0,0.0,0.4927,0.48115399999999997,0.469049,-0.012104999999999977
6,0.6,0.0,0.0,0.492701,0.483475,0.472816,-0.010658999999999974
7,0.7,0.0,0.0,0.4927,0.485846,0.47866099999999995,-0.0071850000000000525
8,0.8,0.0,0.0,0.492701,0.49240000000000006,0.483136,-0.00926400000000005
9,0.9,0.0,0.0,0.4927,0.49297599999999997,0.488275,-0.004700999999999955
10,1.0,0.0,0.0,0.4927,0.496094,0.491321,-0.004772999999999972
11,1.1,0.0,0.0,0.492699,0.496689,0.492507,-0.004182000000000019
12,1.2,0.0,0.0,0.492699,0.49644,0.497163,0.0007230000000000292
13,1.3,0.0,0.0,0.4927,0.497827,0.498344,0.0005169999999999897
14,1.4,0.0,0.0,0.49269999999999997,0.497766,0.49830399999999997,0.0005379999999999829
15,1.5,0.0,0.0,0.492701,0.501119,0.495637,-0.005481999999999987
16,1.6,0.0,0.0,0.4927,0.504451,0.4946299999999999,-0.00982100000000008
17,1.7,0.0,0.0,0.492699,0.50684,0.496648,-0.010191999999999979
18,1.8,0.0,0.0,0.4926999999999999,0.5056609999999999,0.49547299999999994,-0.010187999999999975
19,1.9,0.0,0.0,0.49269999999999997,0.504465,0.492517,-0.01194800000000007
20,2.0,0.0,0.0,0.49270099999999994,0.503729,0.496776,-0.006952999999999987
21,2.1,0.0,0.0,0.49269999999999997,0.5039929999999999,0.497202,-0.006790999999999936
22,2.2,0.0,0.0,0.4927000000000001,0.504212,0.494944,-0.009267999999999998
23,2.3,0.0,0.0,0.49269999999999997,0.506704,0.499056,-0.007648000000000044
24,2.4,0.0,0.0,0.492701,0.504229,0.498692,-0.005537000000000014
25,2.5,0.0,0.0,0.4927,0.504859,0.5016640000000001,-0.003194999999999837
26,2.6,0.0,0.0,0.492699,0.506722,0.502249,-0.00447300000000006
27,2.7,0.0,0.0,0.4927,0.500543,0.500889,0.0003460000000000685
28,2.8,0.0,0.0,0.4927,0.502561,0.502672,0.00011099999999997223
29,2.9,0.0,0.0,0.4927,0.500375,0.500338,-3.700000000006476e-05
30,3.0,0.0,0.0,0.4926999999999999,0.502266,0.497298,-0.0049679999999999724
31,3.1,0.0,0.0,0.492699,0.5018,0.497354,-0.0044460000000000055
32,3.2,0.0,0.0,0.49269999999999997,0.4978119999999999,0.49846199999999996,0.0006500000000000394
33,3.3,0.0,0.0,0.4927,0.498514,0.498355,-0.00015900000000002024
34,3.4,0.0,0.0,0.49269999999999997,0.497436,0.498058,0.0006220000000000114
35,3.5,0.0,0.0,0.4927,0.496036,0.498186,0.0021500000000000408
36,3.6,0.0,0.0,0.4927,0.497621,0.5004679999999999,0.002846999999999933
37,3.7,0.0,0.0,0.49269900000000005,0.49734800000000007,0.501843,0.004494999999999971
38,3.8,0.0,0.0,0.4927,0.49710400000000005,0.505237,0.008133000000000001
39,3.9,0.0,0.0,0.49269999999999997,0.499363,0.504121,0.00475800000000004
